@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
378.19,-5.0016,732.13,0.0018094,0,0,0
301.99,-5.2119,150.73,0.014567,1,28,0
270.24,-5.2737,1033.6,0.0024564,0,0,0
143.07,-5.4802,172.27,0.0097519,0,0,0
72.261,-5.5579,796.73,0.012921,1,23,1
230.79,-5.3247,689.06,0.017711,1,28,1
1039.8,-5.0854,495.26,0.014926,2,15,1
1682.5,-5.0485,452.2,0.027613,1,15,1
1522.5,-5.0278,1270.5,0.032404,2,15,1
1732.1,-5.1392,1270.5,0.043761,2,15,1
2407.8,-5.1716,430.66,0.040352,3,15,1
2911.8,-5.1333,452.2,0.04356,3,15,1
3385.3,-5.0361,452.2,0.05012,3,15,1
3538.9,-5.0926,452.2,0.046821,4,4,1
3544,-5.1943,452.2,0.057759,3,15,1
3468.8,-5.3706,473.73,0.053588,4,4,1
3729.4,-5.1749,1808.8,0.06251,3,13,1
3879.1,-5.2749,1787.3,0.060274,4,4,1
4358.8,-5.1864,516.8,0.064799,4,4,1
3790,-5.2539,473.73,0.068461,4,4,1
4143.2,-4.9626,495.26,0.040232,3,15,1
3673.5,-5.036,495.26,0.052064,4,4,1
3144.1,-5.0459,473.73,0.058045,4,4,1
2632.6,-5.0159,473.73,0.060266,4,4,1
2599.8,-4.9733,473.73,0.042851,4,4,1
2695.9,-4.9499,473.73,0.039919,3,13,1
2868.6,-4.989,473.73,0.04229,4,4,1
2410.2,-5.0502,473.73,0.043775,4,4,1
2691.5,-4.9306,495.26,0.040154,4,4,1
2774.9,-4.8653,495.26,0.036451,3,4,1
2882.9,-4.9027,495.26,0.038154,3,4,1
3289.4,-4.9305,495.26,0.042914,3,4,1
3127.6,-5.0322,516.8,0.036839,5,4,1
3048.1,-4.9676,495.26,0.044929,4,4,1
2881.1,-5.0934,516.8,0.043492,4,5,1
3169.9,-4.9872,516.8,0.055349,5,5,1
3580.9,-5.024,516.8,0.046061,4,3,1
4088.8,-4.9809,516.8,0.036224,5,3,1
4367.3,-5.015,516.8,0.046994,5,3,1
4104,-4.9773,516.8,0.038382,3,3,1
4152.1,-4.7876,516.8,0.024213,4,4,1
3869.3,-4.8514,516.8,0.05069,4,4,1
3978.2,-4.7989,516.8,0.051002,4,4,1
3762.9,-4.8992,516.8,0.057382,3,4,1
3564.4,-5.0059,516.8,0.064044,4,4,1
3873.7,-4.87,516.8,0.050175,3,4,1
3729.2,-4.7764,516.8,0.049489,4,4,1
3413.3,-4.631,516.8,0.035715,3,4,1
3306.4,-4.5686,516.8,0.033413,4,4,1
3339.5,-4.4884,516.8,0.038904,5,4,1
3650.8,-4.4878,516.8,0.020766,4,3,1
3766.9,-4.3228,538.33,0.014534,3,10,1
2895.2,-4.3909,538.33,0.031817,3,3,1
2356.2,-4.5352,538.33,0.033921,4,3,1
1526.8,-4.6618,538.33,0.031116,3,3,1
1509.8,-4.7062,516.8,0.033697,3,3,1
555.53,-5.3548,452.2,0.0249,1,13,1
386.06,-5.5189,452.2,0.031333,1,13,1
345.58,-5.4409,150.73,0.020074,2,12,1
413.7,-5.1796,323,0.013274,1,13,1
285.06,-5.1358,215.33,0.0088349,0,0,1
249.77,-5.0753,236.87,0.011986,1,15,0
174.84,-5.1331,129.2,0.0022754,0,0,0
250.72,-4.9066,409.13,0.0027245,0,0,0
347.81,-4.7704,409.13,0.0017793,0,0,0
242.08,-4.9642,129.2,0.01115,1,15,0
399.76,-4.824,323,0.0014462,0,0,0
928.75,-4.4851,516.8,0.00049832,0,0,0
1429.1,-4.2801,516.8,0.0012033,0,0,0
2096.7,-4.286,516.8,0.0050828,0,0,0
2189.2,-4.3901,538.33,0.008781,0,0,0
2328.6,-4.3746,538.33,0.013065,1,24,0
2432.9,-4.3321,538.33,0.017525,2,15,0
2613.6,-4.3822,516.8,0.010928,1,24,0
2537.8,-4.3628,516.8,0.0080894,0,0,0
1569.8,-4.723,516.8,0.0066859,0,0,0
1779.1,-4.613,495.26,0.0031726,0,0,0
2117.9,-4.5088,495.26,0.016482,1,15,0
1443.8,-4.6597,215.33,0.018384,1,14,0
1834.8,-4.429,409.13,0.019061,1,14,0
1809.3,-4.5643,387.6,0.021064,1,13,0
1453.3,-4.408,495.26,0.0083881,0,0,0
782.22,-4.716,473.73,0.0014289,0,0,0
606.29,-4.798,516.8,0.003333,0,0,0
634.26,-4.8978,516.8,0.0077064,0,0,0
442.05,-5.1613,409.13,0.014513,1,8,0
346.2,-5.3249,366.06,0.015909,2,8,1
906.02,-5.13,538.33,0.0040781,0,0,1
1010.8,-5.1222,473.73,0.011888,3,13,1
1690,-5.0571,473.73,0.038145,1,13,1
1890.7,-5.0213,473.73,0.052036,4,4,1
1774.2,-4.9786,473.73,0.042951,3,4,1
2449.8,-4.9737,495.26,0.04254,3,4,1
2692.3,-5.0723,495.26,0.064254,4,4,1
2764.8,-4.9514,495.26,0.054261,3,4,1
