@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,378.19,-5.0016,732.13,0.0018094,0,0,0.46919,22,0
0.061444,0.049002,301.99,-5.2119,150.73,0.014567,1,28,0.42134,21,0
0.053477,0.049002,270.24,-5.2737,1033.6,0.0024564,0,0,0.49937,23,0
0.048074,0.060799,143.07,-5.4802,172.27,0.0097519,0,0,0.4917,20,0
0.0453,0.060799,72.261,-5.5579,796.73,0.012921,1,23,0.44574,21,1
0.062414,0.049002,230.79,-5.3247,689.06,0.017711,1,28,0.43749,18,1
0.11699,0.049002,1039.8,-5.0854,495.26,0.014926,2,15,0.66119,17,1
0.14549,0.049909,1682.5,-5.0485,452.2,0.027613,1,15,0.72157,23,1
0.15196,0.054446,1522.5,-5.0278,1270.5,0.032404,2,15,0.91701,28,1
0.16855,0.058076,1732.1,-5.1392,1270.5,0.043761,2,15,0.76169,30,1
0.18053,0.058076,2407.8,-5.1716,430.66,0.040352,3,15,0.67706,28,1
0.21462,0.058076,2911.8,-5.1333,452.2,0.04356,3,15,0.73489,32,1
0.26675,0.050817,3385.3,-5.0361,452.2,0.05012,3,15,0.79153,33,1
0.26697,0.056261,3538.9,-5.0926,452.2,0.046821,4,4,0.77323,32,1
0.25182,0.064428,3544,-5.1943,452.2,0.057759,3,15,0.81722,33,1
0.26081,0.061706,3468.8,-5.3706,473.73,0.053588,4,4,0.55907,31,1
0.26094,0.068058,3729.4,-5.1749,1808.8,0.06251,3,13,0.71287,33,1
0.25732,0.075318,3879.1,-5.2749,1787.3,0.060274,4,4,0.70008,33,1
0.27439,0.072595,4358.8,-5.1864,516.8,0.064799,4,4,0.7455,30,1
0.32387,0.058984,3790,-5.2539,473.73,0.068461,4,4,0.75563,27,1
0.30599,0.066243,4143.2,-4.9626,495.26,0.040232,3,15,0.98228,36,1
0.27933,0.068058,3673.5,-5.036,495.26,0.052064,4,4,0.99798,34,1
0.2659,0.07078,3144.1,-5.0459,473.73,0.058045,4,4,1.1342,33,1
0.23467,0.086207,2632.6,-5.0159,473.73,0.060266,4,4,1.2129,34,1
0.2458,0.086207,2599.8,-4.9733,473.73,0.042851,4,4,1.1912,34,1
0.23513,0.090744,2695.9,-4.9499,473.73,0.039919,3,13,1.1981,34,1
0.24446,0.083485,2868.6,-4.989,473.73,0.04229,4,4,1.2075,34,1
0.26087,0.060799,2410.2,-5.0502,473.73,0.043775,4,4,1.2425,9,1
0.26771,0.051724,2691.5,-4.9306,495.26,0.040154,4,4,1.41,9,1
0.28216,0.051724,2774.9,-4.8653,495.26,0.036451,3,4,1.4882,9,1
0.30426,0.041742,2882.9,-4.9027,495.26,0.038154,3,4,1.514,9,1
0.31609,0.037205,3289.4,-4.9305,495.26,0.042914,3,4,1.4822,9,1
0.30133,0.046279,3127.6,-5.0322,516.8,0.036839,5,4,1.3755,9,1
0.28428,0.052632,3048.1,-4.9676,495.26,0.044929,4,4,1.403,9,1
0.28008,0.051724,2881.1,-5.0934,516.8,0.043492,4,5,1.3717,9,1
0.29564,0.049909,3169.9,-4.9872,516.8,0.055349,5,5,1.4599,9,1
0.32139,0.047187,3580.9,-5.024,516.8,0.046061,4,3,1.4267,9,1
0.33868,0.046279,4088.8,-4.9809,516.8,0.036224,5,3,1.3786,9,1
0.34643,0.049909,4367.3,-5.015,516.8,0.046994,5,3,1.2993,9,1
0.37074,0.043557,4104,-4.9773,516.8,0.038382,3,3,1.3817,9,1
0.40237,0.029946,4152.1,-4.7876,516.8,0.024213,4,4,1.5393,10,1
0.39803,0.026316,3869.3,-4.8514,516.8,0.05069,4,4,1.4807,10,1
0.38175,0.033575,3978.2,-4.7989,516.8,0.051002,4,4,1.5627,10,1
0.36232,0.050817,3762.9,-4.8992,516.8,0.057382,3,4,1.4643,9,1
0.34,0.057169,3564.4,-5.0059,516.8,0.064044,4,4,1.4221,9,1
0.36333,0.048094,3873.7,-4.87,516.8,0.050175,3,4,1.5256,9,1
0.38102,0.039927,3729.2,-4.7764,516.8,0.049489,4,4,1.5431,9,1
0.37292,0.03176,3413.3,-4.631,516.8,0.035715,3,4,1.5411,9,1
0.376,0.026316,3306.4,-4.5686,516.8,0.033413,4,4,1.4962,9,1
0.38838,0.023593,3339.5,-4.4884,516.8,0.038904,5,4,1.5318,9,1
0.41751,0.022686,3650.8,-4.4878,516.8,0.020766,4,3,1.4971,10,1
0.43654,0.023593,3766.9,-4.3228,538.33,0.014534,3,10,1.5918,10,1
0.38575,0.023593,2895.2,-4.3909,538.33,0.031817,3,3,1.5629,10,1
0.30098,0.023593,2356.2,-4.5352,538.33,0.033921,4,3,1.586,10,1
0.24969,0.023593,1526.8,-4.6618,538.33,0.031116,3,3,1.3434,10,1
0.19837,0.023593,1509.8,-4.7062,516.8,0.033697,3,3,1.431,9,1
0.13233,0.034483,555.53,-5.3548,452.2,0.0249,1,13,0.91857,8,1
0.081775,0.04265,386.06,-5.5189,452.2,0.031333,1,13,0.48213,13,1
0.0695,0.037205,345.58,-5.4409,150.73,0.020074,2,12,0.3368,27,1
0.072868,0.03176,413.7,-5.1796,323,0.013274,1,13,0.52999,9,1
0.069398,0.032668,285.06,-5.1358,215.33,0.0088349,0,0,0.47407,13,1
0.056154,0.034483,249.77,-5.0753,236.87,0.011986,1,15,0.53523,23,0
0.054794,0.037205,174.84,-5.1331,129.2,0.0022754,0,0,0.58226,8,0
0.061619,0.034483,250.72,-4.9066,409.13,0.0027245,0,0,0.66058,10,0
0.065887,0.026316,347.81,-4.7704,409.13,0.0017793,0,0,0.82236,7,0
0.067939,0.018149,242.08,-4.9642,129.2,0.01115,1,15,0.60858,7,0
0.085652,0.018149,399.76,-4.824,323,0.0014462,0,0,0.48264,12,0
0.12795,0.024501,928.75,-4.4851,516.8,0.00049832,0,0,0.95207,10,0
0.19609,0.022686,1429.1,-4.2801,516.8,0.0012033,0,0,1.2103,10,0
0.22847,0.023593,2096.7,-4.286,516.8,0.0050828,0,0,1.2534,10,0
