@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.46919,22,0
0.42134,21,0
0.49937,23,0
0.4917,20,0
0.44574,21,1
0.43749,18,1
0.66119,17,1
0.72157,23,1
0.91701,28,1
0.76169,30,1
0.67706,28,1
0.73489,32,1
0.79153,33,1
0.77323,32,1
0.81722,33,1
0.55907,31,1
0.71287,33,1
0.70008,33,1
0.7455,30,1
0.75563,27,1
0.98228,36,1
0.99798,34,1
1.1342,33,1
1.2129,34,1
1.1912,34,1
1.1981,34,1
1.2075,34,1
1.2425,9,1
1.41,9,1
1.4882,9,1
1.514,9,1
1.4822,9,1
1.3755,9,1
1.403,9,1
1.3717,9,1
1.4599,9,1
1.4267,9,1
1.3786,9,1
1.2993,9,1
1.3817,9,1
1.5393,10,1
1.4807,10,1
1.5627,10,1
1.4643,9,1
1.4221,9,1
1.5256,9,1
1.5431,9,1
1.5411,9,1
1.4962,9,1
1.5318,9,1
1.4971,10,1
1.5918,10,1
1.5629,10,1
1.586,10,1
1.3434,10,1
1.431,9,1
0.91857,8,1
0.48213,13,1
0.3368,27,1
0.52999,9,1
0.47407,13,1
0.53523,23,0
0.58226,8,0
0.66058,10,0
0.82236,7,0
0.60858,7,0
0.48264,12,0
0.95207,10,0
1.2103,10,0
1.2534,10,0
1.1843,10,0
1.1994,10,0
1.2849,10,0
1.2118,10,0
1.1228,9,0
0.89099,9,0
0.87953,9,0
0.85062,9,0
0.48103,10,0
0.86364,8,0
0.86519,7,0
0.69525,9,0
0.6928,9,0
0.49232,8,0
0.68173,10,0
0.53089,12,0
0.55001,12,1
0.46931,9,1
1.0196,9,1
1.3205,9,1
1.2119,9,1
1.1182,13,1
1.2992,15,1
1.1313,15,1
1.0199,21,1
1.1368,18,1
1.2171,9,1
1.2344,19,1
1.4441,20,1
1.2013,22,1
1.2814,31,1
1.2644,15,1
1.3363,9,1
1.2042,9,1
1.3385,9,1
1.1838,9,1
1.1782,14,1
1.2392,9,1
1.0209,8,1
1.0559,8,1
1.1875,10,1
1.0275,24,1
1.0891,26,1
0.96478,68,1
1.0098,82,1
1.1097,55,1
1.242,48,1
1.0647,25,1
1.184,9,1
1.236,15,1
1.0452,16,1
0.90612,26,1
0.94801,27,1
1.2148,13,1
1.2389,11,1
1.2605,9,1
1.3462,20,1
1.2548,25,1
1.2472,34,1
1.1047,23,1
0.98888,24,1
0.9031,24,1
0.9942,23,1
1.0116,22,1
0.97815,24,1
0.84909,22,1
0.86549,18,1
0.91432,21,1
1.0142,21,1
1.1135,17,1
0.98631,22,1
1.0032,39,1
1.1788,40,1
1.2647,40,1
1.2526,40,1
1.2583,40,1
1.3222,40,1
1.2719,24,1
1.4728,10,1
1.4861,9,1
1.4916,34,1
1.4765,14,1
1.5036,9,1
1.5215,9,1
1.4738,9,1
1.4122,9,1
1.4524,9,1
1.4223,9,1
1.3535,9,1
1.2218,9,1
1.3728,9,1
1.2971,9,1
1.197,9,1
1.2798,9,1
1.345,9,1
1.3389,9,1
1.2934,9,1
1.1186,9,1
0.83022,14,1
0.59826,24,1
0.74884,14,1
0.96818,12,1
0.58862,17,1
0.52436,17,1
0.45971,16,1
0.6219,12,1
0.55564,14,1
0.46143,13,1
0.63061,13,1
0.64435,8,1
0.41764,25,1
0.30303,28,1
0.39105,29,1
0.30924,15,1
0.44294,9,1
0.44064,13,1
0.35317,14,1
0.43318,14,1
0.40908,12,1
0.2566,26,1
0.35309,35,1
0.54349,25,1
0.67218,17,1
0.8453,11,1
0.86976,10,1
0.46593,24,1
0.30778,35,1
0.40453,26,1
0.42961,18,1
0.40645,19,1
0.49542,18,0
0.68456,16,0
0.31689,31,0
0.48979,19,0
0.56947,15,0
0.62229,9,0
0.71007,12,0
0.40701,20,0
0.50266,15,0
0.48791,14,0
0.30251,26,0
0.36895,19,0
0.41064,12,0
0.29416,19,0
0.31692,25,0
0.31743,29,0
0.52536,22,0
0.38283,29,0
0.2943,37,0
0.47495,25,0
0.46263,22,0
0.51553,22,0
0.54855,17,0
0.52892,17,0
0.40987,13,0
0.41745,18,0
0.32427,26,0
0.26365,32,0
0.53228,22,0
0.71496,12,0
0.46802,19,0
0.46332,19,0
0.67788,22,0
0.78319,22,0
0.97971,14,0
0.84779,15,0
0.66521,18,0
0.48502,20,0
0.53159,25,0
0.33194,41,0
0.7018,20,0
0.54463,18,0
0.8169,15,0
0.70963,14,0
0.62027,13,0
0.49556,14,0
0.49277,18,0
0.82178,13,0
0.71922,16,0
0.77073,14,0
0.8395,14,0
0.78291,14,0
0.68803,14,0
0.81006,15,0
0.81551,15,0
0.37629,24,0
0.35825,22,0
0.37381,22,0
0.32374,26,0
0.45425,20,0
0.66494,10,0
0.64832,8,0
0.46486,9,0
0.7457,10,0
0.79786,10,0
0.59108,11,0
0.35692,17,0
0.579,11,0
0.5945,14,0
0.3485,19,0
0.44225,14,0
0.41704,15,0
0.48902,20,0
0.62176,10,0
0.5947,9,0
0.94953,8,0
0.7401,8,0
0.41627,14,0
