@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
378.19,-5.0016,732.13,0
301.99,-5.2119,150.73,0
270.24,-5.2737,1033.6,0
143.07,-5.4802,172.27,0
72.261,-5.5579,796.73,1
230.79,-5.3247,689.06,1
1039.8,-5.0854,495.26,1
1682.5,-5.0485,452.2,1
1522.5,-5.0278,1270.5,1
1732.1,-5.1392,1270.5,1
2407.8,-5.1716,430.66,1
2911.8,-5.1333,452.2,1
3385.3,-5.0361,452.2,1
3538.9,-5.0926,452.2,1
3544,-5.1943,452.2,1
3468.8,-5.3706,473.73,1
3729.4,-5.1749,1808.8,1
3879.1,-5.2749,1787.3,1
4358.8,-5.1864,516.8,1
3790,-5.2539,473.73,1
4143.2,-4.9626,495.26,1
3673.5,-5.036,495.26,1
3144.1,-5.0459,473.73,1
2632.6,-5.0159,473.73,1
2599.8,-4.9733,473.73,1
2695.9,-4.9499,473.73,1
2868.6,-4.989,473.73,1
2410.2,-5.0502,473.73,1
2691.5,-4.9306,495.26,1
2774.9,-4.8653,495.26,1
2882.9,-4.9027,495.26,1
3289.4,-4.9305,495.26,1
3127.6,-5.0322,516.8,1
3048.1,-4.9676,495.26,1
2881.1,-5.0934,516.8,1
3169.9,-4.9872,516.8,1
3580.9,-5.024,516.8,1
4088.8,-4.9809,516.8,1
4367.3,-5.015,516.8,1
4104,-4.9773,516.8,1
4152.1,-4.7876,516.8,1
3869.3,-4.8514,516.8,1
3978.2,-4.7989,516.8,1
3762.9,-4.8992,516.8,1
3564.4,-5.0059,516.8,1
3873.7,-4.87,516.8,1
3729.2,-4.7764,516.8,1
3413.3,-4.631,516.8,1
3306.4,-4.5686,516.8,1
3339.5,-4.4884,516.8,1
3650.8,-4.4878,516.8,1
3766.9,-4.3228,538.33,1
2895.2,-4.3909,538.33,1
2356.2,-4.5352,538.33,1
1526.8,-4.6618,538.33,1
1509.8,-4.7062,516.8,1
555.53,-5.3548,452.2,1
386.06,-5.5189,452.2,1
345.58,-5.4409,150.73,1
413.7,-5.1796,323,1
285.06,-5.1358,215.33,1
249.77,-5.0753,236.87,0
174.84,-5.1331,129.2,0
250.72,-4.9066,409.13,0
347.81,-4.7704,409.13,0
