@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,0.46919,22,0
0.061444,0.049002,0.42134,21,0
0.053477,0.049002,0.49937,23,0
0.048074,0.060799,0.4917,20,0
0.0453,0.060799,0.44574,21,1
0.062414,0.049002,0.43749,18,1
0.11699,0.049002,0.66119,17,1
0.14549,0.049909,0.72157,23,1
0.15196,0.054446,0.91701,28,1
0.16855,0.058076,0.76169,30,1
0.18053,0.058076,0.67706,28,1
0.21462,0.058076,0.73489,32,1
0.26675,0.050817,0.79153,33,1
0.26697,0.056261,0.77323,32,1
0.25182,0.064428,0.81722,33,1
0.26081,0.061706,0.55907,31,1
0.26094,0.068058,0.71287,33,1
0.25732,0.075318,0.70008,33,1
0.27439,0.072595,0.7455,30,1
0.32387,0.058984,0.75563,27,1
0.30599,0.066243,0.98228,36,1
0.27933,0.068058,0.99798,34,1
0.2659,0.07078,1.1342,33,1
0.23467,0.086207,1.2129,34,1
0.2458,0.086207,1.1912,34,1
0.23513,0.090744,1.1981,34,1
0.24446,0.083485,1.2075,34,1
0.26087,0.060799,1.2425,9,1
0.26771,0.051724,1.41,9,1
0.28216,0.051724,1.4882,9,1
0.30426,0.041742,1.514,9,1
0.31609,0.037205,1.4822,9,1
0.30133,0.046279,1.3755,9,1
0.28428,0.052632,1.403,9,1
0.28008,0.051724,1.3717,9,1
0.29564,0.049909,1.4599,9,1
0.32139,0.047187,1.4267,9,1
0.33868,0.046279,1.3786,9,1
0.34643,0.049909,1.2993,9,1
0.37074,0.043557,1.3817,9,1
0.40237,0.029946,1.5393,10,1
0.39803,0.026316,1.4807,10,1
0.38175,0.033575,1.5627,10,1
0.36232,0.050817,1.4643,9,1
0.34,0.057169,1.4221,9,1
0.36333,0.048094,1.5256,9,1
0.38102,0.039927,1.5431,9,1
0.37292,0.03176,1.5411,9,1
0.376,0.026316,1.4962,9,1
0.38838,0.023593,1.5318,9,1
0.41751,0.022686,1.4971,10,1
0.43654,0.023593,1.5918,10,1
0.38575,0.023593,1.5629,10,1
0.30098,0.023593,1.586,10,1
0.24969,0.023593,1.3434,10,1
0.19837,0.023593,1.431,9,1
0.13233,0.034483,0.91857,8,1
0.081775,0.04265,0.48213,13,1
0.0695,0.037205,0.3368,27,1
0.072868,0.03176,0.52999,9,1
0.069398,0.032668,0.47407,13,1
0.056154,0.034483,0.53523,23,0
0.054794,0.037205,0.58226,8,0
0.061619,0.034483,0.66058,10,0
0.065887,0.026316,0.82236,7,0
0.067939,0.018149,0.60858,7,0
0.085652,0.018149,0.48264,12,0
0.12795,0.024501,0.95207,10,0
0.19609,0.022686,1.2103,10,0
0.22847,0.023593,1.2534,10,0
0.22951,0.022686,1.1843,10,0
0.25832,0.022686,1.1994,10,0
0.27648,0.023593,1.2849,10,0
0.27562,0.022686,1.2118,10,0
0.25511,0.023593,1.1228,9,0
0.19327,0.027223,0.89099,9,0
0.19047,0.025408,0.87953,9,0
0.19712,0.023593,0.85062,9,0
0.16995,0.020871,0.48103,10,0
0.1942,0.023593,0.86364,8,0
0.18695,0.034483,0.86519,7,0
0.14688,0.032668,0.69525,9,0
0.12496,0.022686,0.6928,9,0
0.089448,0.034483,0.49232,8,0
0.085269,0.040835,0.68173,10,0
0.089299,0.03176,0.53089,12,0
0.072387,0.026316,0.55001,12,1
0.1074,0.026316,0.46931,9,1
0.14542,0.032668,1.0196,9,1
0.17284,0.039927,1.3205,9,1
0.19655,0.044465,1.2119,9,1
0.21816,0.03902,1.1182,13,1
0.22765,0.036298,1.2992,15,1
0.23562,0.039927,1.1313,15,1
0.23031,0.046279,1.0199,21,1
0.23054,0.045372,1.1368,18,1
0.23116,0.047187,1.2171,9,1
0.21844,0.051724,1.2344,19,1
0.23124,0.045372,1.4441,20,1
0.22764,0.051724,1.2013,22,1
0.22034,0.057169,1.2814,31,1
0.22881,0.049909,1.2644,15,1
0.23439,0.040835,1.3363,9,1
0.22957,0.040835,1.2042,9,1
0.24012,0.039927,1.3385,9,1
0.24131,0.044465,1.1838,9,1
0.23754,0.050817,1.1782,14,1
0.24412,0.044465,1.2392,9,1
0.21906,0.046279,1.0209,8,1
0.20799,0.041742,1.0559,8,1
0.20032,0.052632,1.1875,10,1
0.18012,0.069873,1.0275,24,1
0.16547,0.071688,1.0891,26,1
0.15261,0.071688,0.96478,68,1
0.15,0.076225,1.0098,82,1
0.16171,0.072595,1.1097,55,1
0.16095,0.068966,1.242,48,1
0.16027,0.066243,1.0647,25,1
0.1793,0.049909,1.184,9,1
0.18945,0.047187,1.236,15,1
0.19541,0.052632,1.0452,16,1
0.18833,0.058984,0.90612,26,1
0.17935,0.065336,0.94801,27,1
0.17928,0.067151,1.2148,13,1
0.18595,0.055354,1.2389,11,1
0.19631,0.046279,1.2605,9,1
0.19043,0.058076,1.3462,20,1
0.19566,0.065336,1.2548,25,1
0.19847,0.065336,1.2472,34,1
0.18556,0.065336,1.1047,23,1
0.17232,0.071688,0.98888,24,1
0.15692,0.075318,0.9031,24,1
0.15644,0.063521,0.9942,23,1
0.16,0.060799,1.0116,22,1
0.16126,0.061706,0.97815,24,1
0.16523,0.067151,0.84909,22,1
0.16825,0.068058,0.86549,18,1
0.16452,0.062613,0.91432,21,1
0.16103,0.064428,1.0142,21,1
0.16452,0.058076,1.1135,17,1
0.16513,0.056261,0.98631,22,1
0.16596,0.057169,1.0032,39,1
0.17543,0.055354,1.1788,40,1
0.17488,0.060799,1.2647,40,1
0.17577,0.061706,1.2526,40,1
0.18495,0.061706,1.2583,40,1
0.19904,0.063521,1.3222,40,1
0.22474,0.057169,1.2719,24,1
0.24348,0.053539,1.4728,10,1
0.24503,0.054446,1.4861,9,1
0.23996,0.062613,1.4916,34,1
0.24476,0.065336,1.4765,14,1
0.25166,0.058984,1.5036,9,1
0.25494,0.051724,1.5215,9,1
0.2607,0.044465,1.4738,9,1
0.26662,0.034483,1.4122,9,1
0.27321,0.030853,1.4524,9,1
0.28496,0.026316,1.4223,9,1
0.27571,0.022686,1.3535,9,1
0.25164,0.029038,1.2218,9,1
0.24935,0.03539,1.3728,9,1
0.26437,0.03902,1.2971,9,1
0.27066,0.041742,1.197,9,1
0.27894,0.03902,1.2798,9,1
0.27663,0.03176,1.345,9,1
0.26483,0.03176,1.3389,9,1
0.25671,0.038113,1.2934,9,1
0.24612,0.036298,1.1186,9,1
0.27263,0.03902,0.83022,14,1
0.27362,0.050817,0.59826,24,1
0.33495,0.040835,0.74884,14,1
0.41876,0.032668,0.96818,12,1
0.42434,0.034483,0.58862,17,1
0.39176,0.03539,0.52436,17,1
0.3755,0.032668,0.45971,16,1
0.38803,0.029038,0.6219,12,1
0.36218,0.03539,0.55564,14,1
0.31175,0.037205,0.46143,13,1
0.30901,0.025408,0.63061,13,1
0.2788,0.026316,0.64435,8,1
0.2266,0.039927,0.41764,25,1
0.2139,0.04265,0.30303,28,1
0.18093,0.039927,0.39105,29,1
0.18501,0.029038,0.30924,15,1
0.20078,0.019964,0.44294,9,1
0.17036,0.026316,0.44064,13,1
0.14668,0.033575,0.35317,14,1
0.17531,0.029946,0.43318,14,1
0.17267,0.026316,0.40908,12,1
0.1759,0.049909,0.2566,26,1
0.18835,0.068966,0.35309,35,1
0.18395,0.047187,0.54349,25,1
0.18114,0.033575,0.67218,17,1
0.16741,0.034483,0.8453,11,1
0.14554,0.030853,0.86976,10,1
0.09896,0.045372,0.46593,24,1
0.077036,0.064428,0.30778,35,1
0.084484,0.043557,0.40453,26,1
0.087681,0.024501,0.42961,18,1
0.076878,0.037205,0.40645,19,1
0.062149,0.04265,0.49542,18,0
0.053445,0.04265,0.68456,16,0
0.045215,0.044465,0.31689,31,0
0.044332,0.043557,0.48979,19,0
0.046071,0.040835,0.56947,15,0
0.043523,0.029038,0.62229,9,0
0.038639,0.025408,0.71007,12,0
0.035128,0.034483,0.40701,20,0
0.037851,0.03902,0.50266,15,0
0.032359,0.044465,0.48791,14,0
0.024129,0.046279,0.30251,26,0
0.027208,0.046279,0.36895,19,0
0.02716,0.044465,0.41064,12,0
0.025947,0.046279,0.29416,19,0
0.026624,0.049909,0.31692,25,0
0.0275,0.045372,0.31743,29,0
0.028416,0.047187,0.52536,22,0
0.025329,0.057169,0.38283,29,0
0.024801,0.061706,0.2943,37,0
0.032326,0.050817,0.47495,25,0
0.033961,0.043557,0.46263,22,0
0.033056,0.04265,0.51553,22,0
0.031049,0.055354,0.54855,17,0
0.032435,0.054446,0.52892,17,0
0.034098,0.043557,0.40987,13,0
0.029225,0.054446,0.41745,18,0
0.027638,0.057169,0.32427,26,0
0.030465,0.050817,0.26365,32,0
0.037486,0.045372,0.53228,22,0
0.041381,0.04265,0.71496,12,0
0.040967,0.041742,0.46802,19,0
0.044618,0.056261,0.46332,19,0
0.051104,0.059891,0.67788,22,0
0.056406,0.058076,0.78319,22,0
0.060722,0.059891,0.97971,14,0
0.061491,0.054446,0.84779,15,0
0.053188,0.060799,0.66521,18,0
0.042736,0.067151,0.48502,20,0
0.040581,0.058076,0.53159,25,0
0.041157,0.069873,0.33194,41,0
0.049187,0.071688,0.7018,20,0
0.057431,0.054446,0.54463,18,0
0.061382,0.050817,0.8169,15,0
0.063413,0.049002,0.70963,14,0
0.065029,0.049002,0.62027,13,0
0.065332,0.047187,0.49556,14,0
0.07134,0.053539,0.49277,18,0
0.078244,0.054446,0.82178,13,0
0.076636,0.046279,0.71922,16,0
0.076082,0.044465,0.77073,14,0
0.076612,0.040835,0.8395,14,0
0.075487,0.037205,0.78291,14,0
0.077823,0.043557,0.68803,14,0
0.077156,0.045372,0.81006,15,0
0.079438,0.046279,0.81551,15,0
0.0775,0.048094,0.37629,24,0
0.070963,0.04265,0.35825,22,0
0.069913,0.043557,0.37381,22,0
0.067156,0.048094,0.32374,26,0
0.079744,0.038113,0.45425,20,0
0.10068,0.029038,0.66494,10,0
0.10582,0.029038,0.64832,8,0
0.13047,0.024501,0.46486,9,0
0.17979,0.025408,0.7457,10,0
0.21538,0.027223,0.79786,10,0
0.18404,0.03176,0.59108,11,0
0.11745,0.036298,0.35692,17,0
0.10375,0.03539,0.579,11,0
0.088458,0.03902,0.5945,14,0
0.084514,0.036298,0.3485,19,0
0.089476,0.033575,0.44225,14,0
0.072776,0.040835,0.41704,15,0
0.063586,0.044465,0.48902,20,0
0.080707,0.040835,0.62176,10,0
0.10189,0.041742,0.5947,9,0
0.10612,0.036298,0.94953,8,0
0.093063,0.03176,0.7401,8,0
0.075103,0.045372,0.41627,14,0
0.076991,0.043557,0.55716,12,0
0.083161,0.036298,0.52753,13,0
0.084231,0.045372,0.49039,15,0
0.087637,0.049909,0.37751,18,0
0.094409,0.047187,0.52716,22,0
0.10194,0.051724,0.75331,15,0
0.087345,0.059891,0.58308,20,0
0.083341,0.056261,0.76521,21,0
0.098782,0.046279,0.55202,16,0
0.099821,0.04265,0.84287,12,0
