@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,378.19,-5.0016,732.13,0
0.061444,0.049002,301.99,-5.2119,150.73,0
0.053477,0.049002,270.24,-5.2737,1033.6,0
0.048074,0.060799,143.07,-5.4802,172.27,0
0.0453,0.060799,72.261,-5.5579,796.73,1
0.062414,0.049002,230.79,-5.3247,689.06,1
0.11699,0.049002,1039.8,-5.0854,495.26,1
0.14549,0.049909,1682.5,-5.0485,452.2,1
0.15196,0.054446,1522.5,-5.0278,1270.5,1
0.16855,0.058076,1732.1,-5.1392,1270.5,1
0.18053,0.058076,2407.8,-5.1716,430.66,1
0.21462,0.058076,2911.8,-5.1333,452.2,1
0.26675,0.050817,3385.3,-5.0361,452.2,1
0.26697,0.056261,3538.9,-5.0926,452.2,1
0.25182,0.064428,3544,-5.1943,452.2,1
0.26081,0.061706,3468.8,-5.3706,473.73,1
0.26094,0.068058,3729.4,-5.1749,1808.8,1
0.25732,0.075318,3879.1,-5.2749,1787.3,1
0.27439,0.072595,4358.8,-5.1864,516.8,1
0.32387,0.058984,3790,-5.2539,473.73,1
0.30599,0.066243,4143.2,-4.9626,495.26,1
0.27933,0.068058,3673.5,-5.036,495.26,1
0.2659,0.07078,3144.1,-5.0459,473.73,1
0.23467,0.086207,2632.6,-5.0159,473.73,1
0.2458,0.086207,2599.8,-4.9733,473.73,1
0.23513,0.090744,2695.9,-4.9499,473.73,1
0.24446,0.083485,2868.6,-4.989,473.73,1
0.26087,0.060799,2410.2,-5.0502,473.73,1
0.26771,0.051724,2691.5,-4.9306,495.26,1
0.28216,0.051724,2774.9,-4.8653,495.26,1
0.30426,0.041742,2882.9,-4.9027,495.26,1
0.31609,0.037205,3289.4,-4.9305,495.26,1
0.30133,0.046279,3127.6,-5.0322,516.8,1
0.28428,0.052632,3048.1,-4.9676,495.26,1
0.28008,0.051724,2881.1,-5.0934,516.8,1
0.29564,0.049909,3169.9,-4.9872,516.8,1
0.32139,0.047187,3580.9,-5.024,516.8,1
0.33868,0.046279,4088.8,-4.9809,516.8,1
0.34643,0.049909,4367.3,-5.015,516.8,1
0.37074,0.043557,4104,-4.9773,516.8,1
0.40237,0.029946,4152.1,-4.7876,516.8,1
0.39803,0.026316,3869.3,-4.8514,516.8,1
0.38175,0.033575,3978.2,-4.7989,516.8,1
0.36232,0.050817,3762.9,-4.8992,516.8,1
0.34,0.057169,3564.4,-5.0059,516.8,1
0.36333,0.048094,3873.7,-4.87,516.8,1
0.38102,0.039927,3729.2,-4.7764,516.8,1
0.37292,0.03176,3413.3,-4.631,516.8,1
0.376,0.026316,3306.4,-4.5686,516.8,1
0.38838,0.023593,3339.5,-4.4884,516.8,1
0.41751,0.022686,3650.8,-4.4878,516.8,1
0.43654,0.023593,3766.9,-4.3228,538.33,1
0.38575,0.023593,2895.2,-4.3909,538.33,1
0.30098,0.023593,2356.2,-4.5352,538.33,1
0.24969,0.023593,1526.8,-4.6618,538.33,1
0.19837,0.023593,1509.8,-4.7062,516.8,1
0.13233,0.034483,555.53,-5.3548,452.2,1
0.081775,0.04265,386.06,-5.5189,452.2,1
