@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
378.19,-5.0016,732.13,0.46919,22,-38.103,-0.10516,-290.7,-0.023923,-0.5,0
301.99,-5.2119,150.73,0.42134,21,-53.978,-0.13608,150.73,0.015088,0.5,0
270.24,-5.2737,1033.6,0.49937,23,-79.458,-0.13415,10.767,0.03518,-0.5,0
143.07,-5.4802,172.27,0.4917,20,-98.989,-0.14206,-118.43,-0.026813,-1,0
72.261,-5.5579,796.73,0.44574,21,43.857,0.077764,258.4,-0.027108,-1,1
230.79,-5.3247,689.06,0.43749,18,483.75,0.23621,-150.73,0.10772,-2,1
1039.8,-5.0854,495.26,0.66119,17,725.85,0.13806,-118.43,0.14204,2.5,1
1682.5,-5.0485,452.2,0.72157,23,241.36,0.028822,387.6,0.12791,5.5,1
1522.5,-5.0278,1270.5,0.91701,28,24.826,-0.045329,409.13,0.02006,3.5,1
1732.1,-5.1392,1270.5,0.76169,30,442.66,-0.071925,-419.9,-0.11998,0,1
2407.8,-5.1716,430.66,0.67706,28,589.85,0.0029347,-409.13,-0.0134,1,1
2911.8,-5.1333,452.2,0.73489,32,488.76,0.067762,10.767,0.057233,2.5,1
3385.3,-5.0361,452.2,0.79153,33,313.55,0.020389,0,0.019172,0,1
3538.9,-5.0926,452.2,0.77323,32,79.357,-0.079082,0,0.012845,0,1
3544,-5.1943,452.2,0.81722,33,-35.052,-0.13901,10.767,-0.10708,-0.5,1
3468.8,-5.3706,473.73,0.55907,31,92.681,0.0097001,678.3,-0.052177,0,1
3729.4,-5.1749,1808.8,0.71287,33,205.15,0.047819,656.76,0.070504,1,1
3879.1,-5.2749,1787.3,0.70008,33,314.7,-0.0057396,-646,0.016319,-1.5,1
