@relation featureMatrix


@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE class	{0,1}

@DATA
378.19,-5.0016,732.13,-38.103,-0.10516,-290.7,0
301.99,-5.2119,150.73,-53.978,-0.13608,150.73,0
270.24,-5.2737,1033.6,-79.458,-0.13415,10.767,0
143.07,-5.4802,172.27,-98.989,-0.14206,-118.43,0
72.261,-5.5579,796.73,43.857,0.077764,258.4,1
230.79,-5.3247,689.06,483.75,0.23621,-150.73,1
1039.8,-5.0854,495.26,725.85,0.13806,-118.43,1
1682.5,-5.0485,452.2,241.36,0.028822,387.6,1
1522.5,-5.0278,1270.5,24.826,-0.045329,409.13,1
1732.1,-5.1392,1270.5,442.66,-0.071925,-419.9,1
2407.8,-5.1716,430.66,589.85,0.0029347,-409.13,1
2911.8,-5.1333,452.2,488.76,0.067762,10.767,1
3385.3,-5.0361,452.2,313.55,0.020389,0,1
3538.9,-5.0926,452.2,79.357,-0.079082,0,1
3544,-5.1943,452.2,-35.052,-0.13901,10.767,1
3468.8,-5.3706,473.73,92.681,0.0097001,678.3,1
3729.4,-5.1749,1808.8,205.15,0.047819,656.76,1
3879.1,-5.2749,1787.3,314.7,-0.0057396,-646,1
4358.8,-5.1864,516.8,-44.566,0.010504,-656.76,1
3790,-5.2539,473.73,-107.78,0.1119,-10.767,1
4143.2,-4.9626,495.26,-58.235,0.10894,10.767,1
3673.5,-5.036,495.26,-499.56,-0.041681,-10.767,1
3144.1,-5.0459,473.73,-520.47,0.010064,-10.767,1
2632.6,-5.0159,473.73,-272.14,0.036315,0,1
2599.8,-4.9733,473.73,31.657,0.032993,0,1
2695.9,-4.9499,473.73,134.37,-0.0078278,0,1
2868.6,-4.989,473.73,-142.83,-0.050128,0,1
2410.2,-5.0502,473.73,-88.558,0.029154,10.767,1
2691.5,-4.9306,495.26,182.35,0.092428,10.767,1
2774.9,-4.8653,495.26,95.702,0.013994,0,1
2882.9,-4.9027,495.26,257.25,-0.032567,0,1
3289.4,-4.9305,495.26,122.38,-0.064755,10.767,1
3127.6,-5.0322,516.8,-120.69,-0.018574,0,1
3048.1,-4.9676,495.26,-123.25,-0.030629,0,1
2881.1,-5.0934,516.8,60.921,-0.0098121,10.767,1
3169.9,-4.9872,516.8,349.91,0.03472,0,1
3580.9,-5.024,516.8,459.45,0.0031786,0,1
4088.8,-4.9809,516.8,393.19,0.0045124,0,1
4367.3,-5.015,516.8,7.6007,0.0017938,0,1
4104,-4.9773,516.8,-107.62,0.11367,0,1
