@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE cepstralMostDominantPeak_delta REAL
@ATTRIBUTE cepstralNumPeaks_delta REAL
@ATTRIBUTE cepstralLocFirstPeak_delta REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,378.19,-5.0016,732.13,0.0018094,0,0,0.46919,22,-0.00087263,-0.00045372,-38.103,-0.10516,-290.7,0.0063788,0.5,14,-0.023923,-0.5,0
0.061444,0.049002,301.99,-5.2119,150.73,0.014567,1,28,0.42134,21,-0.0048565,-0.00045372,-53.978,-0.13608,150.73,0.00032354,0,0,0.015088,0.5,0
0.053477,0.049002,270.24,-5.2737,1033.6,0.0024564,0,0,0.49937,23,-0.0066852,0.0058984,-79.458,-0.13415,10.767,-0.0024076,-0.5,-14,0.03518,-0.5,0
0.048074,0.060799,143.07,-5.4802,172.27,0.0097519,0,0,0.4917,20,-0.0040885,0.0058984,-98.989,-0.14206,-118.43,0.0052322,0.5,11.5,-0.026813,-1,0
0.0453,0.060799,72.261,-5.5579,796.73,0.012921,1,23,0.44574,21,0.0071698,-0.0058984,43.857,0.077764,258.4,0.0039797,0.5,14,-0.027108,-1,1
0.062414,0.049002,230.79,-5.3247,689.06,0.017711,1,28,0.43749,18,0.035846,-0.0058984,483.75,0.23621,-150.73,0.0010025,0.5,-4,0.10772,-2,1
0.11699,0.049002,1039.8,-5.0854,495.26,0.014926,2,15,0.66119,17,0.041539,0.00045372,725.85,0.13806,-118.43,0.004951,0,-6.5,0.14204,2.5,1
0.14549,0.049909,1682.5,-5.0485,452.2,0.027613,1,15,0.72157,23,0.017483,0.0027223,241.36,0.028822,387.6,0.0087388,0,0,0.12791,5.5,1
0.15196,0.054446,1522.5,-5.0278,1270.5,0.032404,2,15,0.91701,28,0.011529,0.0040835,24.826,-0.045329,409.13,0.0080736,0.5,0,0.02006,3.5,1
0.16855,0.058076,1732.1,-5.1392,1270.5,0.043761,2,15,0.76169,30,0.014288,0.0018149,442.66,-0.071925,-419.9,0.0039742,0.5,0,-0.11998,0,1
0.18053,0.058076,2407.8,-5.1716,430.66,0.040352,3,15,0.67706,28,0.023032,0,589.85,0.0029347,-409.13,-0.00010012,0.5,0,-0.0134,1,1
0.21462,0.058076,2911.8,-5.1333,452.2,0.04356,3,15,0.73489,32,0.043109,-0.0036298,488.76,0.067762,10.767,0.0048842,0,0,0.057233,2.5,1
0.26675,0.050817,3385.3,-5.0361,452.2,0.05012,3,15,0.79153,33,0.02618,-0.00090744,313.55,0.020389,0,0.0016304,0.5,-5.5,0.019172,0,1
0.26697,0.056261,3538.9,-5.0926,452.2,0.046821,4,4,0.77323,32,-0.0074673,0.0068058,79.357,-0.079082,0,0.0038194,0,0,0.012845,0,1
0.25182,0.064428,3544,-5.1943,452.2,0.057759,3,15,0.81722,33,-0.0030834,0.0027223,-35.052,-0.13901,10.767,0.0033833,0,0,-0.10708,-0.5,1
0.26081,0.061706,3468.8,-5.3706,473.73,0.053588,4,4,0.55907,31,0.0045598,0.0018149,92.681,0.0097001,678.3,0.0023752,0,-1,-0.052177,0,1
0.26094,0.068058,3729.4,-5.1749,1808.8,0.06251,3,13,0.71287,33,-0.0017449,0.0068058,205.15,0.047819,656.76,0.0033431,0,0,0.070504,1,1
0.25732,0.075318,3879.1,-5.2749,1787.3,0.060274,4,4,0.70008,33,0.0067263,0.0022686,314.7,-0.0057396,-646,0.0011446,0.5,-4.5,0.016319,-1.5,1
