@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.036495,50.103,732.13,0.044465,-5.2728,0.0045689,0,0,0.43479,24,0
0.034472,19.823,150.73,0.047187,-5.3852,0.0050914,0,0,0.34309,22,0
0.031696,24.838,1033.6,0.058076,-5.4133,0.0065494,0,0,0.48676,22,0
0.030363,-28.055,172.27,0.078947,-5.6503,0.017931,1,25,0.47418,27,0
0.028486,-86.651,150.73,0.084392,-5.8526,0.016838,2,15,0.34459,54,0
0.032923,-43.845,710.6,0.069873,-5.774,0.02248,2,15,0.57243,30,0
0.11277,446.47,495.26,0.050817,-5.2263,0.014619,1,24,0.85407,15,1
0.20477,2605,452.2,0.033575,-4.9145,0.03623,2,16,0.75243,16,1
0.23635,2715.7,409.13,0.044465,-4.9712,0.045141,3,17,0.94311,27,1
0.23287,2389.6,1162.8,0.056261,-4.9788,0.042168,2,17,1.0995,21,1
0.23669,2724.7,1162.8,0.058076,-5.0782,0.045019,4,4,1.0784,28,1
0.23652,2907.4,409.13,0.061706,-5.2869,0.049608,4,4,0.98127,23,1
0.26811,3240.3,430.66,0.060799,-5.1781,0.045987,4,5,1.0775,30,1
0.2939,3746,430.66,0.067151,-5.004,0.032326,4,5,1.1194,30,1
0.29191,3636.6,1658.1,0.076225,-5.1826,0.035097,4,5,1.0849,30,1
0.28942,3842.1,430.66,0.077132,-5.3295,0.045605,4,5,0.99318,30,1
0.29354,4238.1,430.66,0.064428,-5.3541,0.06009,4,5,0.92307,30,1
0.31685,4198.3,430.66,0.063521,-5.2475,0.057729,4,5,0.95948,30,1
0.32478,4539.7,430.66,0.07804,-5.2296,0.050332,4,5,0.99728,30,1
0.32146,4382.2,430.66,0.07804,-5.319,0.040153,4,5,0.94696,30,1
0.34696,5021.8,430.66,0.07441,-5.3571,0.069899,4,5,0.88801,31,1
0.37568,5357.4,452.2,0.073503,-5.2212,0.061176,3,5,1.1289,31,1
0.38238,4774.8,452.2,0.071688,-4.9525,0.040562,3,5,1.2112,32,1
0.37853,4770.6,452.2,0.072595,-5.0065,0.058662,4,5,1.2167,32,1
0.37527,4693.3,452.2,0.073503,-4.952,0.053759,4,5,1.2492,31,1
0.36011,4229.6,452.2,0.080762,-4.9841,0.054388,4,5,1.2492,31,1
0.34306,4098.8,430.66,0.085299,-4.9476,0.053086,3,5,1.2483,31,1
0.33803,3937.7,430.66,0.07804,-4.9008,0.047111,4,5,1.2474,31,1
0.3464,4030.5,430.66,0.067151,-4.9326,0.048532,3,5,1.2667,31,1
0.36021,3937.2,452.2,0.055354,-4.9804,0.043048,3,5,1.3233,15,1
0.36999,3890.4,452.2,0.049909,-4.8871,0.042055,4,5,1.4128,9,1
0.37677,4066,452.2,0.049002,-4.9608,0.057535,5,5,1.4253,8,1
