@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE entropy 	REAL
@ATTRIBUTE domfreq 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.16541,0.098522,0.0097561,0
0.14925,0.04125,0.029268,0
0.1217,0.056471,0.019512,0
0.11997,0.073716,0.0097561,0
0.12959,0.072139,0.029268,1
0.12443,0.083743,0.019512,1
0.17741,0.189,0.029268,1
0.22686,0.24355,0.0097561,1
0.22863,0.27978,0.019512,1
0.18369,0.16678,0.029268,1
0.17323,0.13943,0.0097561,1
0.17627,0.2141,0.029268,1
0.19052,0.15009,0.0097561,1
0.22761,0.22052,0.4878,1
0.25812,0.25779,0.47805,1
0.28996,0.28786,0.46829,1
0.27307,0.26673,0.46829,1
0.28569,0.22826,0.47805,1
0.3193,0.32421,0.4878,1
0.30974,0.27187,0.4878,1
0.25282,0.24299,0.49756,1
0.18617,0.18872,0.029268,1
0.16165,0.13796,0.50732,1
0.16303,0.20238,0.0097561,1
0.22983,0.19964,0.019512,1
0.29217,0.35518,0.029268,1
0.33432,0.36704,0.78049,1
0.40205,0.40303,0.79024,1
0.46506,0.46803,0.8,1
0.48071,0.49502,0.8,1
0.47652,0.58372,0.79024,1
0.45125,0.64479,0.8,1
0.41633,0.65725,0.76098,1
0.39353,0.55339,0.75122,1
0.37484,0.62366,0.98537,1
0.37199,0.51039,0.74146,1
0.37586,0.55976,0.74146,1
0.3774,0.54955,0.75122,1
0.3687,0.47951,0.74146,1
0.34933,0.50116,0.74146,1
0.35123,0.46698,0.75122,1
0.34707,0.47988,0.75122,1
0.35063,0.49061,0.74146,1
0.37012,0.5036,0.49756,1
0.3515,0.54383,0.49756,1
0.34021,0.47602,0.0097561,1
0.36033,0.49025,0.49756,1
0.35642,0.48394,1.239,1
0.33469,0.48534,1.2488,1
0.31652,0.47426,0.019512,1
0.30679,0.50777,1.0049,1
0.29558,0.40645,0.75122,1
0.29783,0.45579,0.0097561,1
0.33272,0.49565,0.029268,1
0.34733,0.53947,1.2293,1
0.34014,0.47561,0.49756,1
0.34368,0.55012,0.4878,1
0.35048,0.50608,0.47805,1
0.3742,0.52694,0.4878,1
0.35609,0.52917,0.47805,1
0.27217,0.35219,0.46829,1
0.26735,0.36792,0.45854,1
0.27937,0.39713,0.44878,1
0.22977,0.27444,0.019512,1
0.17729,0.21113,0.0097561,1
0.15823,0.18409,0.0097561,1
0.18819,0.1428,0.029268,1
0.18089,0.20559,0.019512,1
0.12982,0.11616,0.0097561,0
0.13797,0.065214,0.019512,0
0.15433,0.10945,0.029268,0
0.15757,0.10595,0.019512,0
0.14893,0.12517,0.0097561,0
0.16294,0.08993,0.019512,0
0.17038,0.13043,0.029268,0
0.1844,0.14734,0.0097561,0
0.2053,0.1233,0.029268,0
0.18766,0.10106,0.04878,0
0.13417,0.095914,0.019512,0
0.10968,0.05714,0.0097561,0
0.12548,0.055862,0.029268,0
0.1229,0.04666,0.029268,0
0.14097,0.069706,0.019512,0
0.14314,0.11386,0.0097561,0
0.16162,0.08157,0.04878,0
0.17127,0.16603,0.029268,0
0.18806,0.18596,0.0097561,0
0.2387,0.32715,0.019512,0
0.24907,0.28715,0.54634,1
0.25355,0.22984,0.54634,1
0.26529,0.31128,0.0097561,1
0.26053,0.27321,0.019512,1
0.24964,0.24797,0.029268,1
0.2234,0.21424,0.029268,1
0.30286,0.3414,0.79024,1
0.39933,0.49132,0.79024,1
0.40901,0.52746,0.8,1
0.43095,0.58284,1.0732,1
0.48315,0.63607,1.0732,1
0.50684,0.77797,1.0634,1
0.50428,0.82924,1.3171,1
0.48053,0.91624,1.3073,1
0.46764,0.95638,1.0244,1
0.4793,0.96551,1.0146,1
0.49321,0.99463,1.2488,1
0.4702,0.98728,1.2585,1
0.46315,0.82716,1.0146,1
0.49495,0.84281,1.0146,1
0.51021,0.88793,1.0146,1
0.50124,0.89131,1.0146,1
0.50258,0.85312,1.0146,1
0.52157,0.84425,1.2878,1
0.52934,0.91599,1.3073,1
