@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.11374,0.050817,1105.3,4.9521,732.13,0,0,0,0,0,0
0.11036,0.052632,952.9,5.1861,150.73,0,0.0018149,0,0.234,0,0
0.095924,0.048094,898.56,5.23,1033.6,0,0,0,0.27786,882.86,0
0.08603,0.050817,628.86,5.3991,172.27,0,0.0027223,0,0.44701,21.533,0
0.081022,0.052632,478.21,5.4288,796.73,0,0.0045372,0,0.47673,646,1
0.10007,0.049909,822.53,5.2,710.6,0.019053,0.0018149,344.32,0.24795,559.86,1
0.14551,0.047187,1524.4,5.0981,495.26,0.064491,0,1046.2,0.14598,344.53,1
0.17302,0.043557,2342.8,5.052,452.2,0.091996,0,1864.6,0.099907,301.46,1
0.18675,0.049909,2095.5,5.1199,1270.5,0.10573,0.0063521,1617.3,0.16777,1119.7,1
0.21617,0.048094,2590,5.1504,323,0.13515,0.0045372,2111.8,0.19827,172.27,1
0.237,0.040835,3476.5,5.1264,344.53,0.15598,0,2998.3,0.17428,193.8,1
0.27783,0.04265,4295.4,5.2067,323,0.19681,0.0018149,3817.2,0.25461,172.27,1
0.34117,0.045372,4902.2,5.1355,344.53,0.26015,0.0045372,4424,0.18345,193.8,1
0.34191,0.050817,5146.1,5.135,344.53,0.26088,0.0099819,4667.9,0.1829,193.8,1
0.32434,0.046279,5023.7,5.245,452.2,0.24332,0.0054446,4545.4,0.29288,301.46,1
0.33743,0.043557,5317.3,5.3629,344.53,0.25641,0.0027223,4839.1,0.41082,193.8,1
0.33475,0.055354,5321,5.2475,538.33,0.25373,0.014519,4842.8,0.2954,387.6,1
0.33208,0.058984,5497.9,5.2783,516.8,0.25106,0.018149,5019.7,0.32621,366.06,1
0.35197,0.061706,5752.7,5.1986,516.8,0.27095,0.020871,5274.5,0.24652,366.06,1
0.39327,0.053539,5124.6,5.2873,538.33,0.31225,0.012704,4646.4,0.33522,387.6,1
0.36865,0.051724,5375.4,5.0938,538.33,0.28763,0.010889,4897.2,0.14168,387.6,1
0.32917,0.055354,4789.5,5.2159,516.8,0.24815,0.014519,4311.3,0.26376,366.06,1
0.28744,0.061706,3765.2,5.2417,473.73,0.20642,0.020871,3287,0.28966,323,1
0.23658,0.076225,3027.9,5.1997,473.73,0.15556,0.03539,2549.7,0.24762,323,1
0.25424,0.07441,3015.4,5.1705,473.73,0.17322,0.033575,2537.2,0.21838,323,1
0.23828,0.079855,3090.4,5.1578,473.73,0.15726,0.03902,2612.2,0.20569,323,1
0.25225,0.07078,3374.3,5.1757,473.73,0.17122,0.029946,2896,0.22361,323,1
0.27674,0.053539,2756.5,5.2608,473.73,0.19572,0.012704,2278.3,0.30871,323,1
0.27881,0.049909,3097.8,5.1121,495.26,0.19779,0.0090744,2619.6,0.15997,344.53,1
0.28615,0.046279,3138.7,5.0856,495.26,0.20513,0.0054446,2660.4,0.13351,344.53,1
0.31013,0.040835,3079,5.1042,495.26,0.22911,0,2600.8,0.15211,344.53,1
0.32891,0.033575,3891.8,5.1225,495.26,0.24788,0,3413.6,0.17042,344.53,1
0.31352,0.047187,3618.1,5.2239,516.8,0.2325,0.013612,3139.8,0.27181,366.06,1
0.29234,0.054446,3491,5.1587,495.26,0.21132,0.020871,3012.8,0.20665,344.53,1
0.28573,0.049002,3221.5,5.2644,495.26,0.20471,0.015426,2743.3,0.31236,344.53,1
0.30027,0.051724,3532.6,5.1819,516.8,0.21925,0.018149,3054.3,0.22981,366.06,1
0.32575,0.053539,4211.5,5.2188,516.8,0.24473,0.019964,3733.2,0.26669,366.06,1
0.35174,0.047187,4990.2,5.1254,516.8,0.27072,0.013612,4512,0.1733,366.06,1
0.36255,0.046279,5386.5,5.178,516.8,0.28152,0.012704,4908.3,0.2259,366.06,1
0.38748,0.041742,5138.1,5.1261,516.8,0.30646,0.008167,4659.9,0.17405,366.06,1
0.42743,0.029946,4565.4,4.901,516.8,0.34641,0,4087.2,0,366.06,1
0.41261,0.028131,4240.4,5.0631,516.8,0.33159,0,3762.2,0.16212,366.06,1
0.38034,0.040835,4287.5,4.9948,516.8,0.29932,0.012704,3809.3,0.093833,366.06,1
0.35669,0.058076,4175.7,5.1107,516.8,0.27567,0.029946,3697.5,0.20966,366.06,1
0.328,0.057169,3842.1,5.2569,516.8,0.24698,0.029038,3363.9,0.35589,366.06,1
0.35554,0.046279,4198.8,5.0965,516.8,0.27452,0.018149,3720.6,0.19547,366.06,1
0.37532,0.039927,4038.5,5.0572,516.8,0.2943,0.011797,3560.3,0.15617,366.06,1
0.36505,0.03176,3651.3,4.8799,516.8,0.28403,0.0036298,3173,0,366.06,1
0.37169,0.029946,3589.7,4.8035,516.8,0.29066,0.0018149,3111.5,0,366.06,1
0.38162,0.027223,3691.2,4.6818,516.8,0.30059,0,3213,0,366.06,1
0.40159,0.022686,4003.2,4.6665,516.8,0.32057,0,3525,0,366.06,1
0.41895,0.023593,3983.4,4.5637,538.33,0.33793,0.00090744,3505.2,0,387.6,1
0.37387,0.025408,3101.8,4.6237,538.33,0.29285,0.0027223,2623.6,0.059965,387.6,1
0.30238,0.025408,2674.9,4.6709,538.33,0.22136,0.0027223,2196.7,0.10717,387.6,1
