@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
118.04,5.9673,710.6,0,0,0,0
114.28,5.8897,925.93,0,0,215.33,0
124.59,5.9632,1916.5,10.311,0.073464,1205.9,0
150.21,6.0711,882.86,35.934,0.18137,172.27,0
171.48,6.2006,882.86,57.197,0.31087,172.27,1
142.68,5.9607,538.33,28.403,0.070912,0,1
1135.4,5.0043,495.26,1021.2,0,0,1
1650,4.9567,452.2,1535.8,0,0,1
1383.9,4.7959,430.66,1269.6,0,0,1
1558.6,4.919,430.66,1444.4,0.12313,0,1
1802.2,5.0667,452.2,1687.9,0.27075,21.533,1
1891.2,4.9475,452.2,1776.9,0.15163,21.533,1
2161.1,4.7659,452.2,2046.8,0,21.533,1
2299.9,4.9516,473.73,2185.6,0.18565,43.066,1
2291.2,5.0225,452.2,2177,0.25655,21.533,1
2517.2,5.18,452.2,2402.9,0.41401,21.533,1
2691,4.8836,473.73,2576.7,0.11768,43.066,1
2818.3,5.0428,473.73,2704,0.27684,43.066,1
2961,5.1449,473.73,2846.8,0.37899,43.066,1
3644.4,5.0025,473.73,3530.2,0.23652,43.066,1
3374.8,4.6868,495.26,3260.5,0,64.6,1
3450.6,4.7841,495.26,3336.3,0.09731,64.6,1
3337.7,4.788,473.73,3223.4,0.10124,43.066,1
2988.5,4.7748,473.73,2874.3,0.088059,43.066,1
2884.5,4.7226,473.73,2770.3,0.035832,43.066,1
2809.8,4.6791,473.73,2695.5,0,43.066,1
2943.5,4.7726,473.73,2829.2,0.093434,43.066,1
2747.7,4.8382,473.73,2633.4,0.1591,43.066,1
2840.1,4.7089,495.26,2725.8,0.02982,64.6,1
2890.8,4.5979,495.26,2776.5,0,64.6,1
3148.6,4.7767,495.26,3034.4,0.17872,64.6,1
3202.8,4.6669,495.26,3088.6,0.068946,64.6,1
3207,4.7893,495.26,3092.7,0.19136,64.6,1
3159.8,4.7686,516.8,3045.5,0.17065,86.133,1
3125.5,4.9854,516.8,3011.2,0.38742,86.133,1
3235.2,4.848,516.8,3121,0.25005,86.133,1
3399.2,4.6914,516.8,3284.9,0.093412,86.133,1
3486.3,4.6536,516.8,3372.1,0.055673,86.133,1
3571.4,4.6992,516.8,3457.1,0.10121,86.133,1
3691.5,4.5753,516.8,3577.2,0,86.133,1
3767.9,4.6629,516.8,3653.7,0.087591,86.133,1
3804.3,4.5476,516.8,3690.1,0,86.133,1
3865.5,4.57,516.8,3751.2,0.022395,86.133,1
3947.5,4.6557,516.8,3833.2,0.10811,86.133,1
3946.6,4.7135,516.8,3832.3,0.1659,86.133,1
3977.1,4.605,516.8,3862.8,0.057343,86.133,1
3843,4.4396,516.8,3728.7,0,86.133,1
3540.5,4.3467,516.8,3426.2,0,86.133,1
3343.4,4.2801,516.8,3229.1,0,86.133,1
3331.5,4.2709,516.8,3217.2,0,86.133,1
3515,4.1708,516.8,3400.7,0,86.133,1
3846.2,4.0325,538.33,3731.9,0,107.67,1
3222.5,4.0919,538.33,3108.2,0.059404,107.67,1
2641,4.2843,538.33,2526.7,0.25181,107.67,1
1748.5,4.4084,538.33,1634.2,0.37588,107.67,1
1523.3,4.4228,516.8,1409,0.39033,86.133,1
461.05,5.0865,473.73,346.77,1.0541,43.066,1
60.981,5.6272,430.66,0,1.5947,0,1
147.56,6.0487,538.33,86.58,2.0162,107.67,1
133.4,5.9134,516.8,72.422,1.8809,86.133,1
131.65,5.916,538.33,70.668,1.8835,107.67,1
95.271,5.567,516.8,34.29,1.5345,86.133,0
107.22,5.821,538.33,46.236,1.7885,107.67,0
99.015,5.7175,495.26,38.034,1.685,64.6,0
102.79,5.9646,258.4,41.808,1.9321,0,0
98.02,5.7163,129.2,37.039,1.6838,0,0
103.28,5.7972,86.133,42.302,1.7647,0,0
115.76,5.8945,301.46,54.783,1.862,215.33,0
126.01,5.8838,1959.5,65.026,1.8514,1873.4,0
115.48,5.7501,1981.1,54.497,1.7176,1894.9,0
95.904,5.6666,1851.9,34.923,1.6341,1765.7,0
140.22,5.9467,258.4,79.24,1.9142,172.27,0
133.7,5.9044,2024.1,72.716,1.8719,1938,0
145.54,5.9891,193.8,84.562,1.9566,107.67,0
149.15,6.0387,2067.2,88.169,2.0062,1981.1,0
130.69,5.8758,2002.6,69.713,1.8433,1916.5,0
137.07,5.9626,215.33,76.092,1.9302,129.2,0
132.23,5.9741,236.87,71.252,1.9416,150.73,0
113.9,5.9099,193.8,52.914,1.8774,107.67,0
103.82,6.1157,129.2,42.839,2.0832,43.066,0
103.35,6.2585,258.4,42.365,2.226,172.27,0
87.836,6.2339,236.87,26.855,2.2014,150.73,0
73.854,6.2734,387.6,12.873,2.2409,301.46,0
73.261,6.3249,107.67,12.28,2.2924,21.533,0
96.498,6.1053,258.4,35.518,2.0728,172.27,0
124.54,6.1044,495.26,63.556,2.072,409.13,0
128.21,5.9428,538.33,67.227,1.9103,452.2,1
822.44,4.7283,516.8,761.46,0.69583,430.66,1
1146,4.6029,495.26,1085.1,0.57038,409.13,1
1607.3,4.7949,473.73,1546.3,0.76245,387.6,1
1812.6,4.8409,473.73,1751.6,0.80838,387.6,1
1878.3,4.7456,473.73,1817.3,0.71316,387.6,1
2001.9,4.8121,473.73,1941,0.77958,387.6,1
2184.4,4.9128,495.26,2123.4,0.88028,409.13,1
2170.1,4.7568,495.26,2109.1,0.72433,409.13,1
2232.4,4.8234,495.26,2171.4,0.79088,409.13,1
2219.8,4.7288,495.26,2158.9,0.69633,409.13,1
2220,4.823,495.26,2159,0.79049,409.13,1
2225.3,4.8175,495.26,2164.4,0.78506,409.13,1
2254.4,4.7508,495.26,2193.4,0.71837,409.13,1
2325.1,4.8884,495.26,2264.1,0.85596,409.13,1
2288.1,4.7729,495.26,2227.2,0.74043,409.13,1
2216,4.7608,473.73,2155,0.72829,387.6,1
2218.1,4.8445,495.26,2157.1,0.81202,409.13,1
2191.7,4.7383,495.26,2130.7,0.70582,409.13,1
2187.2,4.9205,473.73,2126.3,0.88799,387.6,1
2145,4.7735,473.73,2084,0.74099,387.6,1
2181.8,4.9372,473.73,2120.8,0.90471,387.6,1
2170.4,5.0256,473.73,2109.5,0.9931,387.6,1
2048,4.7596,452.2,1987,0.7271,366.06,1
1983.2,4.8607,452.2,1922.2,0.82819,366.06,1
1894.4,4.8788,452.2,1833.4,0.84636,366.06,1
1715.5,5.0053,452.2,1654.5,0.97285,366.06,1
1690.2,4.9395,452.2,1629.2,0.90699,366.06,1
1726.8,4.9403,452.2,1665.8,0.90786,366.06,1
1716.9,4.9395,452.2,1655.9,0.90698,366.06,1
1737.2,4.934,452.2,1676.2,0.90147,366.06,1
1783.1,4.9357,452.2,1722.1,0.90319,366.06,1
1850.8,4.8897,452.2,1789.8,0.85717,366.06,1
1932.4,4.8398,452.2,1871.4,0.80729,366.06,1
1919.1,4.8897,452.2,1858.2,0.85724,366.06,1
1920.6,4.8701,452.2,1859.6,0.83766,366.06,1
1941.8,4.9068,473.73,1880.8,0.87429,387.6,1
1957.1,4.8105,473.73,1896.1,0.77802,387.6,1
1988,4.8613,473.73,1927,0.82879,387.6,1
2061.3,4.8469,473.73,2000.3,0.81442,387.6,1
2067.1,4.8676,473.73,2006.1,0.83508,387.6,1
2110.9,4.7848,473.73,2049.9,0.75236,387.6,1
2082.8,4.8124,473.73,2021.8,0.77995,387.6,1
2046.4,4.9187,452.2,1985.4,0.88621,366.06,1
1811,4.9707,452.2,1750,0.93819,366.06,1
1632.9,4.9707,452.2,1571.9,0.93823,366.06,1
1669.9,4.879,452.2,1608.9,0.84648,366.06,1
1783.1,4.8473,452.2,1722.1,0.81481,366.06,1
1719.3,4.7878,452.2,1658.3,0.75533,366.06,1
1673.5,4.8955,452.2,1612.5,0.863,366.06,1
1645.3,4.8012,452.2,1584.3,0.76876,366.06,1
1626.9,4.6562,452.2,1565.9,0.62376,366.06,1
1619.8,4.6164,452.2,1558.8,0.5839,366.06,1
1680.6,4.4394,452.2,1619.6,0.40695,366.06,1
1727.9,4.5717,452.2,1666.9,0.53926,366.06,1
1752.2,4.5351,452.2,1691.2,0.50266,366.06,1
1730.1,4.4214,452.2,1669.1,0.3889,366.06,1
1816.8,4.4611,452.2,1755.8,0.42861,366.06,1
1816.9,4.356,452.2,1755.9,0.32348,366.06,1
1938.2,4.4909,452.2,1877.2,0.45837,366.06,1
2142.6,4.4426,473.73,2081.7,0.41007,387.6,1
2286.1,4.604,473.73,2225.1,0.57148,387.6,1
2478.1,4.6434,473.73,2417.1,0.6109,387.6,1
2487.1,4.8158,473.73,2426.2,0.7833,387.6,1
2441.3,4.3709,473.73,2380.3,0.33838,387.6,1
2402.4,4.3996,473.73,2341.4,0.36709,387.6,1
2367.9,4.4776,473.73,2306.9,0.44514,387.6,1
2477.3,4.4808,495.26,2416.3,0.44835,409.13,1
2588.8,4.5194,495.26,2527.9,0.48697,409.13,1
