@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0.10254,0.0053629,0,0,0,0,0,0,0,0
0.0080354,0.098004,0.0037031,0,0,0.0005254,0,0,0,0,0
0.0087752,0.097096,0.012599,1,23,0.0012652,0,0.008896,1,23,0
0.010187,0.12976,0.014016,2,14,0.002677,0.032668,0.010313,2,14,0
0.010509,0.16515,0.016443,2,15,0.0029987,0.068058,0.01274,2,15,1
0.050137,0.12432,0.014562,2,14,0.042627,0.027223,0.010859,2,14,1
0.12549,0.054446,0.01723,2,15,0.11798,0,0.013527,2,15,1
0.16054,0.043557,0.030876,1,15,0.15303,0,0.027173,1,15,1
0.16062,0.052632,0.04401,3,15,0.15311,0.0090744,0.040306,3,15,1
0.17314,0.056261,0.047067,4,4,0.16563,0.012704,0.043364,4,4,1
0.1817,0.059891,0.06064,4,5,0.17419,0.016334,0.056937,4,5,1
0.19365,0.069873,0.044793,4,5,0.18614,0.026316,0.04109,4,5,1
0.21998,0.083485,0.045668,4,4,0.21247,0.039927,0.041965,4,4,1
0.22573,0.092559,0.054312,4,4,0.21822,0.049002,0.050609,4,4,1
0.2201,0.092559,0.058461,4,4,0.21259,0.049002,0.054758,4,4,1
0.23167,0.087114,0.06382,4,4,0.22416,0.043557,0.060117,4,4,1
0.25168,0.087114,0.064687,4,4,0.24417,0.043557,0.060984,4,4,1
0.25385,0.10436,0.058751,4,4,0.24634,0.060799,0.055048,4,4,1
0.264,0.10799,0.075354,4,4,0.25649,0.064428,0.071651,4,4,1
0.29419,0.090744,0.082638,4,4,0.28668,0.047187,0.078935,4,4,1
0.30447,0.084392,0.046291,4,4,0.29696,0.040835,0.042588,4,4,1
0.30349,0.077132,0.057401,4,4,0.29598,0.033575,0.053698,4,4,1
0.29497,0.076225,0.061356,4,4,0.28746,0.032668,0.057653,4,4,1
0.28445,0.089837,0.06044,4,4,0.27694,0.046279,0.056737,4,4,1
0.27865,0.10073,0.041142,4,4,0.27114,0.057169,0.037439,4,4,1
0.27298,0.082577,0.034035,4,4,0.26547,0.03902,0.030332,4,4,1
0.28062,0.068058,0.053563,4,5,0.27311,0.024501,0.04986,4,5,1
0.28573,0.062613,0.051075,4,4,0.27822,0.019056,0.047372,4,4,1
0.29361,0.057169,0.057269,4,4,0.2861,0.013612,0.053566,4,4,1
0.31875,0.049909,0.045007,4,4,0.31124,0.0063521,0.041304,4,4,1
0.33865,0.029946,0.042627,4,4,0.33114,0,0.038924,4,4,1
0.33978,0.03176,0.040184,5,4,0.33227,0.0018149,0.036481,5,4,1
0.32885,0.043557,0.043228,5,4,0.32134,0.013612,0.039525,5,4,1
0.31922,0.044465,0.043486,4,4,0.31171,0.014519,0.039783,4,4,1
0.31597,0.047187,0.048062,5,5,0.30846,0.017241,0.044359,5,5,1
0.32684,0.049909,0.056742,5,5,0.31933,0.019964,0.053039,5,5,1
0.35059,0.045372,0.040275,6,4,0.34308,0.015426,0.036572,6,4,1
0.36701,0.043557,0.050406,6,4,0.3595,0.013612,0.046703,6,4,1
0.37725,0.044465,0.051561,6,4,0.36974,0.014519,0.047858,6,4,1
0.38641,0.046279,0.054432,5,5,0.3789,0.016334,0.050729,5,5,1
0.3928,0.046279,0.050946,5,5,0.38529,0.016334,0.047243,5,5,1
0.406,0.033575,0.055139,5,4,0.39849,0.0036298,0.051436,5,4,1
0.41429,0.024501,0.069914,5,4,0.40678,0,0.066211,5,4,1
0.41087,0.033575,0.077084,6,4,0.40336,0.0090744,0.07338,6,4,1
0.40477,0.043557,0.084459,6,4,0.39726,0.019056,0.080756,6,4,1
0.41041,0.045372,0.072591,5,4,0.4029,0.020871,0.068888,5,4,1
0.4215,0.039927,0.068478,3,4,0.41399,0.015426,0.064775,3,4,1
0.42175,0.029946,0.056471,4,4,0.41424,0.0054446,0.052768,4,4,1
0.42117,0.024501,0.045819,4,4,0.41366,0,0.042116,4,4,1
0.43568,0.029038,0.043198,3,4,0.42817,0.0045372,0.039495,3,4,1
0.46602,0.029946,0.031621,3,3,0.45851,0.0054446,0.027918,3,3,1
0.48327,0.025408,0.019644,1,13,0.47576,0.00090744,0.015941,1,13,1
0.44598,0.023593,0.028784,3,3,0.43847,0,0.025081,3,3,1
0.36665,0.022686,0.030715,4,3,0.35914,0,0.027012,4,3,1
0.2962,0.022686,0.039045,3,3,0.28869,0,0.035342,3,3,1
0.22715,0.021779,0.048086,3,3,0.21964,0,0.044383,3,3,1
0.14123,0.038113,0.041102,2,4,0.13372,0.016334,0.037399,2,4,1
0.063988,0.084392,0.046005,1,13,0.056478,0.062613,0.042302,1,13,1
0.026371,0.11525,0.030389,1,13,0.018861,0.093466,0.026686,1,13,1
0.016541,0.096189,0.027036,1,13,0.0090308,0.07441,0.023333,1,13,1
0.014061,0.062613,0.012876,1,13,0.0065509,0.040835,0.0091725,1,13,1
0.01402,0.045372,0.0034698,0,0,0.0065101,0.023593,0,0,0,0
0.011926,0.059891,0.0033417,0,0,0.0044161,0.038113,0,0,0,0
0.0076668,0.069873,0.0018977,0,0,0.00015682,0.048094,0,0,0,0
0.0063915,0.07804,0.0029938,0,0,0,0.056261,0.0010961,0,0,0
0.0078191,0.072595,0.0038211,0,0,0.0014276,0.050817,0.0019234,0,0,0
