@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0.10254,118.04,5.9673,710.6,0,0,0,0,0,0
0.0080354,0.098004,114.28,5.8897,925.93,0.0005254,0,0,0,215.33,0
0.0087752,0.097096,124.59,5.9632,1916.5,0.0012652,0,10.311,0.073464,1205.9,0
0.010187,0.12976,150.21,6.0711,882.86,0.002677,0.032668,35.934,0.18137,172.27,0
0.010509,0.16515,171.48,6.2006,882.86,0.0029987,0.068058,57.197,0.31087,172.27,1
0.050137,0.12432,142.68,5.9607,538.33,0.042627,0.027223,28.403,0.070912,0,1
0.12549,0.054446,1135.4,5.0043,495.26,0.11798,0,1021.2,0,0,1
0.16054,0.043557,1650,4.9567,452.2,0.15303,0,1535.8,0,0,1
0.16062,0.052632,1383.9,4.7959,430.66,0.15311,0.0090744,1269.6,0,0,1
0.17314,0.056261,1558.6,4.919,430.66,0.16563,0.012704,1444.4,0.12313,0,1
0.1817,0.059891,1802.2,5.0667,452.2,0.17419,0.016334,1687.9,0.27075,21.533,1
0.19365,0.069873,1891.2,4.9475,452.2,0.18614,0.026316,1776.9,0.15163,21.533,1
0.21998,0.083485,2161.1,4.7659,452.2,0.21247,0.039927,2046.8,0,21.533,1
0.22573,0.092559,2299.9,4.9516,473.73,0.21822,0.049002,2185.6,0.18565,43.066,1
0.2201,0.092559,2291.2,5.0225,452.2,0.21259,0.049002,2177,0.25655,21.533,1
0.23167,0.087114,2517.2,5.18,452.2,0.22416,0.043557,2402.9,0.41401,21.533,1
0.25168,0.087114,2691,4.8836,473.73,0.24417,0.043557,2576.7,0.11768,43.066,1
0.25385,0.10436,2818.3,5.0428,473.73,0.24634,0.060799,2704,0.27684,43.066,1
0.264,0.10799,2961,5.1449,473.73,0.25649,0.064428,2846.8,0.37899,43.066,1
0.29419,0.090744,3644.4,5.0025,473.73,0.28668,0.047187,3530.2,0.23652,43.066,1
0.30447,0.084392,3374.8,4.6868,495.26,0.29696,0.040835,3260.5,0,64.6,1
0.30349,0.077132,3450.6,4.7841,495.26,0.29598,0.033575,3336.3,0.09731,64.6,1
0.29497,0.076225,3337.7,4.788,473.73,0.28746,0.032668,3223.4,0.10124,43.066,1
0.28445,0.089837,2988.5,4.7748,473.73,0.27694,0.046279,2874.3,0.088059,43.066,1
0.27865,0.10073,2884.5,4.7226,473.73,0.27114,0.057169,2770.3,0.035832,43.066,1
0.27298,0.082577,2809.8,4.6791,473.73,0.26547,0.03902,2695.5,0,43.066,1
0.28062,0.068058,2943.5,4.7726,473.73,0.27311,0.024501,2829.2,0.093434,43.066,1
0.28573,0.062613,2747.7,4.8382,473.73,0.27822,0.019056,2633.4,0.1591,43.066,1
0.29361,0.057169,2840.1,4.7089,495.26,0.2861,0.013612,2725.8,0.02982,64.6,1
0.31875,0.049909,2890.8,4.5979,495.26,0.31124,0.0063521,2776.5,0,64.6,1
0.33865,0.029946,3148.6,4.7767,495.26,0.33114,0,3034.4,0.17872,64.6,1
0.33978,0.03176,3202.8,4.6669,495.26,0.33227,0.0018149,3088.6,0.068946,64.6,1
0.32885,0.043557,3207,4.7893,495.26,0.32134,0.013612,3092.7,0.19136,64.6,1
0.31922,0.044465,3159.8,4.7686,516.8,0.31171,0.014519,3045.5,0.17065,86.133,1
0.31597,0.047187,3125.5,4.9854,516.8,0.30846,0.017241,3011.2,0.38742,86.133,1
0.32684,0.049909,3235.2,4.848,516.8,0.31933,0.019964,3121,0.25005,86.133,1
0.35059,0.045372,3399.2,4.6914,516.8,0.34308,0.015426,3284.9,0.093412,86.133,1
0.36701,0.043557,3486.3,4.6536,516.8,0.3595,0.013612,3372.1,0.055673,86.133,1
0.37725,0.044465,3571.4,4.6992,516.8,0.36974,0.014519,3457.1,0.10121,86.133,1
0.38641,0.046279,3691.5,4.5753,516.8,0.3789,0.016334,3577.2,0,86.133,1
0.3928,0.046279,3767.9,4.6629,516.8,0.38529,0.016334,3653.7,0.087591,86.133,1
0.406,0.033575,3804.3,4.5476,516.8,0.39849,0.0036298,3690.1,0,86.133,1
0.41429,0.024501,3865.5,4.57,516.8,0.40678,0,3751.2,0.022395,86.133,1
0.41087,0.033575,3947.5,4.6557,516.8,0.40336,0.0090744,3833.2,0.10811,86.133,1
0.40477,0.043557,3946.6,4.7135,516.8,0.39726,0.019056,3832.3,0.1659,86.133,1
0.41041,0.045372,3977.1,4.605,516.8,0.4029,0.020871,3862.8,0.057343,86.133,1
0.4215,0.039927,3843,4.4396,516.8,0.41399,0.015426,3728.7,0,86.133,1
0.42175,0.029946,3540.5,4.3467,516.8,0.41424,0.0054446,3426.2,0,86.133,1
0.42117,0.024501,3343.4,4.2801,516.8,0.41366,0,3229.1,0,86.133,1
0.43568,0.029038,3331.5,4.2709,516.8,0.42817,0.0045372,3217.2,0,86.133,1
0.46602,0.029946,3515,4.1708,516.8,0.45851,0.0054446,3400.7,0,86.133,1
0.48327,0.025408,3846.2,4.0325,538.33,0.47576,0.00090744,3731.9,0,107.67,1
0.44598,0.023593,3222.5,4.0919,538.33,0.43847,0,3108.2,0.059404,107.67,1
0.36665,0.022686,2641,4.2843,538.33,0.35914,0,2526.7,0.25181,107.67,1
0.2962,0.022686,1748.5,4.4084,538.33,0.28869,0,1634.2,0.37588,107.67,1
0.22715,0.021779,1523.3,4.4228,516.8,0.21964,0,1409,0.39033,86.133,1
0.14123,0.038113,461.05,5.0865,473.73,0.13372,0.016334,346.77,1.0541,43.066,1
0.063988,0.084392,60.981,5.6272,430.66,0.056478,0.062613,0,1.5947,0,1
0.026371,0.11525,147.56,6.0487,538.33,0.018861,0.093466,86.58,2.0162,107.67,1
0.016541,0.096189,133.4,5.9134,516.8,0.0090308,0.07441,72.422,1.8809,86.133,1
0.014061,0.062613,131.65,5.916,538.33,0.0065509,0.040835,70.668,1.8835,107.67,1
0.01402,0.045372,95.271,5.567,516.8,0.0065101,0.023593,34.29,1.5345,86.133,0
0.011926,0.059891,107.22,5.821,538.33,0.0044161,0.038113,46.236,1.7885,107.67,0
0.0076668,0.069873,99.015,5.7175,495.26,0.00015682,0.048094,38.034,1.685,64.6,0
0.0063915,0.07804,102.79,5.9646,258.4,0,0.056261,41.808,1.9321,0,0
0.0078191,0.072595,98.02,5.7163,129.2,0.0014276,0.050817,37.039,1.6838,0,0
0.007924,0.058984,103.28,5.7972,86.133,0.0015325,0.037205,42.302,1.7647,0,0
0.0078277,0.087114,115.76,5.8945,301.46,0.0014362,0.065336,54.783,1.862,215.33,0
0.0099073,0.10708,126.01,5.8838,1959.5,0.0035158,0.085299,65.026,1.8514,1873.4,0
0.015628,0.098911,115.48,5.7501,1981.1,0.0092364,0.077132,54.497,1.7176,1894.9,0
0.018007,0.099819,95.904,5.6666,1851.9,0.011616,0.07804,34.923,1.6341,1765.7,0
0.016253,0.11343,140.22,5.9467,258.4,0.0098613,0.091652,79.24,1.9142,172.27,0
0.014892,0.13067,133.7,5.9044,2024.1,0.0085003,0.10889,72.716,1.8719,1938,0
0.012268,0.14882,145.54,5.9891,193.8,0.0058762,0.12704,84.562,1.9566,107.67,0
0.010846,0.15789,149.15,6.0387,2067.2,0.0044544,0.13612,88.169,2.0062,1981.1,0
0.011069,0.14519,130.69,5.8758,2002.6,0.004678,0.12341,69.713,1.8433,1916.5,0
0.010501,0.12886,137.07,5.9626,215.33,0.0041098,0.10708,76.092,1.9302,129.2,0
0.0087814,0.1225,132.23,5.9741,236.87,0.0023899,0.10073,71.252,1.9416,150.73,0
