@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
378.19,5.0016,732.13,0.0018094,0,0,0,0,0,0,0,0,0
301.99,5.2119,150.73,0.014567,1,28,0,0.21033,0,0.012758,1,28,0
270.24,5.2737,1033.6,0.0024564,0,0,0,0.27217,882.86,0.00064707,0,0,0
143.07,5.4802,172.27,0.0097519,0,0,0,0.47862,21.533,0.0079425,0,0,0
72.261,5.5579,796.73,0.012921,1,23,0,0.55628,646,0.011111,1,23,1
230.79,5.3247,689.06,0.017711,1,28,158.53,0.3231,538.33,0.015902,1,28,1
1039.8,5.0854,495.26,0.014926,2,15,967.51,0.083867,344.53,0.013117,2,15,1
1682.5,5.0485,452.2,0.027613,1,15,1610.2,0.046975,301.46,0.025804,1,15,1
1522.5,5.0278,1270.5,0.032404,2,15,1450.2,0.026222,1119.7,0.030594,2,15,1
1732.1,5.1392,1270.5,0.043761,2,15,1659.9,0.13763,1119.7,0.041951,2,15,1
2407.8,5.1716,430.66,0.040352,3,15,2335.5,0.17007,279.93,0.038543,3,15,1
2911.8,5.1333,452.2,0.04356,3,15,2839.6,0.13176,301.46,0.041751,3,15,1
3385.3,5.0361,452.2,0.05012,3,15,3313.1,0.034548,301.46,0.048311,3,15,1
3538.9,5.0926,452.2,0.046821,4,4,3466.7,0.090987,301.46,0.045012,4,4,1
3544,5.1943,452.2,0.057759,3,15,3471.8,0.19271,301.46,0.05595,3,15,1
3468.8,5.3706,473.73,0.053588,4,4,3396.6,0.369,323,0.051778,4,4,1
3729.4,5.1749,1808.8,0.06251,3,13,3657.1,0.17331,1658.1,0.0607,3,13,1
3879.1,5.2749,1787.3,0.060274,4,4,3806.9,0.27336,1636.5,0.058464,4,4,1
4358.8,5.1864,516.8,0.064799,4,4,4286.5,0.18479,366.06,0.062989,4,4,1
3790,5.2539,473.73,0.068461,4,4,3717.7,0.25235,323,0.066652,4,4,1
4143.2,4.9626,495.26,0.040232,3,15,4071,0,344.53,0.038423,3,15,1
3673.5,5.036,495.26,0.052064,4,4,3601.3,0.073484,344.53,0.050254,4,4,1
3144.1,5.0459,473.73,0.058045,4,4,3071.9,0.083362,323,0.056235,4,4,1
2632.6,5.0159,473.73,0.060266,4,4,2560.3,0.053357,323,0.058457,4,4,1
2599.8,4.9733,473.73,0.042851,4,4,2527.6,0.010733,323,0.041041,4,4,1
2695.9,4.9499,473.73,0.039919,3,13,2623.6,0,323,0.03811,3,13,1
2868.6,4.989,473.73,0.04229,4,4,2796.3,0.039018,323,0.040481,4,4,1
2410.2,5.0502,473.73,0.043775,4,4,2338,0.10026,323,0.041966,4,4,1
2691.5,4.9306,495.26,0.040154,4,4,2619.2,0,344.53,0.038345,4,4,1
2774.9,4.8653,495.26,0.036451,3,4,2702.7,0,344.53,0.034642,3,4,1
2882.9,4.9027,495.26,0.038154,3,4,2810.6,0.037324,344.53,0.036345,3,4,1
3289.4,4.9305,495.26,0.042914,3,4,3217.2,0.065133,344.53,0.041105,3,4,1
3127.6,5.0322,516.8,0.036839,5,4,3055.4,0.16683,366.06,0.035029,5,4,1
