@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
118.04,5.9673,710.6,0.0053629,0,0,0,0,0,0,0,0,0
114.28,5.8897,925.93,0.0037031,0,0,0,0,215.33,0,0,0,0
124.59,5.9632,1916.5,0.012599,1,23,10.311,0.073464,1205.9,0.008896,1,23,0
150.21,6.0711,882.86,0.014016,2,14,35.934,0.18137,172.27,0.010313,2,14,0
171.48,6.2006,882.86,0.016443,2,15,57.197,0.31087,172.27,0.01274,2,15,1
142.68,5.9607,538.33,0.014562,2,14,28.403,0.070912,0,0.010859,2,14,1
1135.4,5.0043,495.26,0.01723,2,15,1021.2,0,0,0.013527,2,15,1
1650,4.9567,452.2,0.030876,1,15,1535.8,0,0,0.027173,1,15,1
1383.9,4.7959,430.66,0.04401,3,15,1269.6,0,0,0.040306,3,15,1
1558.6,4.919,430.66,0.047067,4,4,1444.4,0.12313,0,0.043364,4,4,1
1802.2,5.0667,452.2,0.06064,4,5,1687.9,0.27075,21.533,0.056937,4,5,1
1891.2,4.9475,452.2,0.044793,4,5,1776.9,0.15163,21.533,0.04109,4,5,1
2161.1,4.7659,452.2,0.045668,4,4,2046.8,0,21.533,0.041965,4,4,1
2299.9,4.9516,473.73,0.054312,4,4,2185.6,0.18565,43.066,0.050609,4,4,1
2291.2,5.0225,452.2,0.058461,4,4,2177,0.25655,21.533,0.054758,4,4,1
2517.2,5.18,452.2,0.06382,4,4,2402.9,0.41401,21.533,0.060117,4,4,1
2691,4.8836,473.73,0.064687,4,4,2576.7,0.11768,43.066,0.060984,4,4,1
2818.3,5.0428,473.73,0.058751,4,4,2704,0.27684,43.066,0.055048,4,4,1
2961,5.1449,473.73,0.075354,4,4,2846.8,0.37899,43.066,0.071651,4,4,1
3644.4,5.0025,473.73,0.082638,4,4,3530.2,0.23652,43.066,0.078935,4,4,1
3374.8,4.6868,495.26,0.046291,4,4,3260.5,0,64.6,0.042588,4,4,1
3450.6,4.7841,495.26,0.057401,4,4,3336.3,0.09731,64.6,0.053698,4,4,1
3337.7,4.788,473.73,0.061356,4,4,3223.4,0.10124,43.066,0.057653,4,4,1
2988.5,4.7748,473.73,0.06044,4,4,2874.3,0.088059,43.066,0.056737,4,4,1
2884.5,4.7226,473.73,0.041142,4,4,2770.3,0.035832,43.066,0.037439,4,4,1
2809.8,4.6791,473.73,0.034035,4,4,2695.5,0,43.066,0.030332,4,4,1
2943.5,4.7726,473.73,0.053563,4,5,2829.2,0.093434,43.066,0.04986,4,5,1
2747.7,4.8382,473.73,0.051075,4,4,2633.4,0.1591,43.066,0.047372,4,4,1
2840.1,4.7089,495.26,0.057269,4,4,2725.8,0.02982,64.6,0.053566,4,4,1
2890.8,4.5979,495.26,0.045007,4,4,2776.5,0,64.6,0.041304,4,4,1
3148.6,4.7767,495.26,0.042627,4,4,3034.4,0.17872,64.6,0.038924,4,4,1
3202.8,4.6669,495.26,0.040184,5,4,3088.6,0.068946,64.6,0.036481,5,4,1
3207,4.7893,495.26,0.043228,5,4,3092.7,0.19136,64.6,0.039525,5,4,1
3159.8,4.7686,516.8,0.043486,4,4,3045.5,0.17065,86.133,0.039783,4,4,1
3125.5,4.9854,516.8,0.048062,5,5,3011.2,0.38742,86.133,0.044359,5,5,1
3235.2,4.848,516.8,0.056742,5,5,3121,0.25005,86.133,0.053039,5,5,1
3399.2,4.6914,516.8,0.040275,6,4,3284.9,0.093412,86.133,0.036572,6,4,1
3486.3,4.6536,516.8,0.050406,6,4,3372.1,0.055673,86.133,0.046703,6,4,1
3571.4,4.6992,516.8,0.051561,6,4,3457.1,0.10121,86.133,0.047858,6,4,1
3691.5,4.5753,516.8,0.054432,5,5,3577.2,0,86.133,0.050729,5,5,1
3767.9,4.6629,516.8,0.050946,5,5,3653.7,0.087591,86.133,0.047243,5,5,1
3804.3,4.5476,516.8,0.055139,5,4,3690.1,0,86.133,0.051436,5,4,1
3865.5,4.57,516.8,0.069914,5,4,3751.2,0.022395,86.133,0.066211,5,4,1
3947.5,4.6557,516.8,0.077084,6,4,3833.2,0.10811,86.133,0.07338,6,4,1
3946.6,4.7135,516.8,0.084459,6,4,3832.3,0.1659,86.133,0.080756,6,4,1
3977.1,4.605,516.8,0.072591,5,4,3862.8,0.057343,86.133,0.068888,5,4,1
3843,4.4396,516.8,0.068478,3,4,3728.7,0,86.133,0.064775,3,4,1
3540.5,4.3467,516.8,0.056471,4,4,3426.2,0,86.133,0.052768,4,4,1
