@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
378.19,5.0016,732.13,0.46919,22,0,0,0,0,0,0
301.99,5.2119,150.73,0.42134,21,0,0.21033,0,0,0,0
270.24,5.2737,1033.6,0.49937,23,0,0.27217,882.86,0.078022,2,0
143.07,5.4802,172.27,0.4917,20,0,0.47862,21.533,0.070361,0,0
72.261,5.5579,796.73,0.44574,21,0,0.55628,646,0.024397,1,1
230.79,5.3247,689.06,0.43749,18,158.53,0.3231,538.33,0.016146,0,1
1039.8,5.0854,495.26,0.66119,17,967.51,0.083867,344.53,0.23984,0,1
1682.5,5.0485,452.2,0.72157,23,1610.2,0.046975,301.46,0.30023,6,1
1522.5,5.0278,1270.5,0.91701,28,1450.2,0.026222,1119.7,0.49567,11,1
1732.1,5.1392,1270.5,0.76169,30,1659.9,0.13763,1119.7,0.34035,13,1
2407.8,5.1716,430.66,0.67706,28,2335.5,0.17007,279.93,0.25572,11,1
2911.8,5.1333,452.2,0.73489,32,2839.6,0.13176,301.46,0.31355,15,1
3385.3,5.0361,452.2,0.79153,33,3313.1,0.034548,301.46,0.37019,16,1
3538.9,5.0926,452.2,0.77323,32,3466.7,0.090987,301.46,0.35189,15,1
3544,5.1943,452.2,0.81722,33,3471.8,0.19271,301.46,0.39588,16,1
3468.8,5.3706,473.73,0.55907,31,3396.6,0.369,323,0.13773,14,1
3729.4,5.1749,1808.8,0.71287,33,3657.1,0.17331,1658.1,0.29152,16,1
3879.1,5.2749,1787.3,0.70008,33,3806.9,0.27336,1636.5,0.27874,16,1
4358.8,5.1864,516.8,0.7455,30,4286.5,0.18479,366.06,0.32416,13,1
3790,5.2539,473.73,0.75563,27,3717.7,0.25235,323,0.33429,10,1
4143.2,4.9626,495.26,0.98228,36,4071,0,344.53,0.56094,19,1
3673.5,5.036,495.26,0.99798,34,3601.3,0.073484,344.53,0.57663,17,1
3144.1,5.0459,473.73,1.1342,33,3071.9,0.083362,323,0.71285,16,1
2632.6,5.0159,473.73,1.2129,34,2560.3,0.053357,323,0.79159,17,1
2599.8,4.9733,473.73,1.1912,34,2527.6,0.010733,323,0.7699,17,1
2695.9,4.9499,473.73,1.1981,34,2623.6,0,323,0.77677,17,1
2868.6,4.989,473.73,1.2075,34,2796.3,0.039018,323,0.78617,17,1
2410.2,5.0502,473.73,1.2425,9,2338,0.10026,323,0.82117,0,1
2691.5,4.9306,495.26,1.41,9,2619.2,0,344.53,0.98868,0,1
2774.9,4.8653,495.26,1.4882,9,2702.7,0,344.53,1.0669,0,1
2882.9,4.9027,495.26,1.514,9,2810.6,0.037324,344.53,1.0927,0,1
3289.4,4.9305,495.26,1.4822,9,3217.2,0.065133,344.53,1.0608,0,1
3127.6,5.0322,516.8,1.3755,9,3055.4,0.16683,366.06,0.95414,0,1
3048.1,4.9676,495.26,1.403,9,2975.8,0.10228,344.53,0.98165,0,1
2881.1,5.0934,516.8,1.3717,9,2808.9,0.22809,366.06,0.95038,0,1
3169.9,4.9872,516.8,1.4599,9,3097.7,0.12191,366.06,1.0386,0,1
3580.9,5.024,516.8,1.4267,9,3508.7,0.15865,366.06,1.0054,0,1
4088.8,4.9809,516.8,1.3786,9,4016.5,0.11555,366.06,0.95728,0,1
