@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,0,0,0
0.061444,0.049002,0,0,0
0.053477,0.049002,0,0,0
0.048074,0.060799,0,0.011797,0
0.0453,0.060799,0,0.011797,1
0.062414,0.049002,0.017114,0,1
0.11699,0.049002,0.071691,0,1
0.14549,0.049909,0.10019,0.00090744,1
0.15196,0.054446,0.10666,0.0054446,1
0.16855,0.058076,0.12325,0.0090744,1
0.18053,0.058076,0.13523,0.0090744,1
0.21462,0.058076,0.16932,0.0090744,1
0.26675,0.050817,0.22145,0.0018149,1
0.26697,0.056261,0.22167,0.0072595,1
0.25182,0.064428,0.20652,0.015426,1
0.26081,0.061706,0.21551,0.012704,1
0.26094,0.068058,0.21564,0.019056,1
0.25732,0.075318,0.21202,0.026316,1
0.27439,0.072595,0.22909,0.023593,1
0.32387,0.058984,0.27857,0.0099819,1
0.30599,0.066243,0.26069,0.017241,1
0.27933,0.068058,0.23403,0.019056,1
0.2659,0.07078,0.2206,0.021779,1
0.23467,0.086207,0.18937,0.037205,1
0.2458,0.086207,0.2005,0.037205,1
0.23513,0.090744,0.18983,0.041742,1
0.24446,0.083485,0.19916,0.034483,1
0.26087,0.060799,0.21557,0.011797,1
0.26771,0.051724,0.22241,0.0027223,1
0.28216,0.051724,0.23687,0.0027223,1
0.30426,0.041742,0.25896,0,1
0.31609,0.037205,0.27079,0,1
0.30133,0.046279,0.25603,0.0090744,1
0.28428,0.052632,0.23898,0.015426,1
0.28008,0.051724,0.23478,0.014519,1
0.29564,0.049909,0.25034,0.012704,1
0.32139,0.047187,0.27609,0.0099819,1
0.33868,0.046279,0.29338,0.0090744,1
0.34643,0.049909,0.30113,0.012704,1
0.37074,0.043557,0.32544,0.0063521,1
0.40237,0.029946,0.35707,0,1
0.39803,0.026316,0.35273,0,1
0.38175,0.033575,0.33645,0.0072595,1
0.36232,0.050817,0.31702,0.024501,1
0.34,0.057169,0.2947,0.030853,1
0.36333,0.048094,0.31803,0.021779,1
0.38102,0.039927,0.33572,0.013612,1
0.37292,0.03176,0.32762,0.0054446,1
0.376,0.026316,0.3307,0,1
0.38838,0.023593,0.34308,0,1
0.41751,0.022686,0.37221,0,1
0.43654,0.023593,0.39124,0.00090744,1
0.38575,0.023593,0.34045,0.00090744,1
0.30098,0.023593,0.25568,0.00090744,1
0.24969,0.023593,0.20439,0.00090744,1
0.19837,0.023593,0.15307,0.00090744,1
0.13233,0.034483,0.087029,0.011797,1
0.081775,0.04265,0.036475,0.019964,1
0.0695,0.037205,0.0242,0.014519,1
0.072868,0.03176,0.027569,0.0090744,1
0.069398,0.032668,0.024099,0.0099819,1
0.056154,0.034483,0.010855,0.011797,0
0.054794,0.037205,0.0094947,0.014519,0
0.061619,0.034483,0.01632,0.011797,0
0.065887,0.026316,0.020587,0.0036298,0
0.067939,0.018149,0.022639,0,0
0.085652,0.018149,0.040352,0,0
0.12795,0.024501,0.082651,0.0063521,0
0.19609,0.022686,0.15079,0.0045372,0
0.22847,0.023593,0.18317,0.0054446,0
0.22951,0.022686,0.18421,0.0045372,0
0.25832,0.022686,0.21302,0.0045372,0
0.27648,0.023593,0.23118,0.0054446,0
0.27562,0.022686,0.23032,0.0045372,0
0.25511,0.023593,0.20981,0.0054446,0
0.19327,0.027223,0.14797,0.0090744,0
0.19047,0.025408,0.14517,0.0072595,0
0.19712,0.023593,0.15182,0.0054446,0
0.16995,0.020871,0.12465,0.0027223,0
0.1942,0.023593,0.1489,0.0054446,0
0.18695,0.034483,0.14165,0.016334,0
0.14688,0.032668,0.10158,0.014519,0
0.12496,0.022686,0.079663,0.0045372,0
0.089448,0.034483,0.044149,0.016334,0
0.085269,0.040835,0.03997,0.022686,0
0.089299,0.03176,0.043999,0.013612,0
0.072387,0.026316,0.027088,0.008167,1
0.1074,0.026316,0.062098,0.008167,1
0.14542,0.032668,0.10012,0.014519,1
0.17284,0.039927,0.12754,0.021779,1
0.19655,0.044465,0.15125,0.026316,1
0.21816,0.03902,0.17286,0.020871,1
0.22765,0.036298,0.18235,0.018149,1
0.23562,0.039927,0.19032,0.021779,1
0.23031,0.046279,0.18501,0.028131,1
0.23054,0.045372,0.18524,0.027223,1
0.23116,0.047187,0.18586,0.029038,1
0.21844,0.051724,0.17314,0.033575,1
0.23124,0.045372,0.18594,0.027223,1
0.22764,0.051724,0.18234,0.033575,1
0.22034,0.057169,0.17504,0.03902,1
0.22881,0.049909,0.18351,0.03176,1
0.23439,0.040835,0.18909,0.022686,1
0.22957,0.040835,0.18427,0.022686,1
0.24012,0.039927,0.19482,0.021779,1
0.24131,0.044465,0.19601,0.026316,1
0.23754,0.050817,0.19224,0.032668,1
0.24412,0.044465,0.19882,0.026316,1
0.21906,0.046279,0.17376,0.028131,1
0.20799,0.041742,0.16269,0.023593,1
0.20032,0.052632,0.15503,0.034483,1
0.18012,0.069873,0.13482,0.051724,1
0.16547,0.071688,0.12017,0.053539,1
0.15261,0.071688,0.10731,0.053539,1
0.15,0.076225,0.1047,0.058076,1
0.16171,0.072595,0.11641,0.054446,1
0.16095,0.068966,0.11565,0.050817,1
0.16027,0.066243,0.11497,0.048094,1
0.1793,0.049909,0.134,0.03176,1
0.18945,0.047187,0.14415,0.029038,1
0.19541,0.052632,0.15011,0.034483,1
0.18833,0.058984,0.14303,0.040835,1
0.17935,0.065336,0.13405,0.047187,1
0.17928,0.067151,0.13398,0.049002,1
0.18595,0.055354,0.14065,0.037205,1
0.19631,0.046279,0.15101,0.028131,1
0.19043,0.058076,0.14513,0.039927,1
0.19566,0.065336,0.15036,0.047187,1
0.19847,0.065336,0.15317,0.047187,1
0.18556,0.065336,0.14026,0.047187,1
0.17232,0.071688,0.12702,0.053539,1
0.15692,0.075318,0.11162,0.057169,1
0.15644,0.063521,0.11115,0.045372,1
0.16,0.060799,0.1147,0.04265,1
0.16126,0.061706,0.11596,0.043557,1
0.16523,0.067151,0.11993,0.049002,1
0.16825,0.068058,0.12295,0.049909,1
0.16452,0.062613,0.11922,0.044465,1
0.16103,0.064428,0.11573,0.046279,1
