@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,378.19,5.0016,732.13,0.0018094,0,0,0.46919,22,0,0,0,0,0,0,0,0,0,0,0
0.061444,0.049002,301.99,5.2119,150.73,0.014567,1,28,0.42134,21,0,0,0,0.21033,0,0.012758,1,28,0,0,0
0.053477,0.049002,270.24,5.2737,1033.6,0.0024564,0,0,0.49937,23,0,0,0,0.27217,882.86,0.00064707,0,0,0.078022,2,0
0.048074,0.060799,143.07,5.4802,172.27,0.0097519,0,0,0.4917,20,0,0.011797,0,0.47862,21.533,0.0079425,0,0,0.070361,0,0
0.0453,0.060799,72.261,5.5579,796.73,0.012921,1,23,0.44574,21,0,0.011797,0,0.55628,646,0.011111,1,23,0.024397,1,1
0.062414,0.049002,230.79,5.3247,689.06,0.017711,1,28,0.43749,18,0.017114,0,158.53,0.3231,538.33,0.015902,1,28,0.016146,0,1
0.11699,0.049002,1039.8,5.0854,495.26,0.014926,2,15,0.66119,17,0.071691,0,967.51,0.083867,344.53,0.013117,2,15,0.23984,0,1
0.14549,0.049909,1682.5,5.0485,452.2,0.027613,1,15,0.72157,23,0.10019,0.00090744,1610.2,0.046975,301.46,0.025804,1,15,0.30023,6,1
0.15196,0.054446,1522.5,5.0278,1270.5,0.032404,2,15,0.91701,28,0.10666,0.0054446,1450.2,0.026222,1119.7,0.030594,2,15,0.49567,11,1
0.16855,0.058076,1732.1,5.1392,1270.5,0.043761,2,15,0.76169,30,0.12325,0.0090744,1659.9,0.13763,1119.7,0.041951,2,15,0.34035,13,1
