@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.026362,0,121,0,0
0.025511,0,68,0,0
0.024793,0,125,57,0
0.020657,0,14,0,0
0.021712,0.0010544,20,6,1
0.019892,0,141,127,1
0.026104,0.0062123,59,45,1
0.046163,0.026271,55,41,1
0.07571,0.055818,54,40,1
0.079864,0.059972,53,39,1
0.067755,0.047864,50,36,1
0.073765,0.053873,48,34,1
0.083505,0.063613,47,33,1
0.10162,0.081731,47,33,1
0.10213,0.082239,49,35,1
0.089098,0.069206,47,33,1
0.089956,0.070065,45,31,1
0.1139,0.094013,47,33,1
0.10357,0.08368,45,31,1
0.14023,0.12034,43,29,1
0.11409,0.094194,42,28,1
0.13963,0.11974,42,28,1
0.13828,0.11839,43,29,1
0.12397,0.10408,44,30,1
0.11673,0.096838,44,30,1
0.11043,0.090543,45,31,1
0.12696,0.10707,44,30,1
0.11133,0.091437,42,28,1
0.13851,0.11862,41,27,1
0.1203,0.10041,40,26,1
0.11754,0.09765,39,25,1
0.096768,0.076876,39,25,1
0.11669,0.096795,130,116,1
0.13228,0.11239,38,24,1
0.1108,0.090908,38,24,1
0.11869,0.098801,37,23,1
0.1086,0.088712,37,23,1
0.10856,0.088665,37,23,1
0.091802,0.071911,36,22,1
0.098744,0.078853,124,110,1
0.11373,0.093842,35,21,1
0.11271,0.092816,35,21,1
0.12308,0.10319,35,21,1
0.12809,0.1082,36,22,1
0.14163,0.12174,36,22,1
0.11382,0.093928,36,22,1
0.10899,0.089102,36,22,1
0.1069,0.087008,36,22,1
0.089651,0.06976,37,23,1
0.074984,0.055092,37,23,1
0.064283,0.044392,34,20,1
0.068449,0.048557,32,18,1
0.076374,0.056483,30,16,1
0.062399,0.042508,31,17,1
0.045035,0.025143,30,16,1
0.037521,0.01763,39,25,1
0.033844,0.013952,47,33,1
0.025778,0.0058864,146,132,1
0.021441,0.0015493,28,14,1
0.022065,0.002173,38,24,1
0.021613,0.0017216,72,58,1
0.014663,0,130,116,0
0.012639,0,97,83,0
0.022194,0.0095548,71,57,0
0.020252,0.0076124,88,74,0
0.016546,0.0039073,72,58,0
0.015574,0.0029353,72,58,0
0.01526,0.0026206,126,112,0
0.020967,0.0083277,114,100,0
0.028382,0.015743,19,5,0
0.034445,0.021806,15,1,0
0.02424,0.011601,39,25,0
0.025144,0.012505,33,19,0
0.030904,0.018265,103,89,0
0.021644,0.0090051,36,22,0
0.026154,0.013515,38,24,0
0.024137,0.011498,27,13,0
0.025941,0.013301,29,15,0
0.024586,0.011947,24,10,0
0.037856,0.025217,46,32,0
0.025123,0.012484,21,7,0
0.027349,0.014709,37,23,0
0.021502,0.0088632,39,25,0
0.027812,0.015173,24,10,0
0.029281,0.016642,22,8,0
0.028426,0.015787,44,30,0
0.026193,0.013553,93,79,1
0.026089,0.01345,40,26,1
0.053777,0.041138,42,28,1
0.064911,0.052272,44,30,1
0.07874,0.066101,44,30,1
0.094455,0.081816,44,30,1
0.09765,0.085011,42,28,1
0.090566,0.077927,41,27,1
0.10189,0.089247,41,27,1
0.098611,0.085972,41,27,1
0.092254,0.079615,41,27,1
0.099445,0.086806,42,28,1
0.090608,0.077969,42,28,1
0.089829,0.07719,42,28,1
0.099387,0.086748,42,28,1
0.093088,0.080448,42,28,1
0.093507,0.080868,138,124,1
0.10603,0.093388,42,28,1
0.098331,0.085692,136,122,1
0.10042,0.087777,42,28,1
0.11984,0.1072,43,29,1
0.10905,0.096407,44,30,1
0.086379,0.073739,46,32,1
0.093406,0.080766,47,33,1
0.10621,0.093574,48,34,1
0.11003,0.097386,48,34,1
0.087112,0.074473,49,35,1
0.089314,0.076675,49,35,1
0.098802,0.086163,49,35,1
0.091441,0.078801,50,36,1
0.10199,0.089346,49,35,1
0.11881,0.10617,49,35,1
0.11673,0.10409,48,34,1
0.099519,0.08688,47,33,1
0.10942,0.096777,48,34,1
0.11367,0.10103,48,34,1
0.1064,0.093758,47,33,1
0.11067,0.098027,46,32,1
0.11201,0.099367,45,31,1
0.1114,0.098766,46,32,1
0.10362,0.090984,46,32,1
0.10442,0.091782,46,32,1
0.10082,0.08818,146,132,1
0.10031,0.08767,48,34,1
0.10065,0.088008,49,35,1
0.10364,0.090999,50,36,1
0.11029,0.097646,51,37,1
0.088861,0.076222,52,38,1
0.084094,0.071455,52,38,1
0.097834,0.085194,51,37,1
0.098555,0.085915,52,38,1
0.10418,0.091546,51,37,1
0.10159,0.088952,51,37,1
0.10507,0.092429,51,37,1
0.099936,0.087297,50,36,1
0.089372,0.076733,49,35,1
0.096412,0.083773,49,35,1
0.097633,0.084994,48,34,1
0.10354,0.090897,48,34,1
0.11843,0.10579,48,34,1
0.12357,0.11094,47,33,1
0.11775,0.10511,45,31,1
0.11941,0.10677,43,29,1
0.087198,0.074559,44,30,1
0.10496,0.092319,44,30,1
0.12098,0.10834,43,29,1
0.10979,0.097147,43,29,1
0.11439,0.10175,42,28,1
0.098148,0.085509,41,27,1
0.086512,0.073873,41,27,1
0.098607,0.085968,40,26,1
0.10978,0.097142,40,26,1
0.086863,0.074224,41,27,1
0.079824,0.067185,42,28,1
0.088981,0.076341,136,122,1
0.093086,0.080447,42,28,1
0.082929,0.07029,42,28,1
0.086073,0.073433,43,29,1
0.083895,0.071256,139,125,1
0.09819,0.085551,43,29,1
0.098849,0.08621,43,29,1
0.093195,0.080556,45,31,1
0.057502,0.044863,144,130,1
0.049529,0.03689,47,33,1
0.045333,0.032694,149,135,1
0.054439,0.041799,48,34,1
0.06103,0.048391,26,12,1
0.031337,0.018698,24,10,1
0.030274,0.017635,55,41,1
0.042188,0.029549,61,47,1
0.029964,0.017325,47,33,1
0.036773,0.024134,71,57,1
0.039515,0.026876,78,64,1
0.030348,0.017709,29,15,1
0.035873,0.023234,80,66,1
0.0445,0.031861,84,70,1
0.027828,0.015189,71,57,1
0.026659,0.01402,67,53,1
0.031753,0.019114,46,32,1
0.022399,0.0097602,25,11,1
0.021705,0.0090663,96,82,1
0.02396,0.011321,56,42,1
0.018463,0.0058238,81,67,1
0.051863,0.039224,72,58,1
0.042435,0.029796,29,15,1
0.038307,0.025667,96,82,1
0.03334,0.020701,34,20,1
0.035051,0.022412,41,27,1
0.039125,0.026485,70,56,1
0.033799,0.02116,69,55,1
0.022218,0.0095793,33,19,1
0.022922,0.010283,62,48,1
0.0326,0.019961,37,23,1
0.021399,0.0087601,70,56,1
0.025555,0.012915,158,144,0
0.018652,0.0060126,88,74,0
0.021748,0.0091089,65,51,0
0.017957,0.0053181,72,58,0
0.016843,0.0042041,128,114,0
0.014074,0.0014345,113,99,0
0.014579,0.0019398,55,41,0
0.020201,0.0075618,35,21,0
0.013439,0.00079951,113,99,0
0.014867,0.0022275,85,71,0
0.013112,0.00047238,90,76,0
0.010079,0,98,84,0
0.011402,0.0013227,80,66,0
0.013918,0.0038388,109,95,0
0.014831,0.0047517,46,32,0
0.018962,0.0088826,34,20,0
0.017049,0.0069695,48,34,0
0.0147,0.0046211,21,7,0
0.015349,0.0052697,146,132,0
0.021421,0.011342,96,82,0
0.022196,0.012117,109,95,0
0.01938,0.0093009,111,97,0
0.015021,0.0049421,115,101,0
0.011132,0.0010529,15,1,0
0.014413,0.0043338,106,92,0
0.017243,0.007164,37,23,0
0.016058,0.0059793,37,23,0
0.016637,0.0065576,89,75,0
0.023924,0.013845,60,46,0
0.019982,0.0099025,33,19,0
0.021298,0.011219,34,20,0
0.020463,0.010384,104,90,0
0.033322,0.023243,51,37,0
0.026366,0.016287,63,49,0
0.026088,0.016009,63,49,0
0.036335,0.026255,60,46,0
0.024501,0.014422,66,52,0
0.022263,0.012184,62,48,0
0.024319,0.014239,119,105,0
0.022591,0.012512,65,51,0
0.032781,0.022702,62,48,0
0.022082,0.012003,118,104,0
0.025485,0.015406,64,50,0
0.017104,0.0070249,67,52,0
0.026131,0.016052,122,107,0
0.018979,0.0088997,128,113,0
0.021872,0.011793,76,61,0
0.028615,0.018536,62,47,0
0.030667,0.020588,52,37,0
0.026741,0.016661,76,61,0
0.022931,0.012851,118,103,0
0.027719,0.01764,117,102,0
0.029639,0.01956,33,18,0
0.031439,0.02136,50,35,0
0.025542,0.015463,116,101,0
0.023346,0.013267,120,105,0
0.021247,0.011168,72,57,0
0.016367,0.0062875,73,58,0
0.028103,0.018024,86,71,0
0.025929,0.01585,113,98,0
0.024611,0.014532,39,24,0
0.02483,0.01475,46,31,0
0.030546,0.020467,45,30,0
0.030938,0.020859,31,16,0
0.034875,0.024796,39,24,0
0.026047,0.015968,23,8,0
0.025289,0.01521,64,49,0
0.02135,0.011271,45,30,0
0.02463,0.014551,136,121,0
0.027137,0.017058,35,20,0
0.023033,0.012954,133,118,0
0.020297,0.010218,40,25,0
0.017095,0.0070164,89,74,0
0.021307,0.011228,56,41,0
0.02351,0.013431,47,32,0
0.038398,0.028319,43,28,0
0.026706,0.016627,15,0,0
0.020709,0.01063,84,69,0
0.019039,0.0089603,51,36,0
0.032494,0.022414,70,55,0
