@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.081504,0,0.051724,0,0.026362,0,121,0,0
0.079169,0,0.053539,0.0018149,0.025511,0,68,0,0
0.068849,0,0.049909,0,0.024793,0,125,57,0
0.061807,0,0.055354,0.0054446,0.020657,0,14,0,0
0.058218,0,0.057169,0.0072595,0.021712,0.0010544,20,6,1
0.075633,0.017416,0.049002,0,0.019892,0,141,127,1
0.12815,0.069928,0.049909,0.00090744,0.026104,0.0062123,59,45,1
0.15689,0.098676,0.050817,0.0018149,0.046163,0.026271,55,41,1
0.16586,0.10764,0.053539,0.0045372,0.07571,0.055818,54,40,1
0.18717,0.12896,0.054446,0.0054446,0.079864,0.059972,53,39,1
0.20181,0.14359,0.050817,0.0018149,0.067755,0.047864,50,36,1
0.23932,0.1811,0.054446,0.0054446,0.073765,0.053873,48,34,1
0.29931,0.24109,0.049002,0,0.083505,0.063613,47,33,1
0.30055,0.24233,0.052632,0.0036298,0.10162,0.081731,47,33,1
0.28098,0.22276,0.058984,0.0099819,0.10213,0.082239,49,35,1
0.29069,0.23247,0.051724,0.0027223,0.089098,0.069206,47,33,1
0.29038,0.23216,0.058076,0.0090744,0.089956,0.070065,45,31,1
0.28724,0.22902,0.071688,0.022686,0.1139,0.094013,47,33,1
0.30608,0.24786,0.067151,0.018149,0.10357,0.08368,45,31,1
0.35401,0.29579,0.051724,0.0027223,0.14023,0.12034,43,29,1
0.33203,0.27381,0.064428,0.015426,0.11409,0.094194,42,28,1
0.2992,0.24098,0.066243,0.017241,0.13963,0.11974,42,28,1
0.27709,0.21888,0.067151,0.018149,0.13828,0.11839,43,29,1
0.23863,0.18041,0.084392,0.03539,0.12397,0.10408,44,30,1
0.2512,0.19298,0.084392,0.03539,0.11673,0.096838,44,30,1
0.23779,0.17958,0.087114,0.038113,0.11043,0.090543,45,31,1
0.24903,0.19081,0.07804,0.029038,0.12696,0.10707,44,30,1
0.26932,0.21111,0.060799,0.011797,0.11133,0.091437,42,28,1
0.27484,0.21662,0.055354,0.0063521,0.13851,0.11862,41,27,1
0.28645,0.22823,0.051724,0.0027223,0.1203,0.10041,40,26,1
0.30957,0.25135,0.044465,0,0.11754,0.09765,39,25,1
0.32405,0.26583,0.03902,0,0.096768,0.076876,39,25,1
0.30848,0.25026,0.047187,0.008167,0.11669,0.096795,130,116,1
0.2892,0.23098,0.053539,0.014519,0.13228,0.11239,38,24,1
0.28383,0.22561,0.053539,0.014519,0.1108,0.090908,38,24,1
0.29929,0.24107,0.051724,0.012704,0.11869,0.098801,37,23,1
0.32561,0.26739,0.049002,0.0099819,0.1086,0.088712,37,23,1
0.34492,0.2867,0.046279,0.0072595,0.10856,0.088665,37,23,1
0.35366,0.29544,0.051724,0.012704,0.091802,0.071911,36,22,1
0.37946,0.32124,0.047187,0.008167,0.098744,0.078853,124,110,1
0.4153,0.35708,0.029946,0,0.11373,0.093842,35,21,1
0.40731,0.3491,0.026316,0,0.11271,0.092816,35,21,1
0.38374,0.32552,0.037205,0.010889,0.12308,0.10319,35,21,1
0.36154,0.30332,0.054446,0.028131,0.12809,0.1082,36,22,1
0.33667,0.27845,0.057169,0.030853,0.14163,0.12174,36,22,1
0.36314,0.30493,0.048094,0.021779,0.11382,0.093928,36,22,1
0.38255,0.32434,0.039927,0.013612,0.10899,0.089102,36,22,1
0.37372,0.3155,0.03176,0.0054446,0.1069,0.087008,36,22,1
0.37865,0.32043,0.028131,0.0018149,0.089651,0.06976,37,23,1
0.38991,0.3317,0.025408,0,0.074984,0.055092,37,23,1
