@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.081504,0,0.051724,0,0.44305,0,4,0,0
0.079169,0,0.053539,0.0018149,0.42757,0,5,1,0
0.068849,0,0.049909,0,0.51467,0.087094,3,0,0
0.061807,0,0.055354,0.0054446,0.34298,0,4,1,0
0.058218,0,0.057169,0.0072595,0.29604,0,5,2,1
0.075633,0.017416,0.049002,0,0.20134,0,4,1,1
0.12815,0.069928,0.049909,0.00090744,0.50464,0.3033,3,0,1
0.15689,0.098676,0.050817,0.0018149,0.78074,0.5794,3,0,1
0.16586,0.10764,0.053539,0.0045372,0.78074,0.5794,6,3,1
0.18717,0.12896,0.054446,0.0054446,0.53054,0.3292,6,3,1
0.20181,0.14359,0.050817,0.0018149,0.40829,0.20695,6,3,1
0.23932,0.1811,0.054446,0.0054446,0.5511,0.34976,6,3,1
0.29931,0.24109,0.049002,0,0.66486,0.46352,6,3,1
0.30055,0.24233,0.052632,0.0036298,0.53393,0.33259,6,3,1
0.28098,0.22276,0.058984,0.0099819,0.72106,0.51972,6,3,1
0.29069,0.23247,0.051724,0.0027223,0.486,0.28466,6,3,1
0.29038,0.23216,0.058076,0.0090744,0.67069,0.46935,6,3,1
0.28724,0.22902,0.071688,0.022686,0.80552,0.60418,6,3,1
0.30608,0.24786,0.067151,0.018149,1.0466,0.84527,6,3,1
0.35401,0.29579,0.051724,0.0027223,1.1201,0.91881,7,4,1
0.33203,0.27381,0.064428,0.015426,1.1105,0.90914,8,5,1
0.2992,0.24098,0.066243,0.017241,1.0722,0.87089,8,5,1
0.27709,0.21888,0.067151,0.018149,1.2629,1.0615,7,4,1
0.23863,0.18041,0.084392,0.03539,1.3122,1.1108,7,4,1
0.2512,0.19298,0.084392,0.03539,1.3254,1.1241,7,4,1
0.23779,0.17958,0.087114,0.038113,1.3292,1.1278,6,3,1
0.24903,0.19081,0.07804,0.029038,1.3562,1.1548,7,4,1
0.26932,0.21111,0.060799,0.011797,1.4234,1.222,2,0,1
0.27484,0.21662,0.055354,0.0063521,1.4878,1.2864,2,0,1
0.28645,0.22823,0.051724,0.0027223,1.4869,1.2856,2,0,1
0.30957,0.25135,0.044465,0,1.5236,1.3222,2,0,1
0.32405,0.26583,0.03902,0,1.4698,1.2685,2,0,1
0.30848,0.25026,0.047187,0.008167,1.4065,1.2051,2,0,1
0.2892,0.23098,0.053539,0.014519,1.365,1.1637,2,0,1
0.28383,0.22561,0.053539,0.014519,1.3115,1.1102,2,0,1
0.29929,0.24107,0.051724,0.012704,1.3403,1.139,2,0,1
0.32561,0.26739,0.049002,0.0099819,1.2986,1.0972,2,0,1
0.34492,0.2867,0.046279,0.0072595,1.2376,1.0363,2,0,1
0.35366,0.29544,0.051724,0.012704,1.145,0.94368,2,0,1
0.37946,0.32124,0.047187,0.008167,1.3073,1.1059,2,0,1
0.4153,0.35708,0.029946,0,1.5191,1.3178,2,0,1
0.40731,0.3491,0.026316,0,1.4716,1.2702,2,0,1
0.38374,0.32552,0.037205,0.010889,1.547,1.3457,2,0,1
0.36154,0.30332,0.054446,0.028131,1.412,1.2107,2,0,1
0.33667,0.27845,0.057169,0.030853,1.3186,1.1172,2,0,1
0.36314,0.30493,0.048094,0.021779,1.4666,1.2653,2,0,1
0.38255,0.32434,0.039927,0.013612,1.4907,1.2894,2,0,1
0.37372,0.3155,0.03176,0.0054446,1.534,1.3327,2,0,1
