@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.081504,0,0.051724,0,0
0.079169,0,0.053539,0.0018149,0
0.068849,0,0.049909,0,0
0.061807,0,0.055354,0.0054446,0
0.058218,0,0.057169,0.0072595,1
0.075633,0.017416,0.049002,0,1
0.12815,0.069928,0.049909,0.00090744,1
0.15689,0.098676,0.050817,0.0018149,1
0.16586,0.10764,0.053539,0.0045372,1
0.18717,0.12896,0.054446,0.0054446,1
0.20181,0.14359,0.050817,0.0018149,1
0.23932,0.1811,0.054446,0.0054446,1
0.29931,0.24109,0.049002,0,1
0.30055,0.24233,0.052632,0.0036298,1
0.28098,0.22276,0.058984,0.0099819,1
0.29069,0.23247,0.051724,0.0027223,1
0.29038,0.23216,0.058076,0.0090744,1
0.28724,0.22902,0.071688,0.022686,1
0.30608,0.24786,0.067151,0.018149,1
0.35401,0.29579,0.051724,0.0027223,1
0.33203,0.27381,0.064428,0.015426,1
0.2992,0.24098,0.066243,0.017241,1
0.27709,0.21888,0.067151,0.018149,1
0.23863,0.18041,0.084392,0.03539,1
0.2512,0.19298,0.084392,0.03539,1
0.23779,0.17958,0.087114,0.038113,1
0.24903,0.19081,0.07804,0.029038,1
0.26932,0.21111,0.060799,0.011797,1
0.27484,0.21662,0.055354,0.0063521,1
0.28645,0.22823,0.051724,0.0027223,1
0.30957,0.25135,0.044465,0,1
0.32405,0.26583,0.03902,0,1
0.30848,0.25026,0.047187,0.008167,1
0.2892,0.23098,0.053539,0.014519,1
0.28383,0.22561,0.053539,0.014519,1
0.29929,0.24107,0.051724,0.012704,1
0.32561,0.26739,0.049002,0.0099819,1
0.34492,0.2867,0.046279,0.0072595,1
0.35366,0.29544,0.051724,0.012704,1
0.37946,0.32124,0.047187,0.008167,1
0.4153,0.35708,0.029946,0,1
0.40731,0.3491,0.026316,0,1
0.38374,0.32552,0.037205,0.010889,1
0.36154,0.30332,0.054446,0.028131,1
0.33667,0.27845,0.057169,0.030853,1
0.36314,0.30493,0.048094,0.021779,1
0.38255,0.32434,0.039927,0.013612,1
0.37372,0.3155,0.03176,0.0054446,1
0.37865,0.32043,0.028131,0.0018149,1
0.38991,0.3317,0.025408,0,1
0.41427,0.35606,0.024501,0,1
0.43288,0.37466,0.025408,0.00090744,1
0.3861,0.32788,0.023593,0,1
0.30709,0.24887,0.022686,0,1
0.2595,0.20128,0.022686,0,1
0.20812,0.1499,0.023593,0.00090744,1
0.14244,0.084225,0.036298,0.013612,1
0.096529,0.038312,0.044465,0.021779,1
0.088153,0.029936,0.037205,0.014519,1
0.093351,0.035134,0.029038,0.0063521,1
0.088862,0.030645,0.03176,0.0090744,1
0.072162,0.013944,0.03539,0.012704,0
0.07028,0.012062,0.037205,0.014519,0
0.079306,0.021088,0.03539,0.012704,0
0.085097,0.026879,0.028131,0.0054446,0
0.087327,0.02911,0.019964,0,0
0.11099,0.052777,0.016334,0,0
0.16606,0.10784,0.022686,0.0063521,0
0.25277,0.19455,0.022686,0.0063521,0
0.29402,0.2358,0.023593,0.0072595,0
0.29637,0.23815,0.022686,0.0063521,0
0.33279,0.27457,0.022686,0.0063521,0
0.35291,0.29469,0.023593,0.0072595,0
0.34891,0.2907,0.022686,0.0063521,0
0.3235,0.26528,0.023593,0.0072595,0
0.24768,0.18946,0.027223,0.010889,0
0.24377,0.18555,0.025408,0.0090744,0
0.25229,0.19407,0.023593,0.0072595,0
0.22009,0.16187,0.020871,0.0045372,0
0.25142,0.1932,0.023593,0.0072595,0
0.24207,0.18385,0.034483,0.018149,0
0.19044,0.13223,0.032668,0.016334,0
0.16196,0.10374,0.022686,0.0063521,0
0.11591,0.057691,0.034483,0.018149,0
0.11055,0.052328,0.040835,0.024501,0
0.11565,0.057435,0.03176,0.015426,0
0.091342,0.033125,0.026316,0.0099819,1
0.12037,0.062154,0.024501,0.008167,1
0.15569,0.097469,0.034483,0.018149,1
0.18298,0.12476,0.043557,0.027223,1
0.21113,0.15291,0.04265,0.026316,1
0.23747,0.17926,0.03539,0.019056,1
0.24487,0.18665,0.03902,0.022686,1
0.25442,0.1962,0.044465,0.028131,1
0.24806,0.18984,0.046279,0.029946,1
0.24317,0.18495,0.043557,0.027223,1
0.24163,0.18341,0.043557,0.027223,1
0.2268,0.16858,0.049909,0.033575,1
0.24407,0.18585,0.04265,0.026316,1
0.2386,0.18038,0.047187,0.030853,1
0.22836,0.17014,0.052632,0.036298,1
0.24039,0.18217,0.043557,0.027223,1
0.24667,0.18845,0.040835,0.024501,1
0.24038,0.18216,0.04265,0.026316,1
0.25487,0.19665,0.039927,0.023593,1
0.25877,0.20056,0.048094,0.03176,1
0.25423,0.19602,0.054446,0.038113,1
0.26343,0.20521,0.044465,0.028131,1
0.23745,0.17923,0.04265,0.026316,1
0.22571,0.16749,0.039927,0.023593,1
0.21536,0.15714,0.049002,0.032668,1
0.19184,0.13362,0.069873,0.053539,1
0.17646,0.11824,0.07441,0.058076,1
0.16137,0.10316,0.072595,0.056261,1
0.15859,0.10038,0.078947,0.062613,1
0.17088,0.11266,0.072595,0.056261,1
0.16837,0.11015,0.065336,0.049002,1
0.16755,0.10933,0.058984,0.04265,1
0.19109,0.13287,0.048094,0.03176,1
0.20143,0.14321,0.050817,0.034483,1
0.20957,0.15135,0.058076,0.041742,1
0.20323,0.14501,0.058076,0.041742,1
0.18958,0.13137,0.056261,0.039927,1
0.18657,0.12835,0.059891,0.043557,1
0.19379,0.13557,0.051724,0.03539,1
0.20511,0.14689,0.044465,0.028131,1
0.19721,0.13899,0.058076,0.041742,1
0.20312,0.1449,0.067151,0.050817,1
0.20671,0.14849,0.07078,0.054446,1
0.1949,0.13668,0.076225,0.059891,1
0.18474,0.12653,0.073503,0.057169,1
0.16835,0.11013,0.071688,0.055354,1
0.1668,0.10859,0.062613,0.046279,1
0.17122,0.113,0.054446,0.038113,1
0.17394,0.11572,0.049909,0.033575,1
0.1802,0.12198,0.060799,0.044465,1
0.18469,0.12647,0.07078,0.054446,1
0.18074,0.12252,0.064428,0.048094,1
0.17445,0.11624,0.062613,0.046279,1
0.17525,0.11704,0.056261,0.039927,1
0.17607,0.11785,0.058076,0.041742,1
0.1764,0.11818,0.066243,0.049909,1
0.18529,0.12707,0.057169,0.040835,1
0.1837,0.12548,0.053539,0.037205,1
0.18332,0.1251,0.058076,0.041742,1
0.19218,0.13397,0.059891,0.043557,1
0.2045,0.14628,0.061706,0.045372,1
0.23185,0.17363,0.057169,0.040835,1
0.25353,0.19531,0.051724,0.03539,1
0.25378,0.19556,0.054446,0.038113,1
0.24708,0.18886,0.062613,0.046279,1
0.25483,0.19662,0.059891,0.043557,1
0.26437,0.20615,0.053539,0.037205,1
0.26602,0.2078,0.049002,0.032668,1
0.26825,0.21003,0.044465,0.028131,1
0.27267,0.21445,0.034483,0.018149,1
0.28059,0.22238,0.032668,0.016334,1
0.29587,0.23765,0.028131,0.011797,1
0.28608,0.22786,0.026316,0.0099819,1
0.2582,0.19998,0.036298,0.019964,1
0.25339,0.19517,0.03902,0.022686,1
0.27059,0.21238,0.040835,0.024501,1
0.28127,0.22305,0.043557,0.027223,1
0.29366,0.23544,0.03902,0.022686,1
0.29319,0.23498,0.03176,0.015426,1
0.27972,0.2215,0.03176,0.015426,1
0.26929,0.21107,0.03902,0.022686,1
0.25907,0.20086,0.036298,0.019964,1
0.30041,0.24219,0.03902,0.022686,1
0.31248,0.25427,0.049002,0.032668,1
0.37321,0.31499,0.038113,0.021779,1
0.45419,0.39598,0.030853,0.014519,1
0.46634,0.40812,0.034483,0.018149,1
0.4405,0.38228,0.03539,0.019056,1
0.42163,0.36341,0.032668,0.016334,1
0.43015,0.37193,0.029038,0.012704,1
0.39619,0.33797,0.034483,0.018149,1
0.35171,0.29349,0.037205,0.020871,1
0.3612,0.30298,0.03176,0.015426,1
0.33131,0.2731,0.03176,0.015426,1
0.27945,0.22123,0.045372,0.029038,1
0.26067,0.20245,0.049002,0.032668,1
0.22182,0.1636,0.041742,0.025408,1
0.23379,0.17557,0.029038,0.012704,1
0.24957,0.19135,0.019964,0.0036298,1
0.20686,0.14864,0.029946,0.013612,1
0.17777,0.11956,0.03176,0.015426,1
0.21337,0.15516,0.026316,0.0099819,1
0.21095,0.15273,0.028131,0.011797,1
0.21216,0.15394,0.055354,0.03902,1
0.22761,0.1694,0.075318,0.058984,1
0.22586,0.16764,0.049002,0.032668,1
0.22126,0.16304,0.043557,0.027223,1
0.21018,0.15196,0.043557,0.027223,1
0.18751,0.1293,0.032668,0.016334,1
0.12706,0.068843,0.046279,0.029946,1
0.09912,0.040902,0.062613,0.046279,1
0.10979,0.051571,0.04265,0.026316,1
0.1136,0.055379,0.024501,0.008167,1
0.099355,0.041137,0.043557,0.027223,1
