@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
66.973,0,5.2854,0,710.6,0,0.45265,0,8,0,0
67.131,0.15759,5.2594,0,925.93,215.33,0.59141,0.13876,3,0,0
72.889,5.9154,5.3065,0.047025,1916.5,1205.9,0.55676,0.10411,7,4,0
88.971,21.998,5.4885,0.22904,882.86,172.27,0.48503,0.032376,11,8,0
91.045,24.071,5.5117,0.25222,882.86,172.27,0.52677,0.074116,20,17,1
63.013,0,5.2883,0.028856,538.33,0,0.84675,0.3941,2,0,1
1223.6,1160.5,4.7392,0,495.26,0,1.0195,0.56689,2,0,1
1733.4,1670.4,4.759,0.019871,452.2,0,1.0426,0.58999,3,1,1
1470.1,1407.1,4.5461,0,430.66,0,1.2993,0.84662,6,4,1
1661.4,1598.3,4.6393,0.09326,430.66,0,1.286,0.83336,6,4,1
1905.2,1842.2,4.8211,0.27502,452.2,21.533,1.1444,0.6918,6,4,1
2015.5,1952.5,4.6152,0.069075,452.2,21.533,1.3464,0.89374,6,4,1
2289.7,2226.7,4.3435,0,452.2,21.533,1.4231,0.97049,6,4,1
2438.5,2375.4,4.5463,0.2028,473.73,43.066,1.357,0.90437,6,4,1
2421.3,2358.3,4.637,0.2935,452.2,21.533,1.2939,0.84129,6,4,1
2660.1,2597.1,4.7844,0.4409,452.2,21.533,1.2429,0.79021,6,4,1
2808.6,2745.6,4.518,0.17453,473.73,43.066,1.3676,0.91498,6,4,1
2949.2,2886.2,4.6711,0.3276,473.73,43.066,1.3086,0.856,6,4,1
3096.4,3033.4,4.7898,0.44634,473.73,43.066,1.2571,0.8044,6,4,1
3788.3,3725.3,4.658,0.31451,473.73,43.066,1.3607,0.9081,7,5,1
3485.7,3422.7,4.3657,0.022213,495.26,64.6,1.3965,0.94384,7,5,1
3574.9,3511.9,4.457,0.11345,495.26,64.6,1.3961,0.94346,7,5,1
3464.5,3401.5,4.4561,0.11257,473.73,43.066,1.4051,0.95245,7,5,1
3117.2,3054.1,4.4385,0.095033,473.73,43.066,1.4392,0.9865,7,5,1
3004.7,2941.7,4.3903,0.046765,473.73,43.066,1.4393,0.98663,7,5,1
2920.4,2857.4,4.3383,0,473.73,43.066,1.4142,0.96155,7,5,1
3056.6,2993.6,4.4427,0.10442,473.73,43.066,1.4544,1.0017,7,5,1
2872.4,2809.4,4.5054,0.16709,473.73,43.066,1.518,1.0653,3,1,1
2960,2897,4.3734,0.035046,495.26,64.6,1.5364,1.0837,2,0,1
2984.1,2921.1,4.2427,0,495.26,64.6,1.5587,1.1061,2,0,1
3259,3196,4.3726,0.1299,495.26,64.6,1.5852,1.1326,2,0,1
3308.7,3245.7,4.2772,0.034444,495.26,64.6,1.53,1.0773,2,0,1
3325.9,3262.8,4.332,0.089314,495.26,64.6,1.4693,1.0166,2,0,1
3271.2,3208.2,4.3417,0.098941,516.8,86.133,1.4585,1.0059,2,0,1
3271.3,3208.3,4.4547,0.21194,516.8,86.133,1.414,0.96132,2,0,1
3347.9,3284.9,4.394,0.1513,516.8,86.133,1.3841,0.93145,2,0,1
3480.3,3417.2,4.2068,0,516.8,86.133,1.4741,1.0214,2,0,1
3557.3,3494.2,4.186,0,516.8,86.133,1.5245,1.0718,2,0,1
3659.6,3596.6,4.206,0.02005,516.8,86.133,1.5479,1.0953,2,0,1
3741.7,3678.7,4.1119,0,516.8,86.133,1.572,1.1194,2,0,1
3824.1,3761.1,4.1733,0.061323,516.8,86.133,1.575,1.1223,2,0,1
3835.8,3772.8,4.0683,0,516.8,86.133,1.5859,1.1333,2,0,1
3900.5,3837.5,4.0698,0.0014988,516.8,86.133,1.5848,1.1322,2,0,1
3988.1,3925.1,4.1639,0.095671,516.8,86.133,1.5538,1.1011,2,0,1
3988.4,3925.4,4.1979,0.12967,516.8,86.133,1.5299,1.0773,2,0,1
4015.4,3952.4,4.1153,0.047053,516.8,86.133,1.5449,1.0923,2,0,1
3871,3808,3.9727,0,516.8,86.133,1.5816,1.129,2,0,1
3593.5,3530.5,3.8876,0,516.8,86.133,1.6088,1.1562,2,0,1
3416.9,3353.9,3.8163,0,516.8,86.133,1.6315,1.1788,2,0,1
3419.7,3356.7,3.8153,0,516.8,86.133,1.6392,1.1866,2,0,1
3604.6,3541.6,3.707,0,516.8,86.133,1.5807,1.1281,2,0,1
3918.6,3855.5,3.5803,0,538.33,107.67,1.6322,1.1796,2,0,1
3322.6,3259.6,3.6082,0.0279,538.33,107.67,1.6307,1.1781,2,0,1
2773.1,2710.1,3.8238,0.24346,538.33,107.67,1.6443,1.1917,2,0,1
1871.1,1808.1,3.9439,0.36355,538.33,107.67,1.4975,1.0449,2,0,1
1630,1567,4.0169,0.43652,516.8,86.133,1.671,1.2184,2,0,1
564.33,501.32,4.609,1.0286,473.73,43.066,1.477,1.0243,2,0,1
148.7,85.688,5.2066,1.6262,430.66,0,1.2672,0.81455,2,0,1
70.206,7.1929,5.5821,2.0018,538.33,107.67,0.65995,0.2073,7,5,1
72.307,9.2935,5.4706,1.8903,516.8,86.133,0.58704,0.13439,7,5,1
76.372,13.358,5.3391,1.7588,538.33,107.67,0.87602,0.42336,3,1,1
45.768,0,4.8904,1.3101,516.8,86.133,1.3681,0.91545,2,0,0
56.429,10.662,5.0393,1.459,538.33,107.67,1.3732,0.92053,2,0,0
56.438,10.671,5.0413,1.461,495.26,64.6,0.44804,0,2,0,0
60.837,15.07,5.2364,1.656,258.4,0,0.27167,0,6,4,0
61.764,15.997,5.2043,1.6239,129.2,0,0.082786,0,7,5,0
69.115,23.348,5.3315,1.7512,86.133,0,0.12904,0.046257,7,5,0
76.022,30.255,5.3726,1.7922,301.46,215.33,0.37188,0.28909,9,7,0
82.524,36.757,5.4139,1.8336,1959.5,1873.4,0.51064,0.42786,7,5,0
69.526,23.758,5.3216,1.7413,1981.1,1894.9,0.79791,0.71512,8,6,0
46.318,0.55085,5.2756,1.6953,1851.9,1765.7,0.73194,0.64916,7,5,0
81.392,35.624,5.4947,1.9143,258.4,172.27,0.4826,0.39981,10,8,0
81.186,35.419,5.5056,1.9253,2024.1,1938,0.29651,0.21372,10,8,0
