@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE class	{0,1}

@DATA
378.19,-5.0016,732.13,120.04,0.72525,461.33,0
301.99,-5.2119,150.73,127.67,0.84217,150.73,0
270.24,-5.2737,1033.6,146.54,0.84111,105.49,0
143.07,-5.4802,172.27,119.01,0.88232,142.84,0
72.261,-5.5579,796.73,56.295,0.65742,453.73,1
230.79,-5.3247,689.06,334.13,1.1215,322.28,1
1039.8,-5.0854,495.26,868.74,0.83791,242.19,1
1682.5,-5.0485,452.2,637.25,0.38146,418.65,1
1522.5,-5.0278,1270.5,194.41,0.47739,720.96,1
1732.1,-5.1392,1270.5,875.64,0.60798,730.39,1
2407.8,-5.1716,430.66,1191.7,0.1232,419.76,1
2911.8,-5.1333,452.2,1193,0.58978,69.776,1
3385.3,-5.0361,452.2,1030.3,0.32044,0,1
3538.9,-5.0926,452.2,529.94,0.63461,0,1
3544,-5.1943,452.2,352.46,0.84973,69.776,1
3468.8,-5.3706,473.73,567.01,0.22824,566.86,1
3729.4,-5.1749,1808.8,874.69,0.49745,1089.9,1
3879.1,-5.2749,1787.3,1104.9,0.174,1074.5,1
4358.8,-5.1864,516.8,440.74,0.2334,582.59,1
3790,-5.2539,473.73,639.14,0.76675,71.418,1
4143.2,-4.9626,495.26,491.2,0.73526,73.023,1
3673.5,-5.036,495.26,1354.7,0.45816,73.023,1
3144.1,-5.0459,473.73,1279.2,0.22535,71.418,1
2632.6,-5.0159,473.73,846.42,0.42679,0,1
2599.8,-4.9733,473.73,286.88,0.40508,0,1
2695.9,-4.9499,473.73,601.88,0.19684,0,1
2868.6,-4.989,473.73,640.08,0.50009,0,1
2410.2,-5.0502,473.73,462,0.38371,71.418,1
2691.5,-4.9306,495.26,700.56,0.67508,73.023,1
2774.9,-4.8653,495.26,515.33,0.26093,0,1
2882.9,-4.9027,495.26,861.18,0.39958,0,1
3289.4,-4.9305,495.26,634.47,0.56504,73.023,1
3127.6,-5.0322,516.8,614.39,0.30573,0,1
3048.1,-4.9676,495.26,612.92,0.39007,0,1
2881.1,-5.0934,516.8,418.95,0.22356,74.593,1
3169.9,-4.9872,516.8,1053.2,0.41612,0,1
3580.9,-5.024,516.8,1282.7,0.12637,0,1
4088.8,-4.9809,516.8,1267.9,0.14992,0,1
4367.3,-5.015,516.8,182.19,0.094846,0,1
4104,-4.9773,516.8,664.58,0.75219,0,1
4152.1,-4.7876,516.8,698.07,0.54889,0,1
3869.3,-4.8514,516.8,579.97,0.16513,0,1
3978.2,-4.7989,516.8,460,0.33854,0,1
3762.9,-4.8992,516.8,882.33,0.71211,0,1
3564.4,-5.0059,516.8,444.3,0.27043,0,1
3873.7,-4.87,516.8,564.89,0.74758,0,1
3729.2,-4.7764,516.8,926.51,0.75544,0,1
3413.3,-4.631,516.8,849.43,0.69356,0,1
3306.4,-4.5686,516.8,349.19,0.57086,0,1
3339.5,-4.4884,516.8,758.35,0.42598,0,1
3650.8,-4.4878,516.8,883.21,0.60951,74.593,1
3766.9,-4.3228,538.33,1193,0.45745,76.131,1
2895.2,-4.3909,538.33,1429,0.68281,0,1
2356.2,-4.5352,538.33,1269.7,0.78367,0,1
1526.8,-4.6618,538.33,803.85,0.63135,76.131,1
1509.8,-4.7062,516.8,856.28,1.277,149.19,1
555.53,-5.3548,452.2,558.69,1.4752,120.85,1
386.06,-5.5189,452.2,201.31,0.48723,261.08,1
345.58,-5.4409,150.73,69.109,0.96085,98.678,1
413.7,-5.1796,323,111.89,0.88884,102.14,1
285.06,-5.1358,215.33,152.85,0.5174,96.299,1
249.77,-5.0753,236.87,117.32,0.082439,101,0
174.84,-5.1331,129.2,9.102,0.65794,105.49,0
250.72,-4.9066,409.13,147.25,0.9433,239.3,0
347.81,-4.7704,409.13,38.752,0.37054,239.3,0
242.08,-4.9642,129.2,79.3,0.3645,74.593,0
399.76,-4.824,323,370.47,1.075,250.19,0
928.75,-4.4851,516.8,691.37,1.1044,223.78,0
1429.1,-4.2801,516.8,913.55,0.65277,0,0
2096.7,-4.286,516.8,892.68,0.48543,74.593,0
2189.2,-4.3901,538.33,503.77,0.44107,76.131,0
2328.6,-4.3746,538.33,532.6,0.35613,0,0
2432.9,-4.3321,538.33,588.81,0.12785,76.131,0
2613.6,-4.3822,516.8,370.37,0.25958,74.593,0
2537.8,-4.3628,516.8,1150.8,0.8623,0,0
1569.8,-4.723,516.8,771.72,0.76865,74.593,0
1779.1,-4.613,495.26,698.22,0.70294,73.023,0
2117.9,-4.5088,495.26,595.91,0.32433,263.29,0
1443.8,-4.6597,215.33,452.06,0.43115,96.299,0
1834.8,-4.429,409.13,579.06,0.4596,187.72,0
1809.3,-4.5643,387.6,587.47,0.21897,129.2,0
1453.3,-4.408,495.26,863.88,0.57816,146.05,0
782.22,-4.716,473.73,575.56,0.95895,71.418,0
606.29,-4.798,516.8,211.79,0.66052,105.49,0
634.26,-4.8978,516.8,228.22,0.94322,166.8,0
442.05,-5.1613,409.13,252.32,1.0498,175.6,0
346.2,-5.3249,366.06,283.4,0.28849,153.78,1
906.02,-5.13,538.33,548.71,0.72114,170.23,1
1010.8,-5.1222,473.73,629.46,0.43217,123.7,1
1690,-5.0571,473.73,862.26,0.50497,0,1
1890.7,-5.0213,473.73,282.15,0.44401,0,1
1774.2,-4.9786,473.73,704.22,0.3442,71.418,1
2449.8,-4.9737,495.26,1060.5,0.48272,73.023,1
