@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE cepstralMostDominantPeak_delta REAL
@ATTRIBUTE cepstralNumPeaks_delta REAL
@ATTRIBUTE cepstralLocFirstPeak_delta REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,378.19,-5.0016,732.13,0.0018094,0,0,0.46919,22,0.0074257,0.0047587,120.04,0.72525,461.33,0.0033973,0,0,0.10595,3.3166,0
0.061444,0.049002,301.99,-5.2119,150.73,0.014567,1,28,0.42134,21,0.017274,0.0047152,127.67,0.84217,150.73,0.0021709,0,0,0.079732,3.2404,0
0.053477,0.049002,270.24,-5.2737,1033.6,0.0024564,0,0,0.49937,23,0.018908,0.017001,146.54,0.84111,105.49,0.0024319,0,0,0.13254,3.3912,0
0.048074,0.060799,143.07,-5.4802,172.27,0.0097519,0,0,0.4917,20,0.01402,0.018937,119.01,0.88232,142.84,0.0071431,0,0,0.11482,4.4721,0
0.0453,0.060799,72.261,-5.5579,796.73,0.012921,1,23,0.44574,21,0.018022,0.018937,56.295,0.65742,453.73,0.0071709,0.70711,17.944,0.10992,4.5826,1
0.062414,0.049002,230.79,-5.3247,689.06,0.017711,1,28,0.43749,18,0.0473,0.017001,334.13,1.1215,322.28,0.0042138,0.70711,10.583,0.21709,6,1
0.11699,0.049002,1039.8,-5.0854,495.26,0.014926,2,15,0.66119,17,0.069712,0.0047152,868.74,0.83791,242.19,0.0085964,0,9.8742,0.30646,6.5192,1
0.14549,0.049909,1682.5,-5.0485,452.2,0.027613,1,15,0.72157,23,0.050435,0.011656,637.25,0.38146,418.65,0.015534,0,0,0.30381,11.247,1
0.15196,0.054446,1522.5,-5.0278,1270.5,0.032404,2,15,0.91701,28,0.041856,0.014911,194.41,0.47739,720.96,0.016175,1,0,0.13563,9.8995,1
0.16855,0.058076,1732.1,-5.1392,1270.5,0.043761,2,15,0.76169,30,0.049074,0.010267,875.64,0.60798,730.39,0.013188,1,0,0.3023,0,1
0.18053,0.058076,2407.8,-5.1716,430.66,0.040352,3,15,0.67706,28,0.064483,0,1191.7,0.1232,419.76,0.00201,1.2247,0,0.09525,5.2915,1
0.21462,0.058076,2911.8,-5.1333,452.2,0.04356,3,15,0.73489,32,0.096187,0.014519,1193,0.58978,69.776,0.014586,0,0,0.20509,8.9443,1
0.26675,0.050817,3385.3,-5.0361,452.2,0.05012,3,15,0.79153,33,0.083567,0.0067907,1030.3,0.32044,0,0.0090397,1.2247,9.083,0.12319,0,1
0.26697,0.056261,3538.9,-5.0926,452.2,0.046821,4,4,0.77323,32,0.04465,0.019568,529.94,0.63461,0,0.013373,0,0,0.09966,0,1
0.25182,0.064428,3544,-5.1943,452.2,0.057759,3,15,0.81722,33,0.027865,0.013244,352.46,0.84973,69.776,0.013979,0,0,0.29582,4.062,1
0.26081,0.061706,3468.8,-5.3706,473.73,0.053588,4,4,0.55907,31,0.034485,0.010582,567.01,0.22824,566.86,0.011282,0,2,0.1708,0,1
0.26094,0.068058,3729.4,-5.1749,1808.8,0.06251,3,13,0.71287,33,0.021338,0.021522,874.69,0.49745,1089.9,0.014456,0,0,0.22419,5.7446,1
0.25732,0.075318,3879.1,-5.2749,1787.3,0.060274,4,4,0.70008,33,0.041603,0.013072,1104.9,0.174,1074.5,0.0083059,1.4142,4.2426,0.10689,7.0356,1
0.27439,0.072595,4358.8,-5.1864,516.8,0.064799,4,4,0.7455,30,0.095556,0.024349,440.74,0.2334,582.59,0.016287,0,0,0.1439,9.4868,1
0.32387,0.058984,3790,-5.2539,473.73,0.068461,4,4,0.75563,27,0.071533,0.013687,639.14,0.76675,71.418,0.028999,1.4142,4.6904,0.2991,9,1
0.30599,0.066243,4143.2,-4.9626,495.26,0.040232,3,15,0.98228,36,0.082549,0.017337,491.2,0.73526,73.023,0.018162,0,0,0.345,11.225,1
0.27933,0.068058,3673.5,-5.036,495.26,0.052064,4,4,0.99798,34,0.074829,0.012426,1354.7,0.45816,73.023,0.021533,1.4142,4.6904,0.27532,7.1414,1
0.2659,0.07078,3144.1,-5.0459,473.73,0.058045,4,4,1.1342,33,0.077061,0.025343,1279.2,0.22535,71.418,0.015429,0,0,0.34914,0,1
0.23467,0.086207,2632.6,-5.0159,473.73,0.060266,4,4,1.2129,34,0.048556,0.025786,846.42,0.42679,0,0.021397,0,0,0.18601,4.1231,1
0.2458,0.086207,2599.8,-4.9733,473.73,0.042851,4,4,1.1912,34,0.0075457,0.013985,286.88,0.40508,0,0.020879,1.4142,4.2426,0.09394,0,1
0.23513,0.090744,2695.9,-4.9499,473.73,0.039919,3,13,1.1981,34,0.012559,0.011114,601.88,0.19684,0,0.003345,0,0,0.098727,0,1
0.24446,0.083485,2868.6,-4.989,473.73,0.04229,4,4,1.2075,34,0.056096,0.035355,640.08,0.50009,0,0.0090297,1.4142,4.2426,0.16372,20.616,1
0.26087,0.060799,2410.2,-5.0502,473.73,0.043775,4,4,1.2425,9,0.055066,0.031072,462,0.38371,71.418,0.0068372,0,0,0.3547,10.607,1
0.26771,0.051724,2691.5,-4.9306,495.26,0.040154,4,4,1.41,9,0.053386,0.015319,700.56,0.67508,73.023,0.012126,1.4142,0,0.41622,0,1
0.28216,0.051724,2774.9,-4.8653,495.26,0.036451,3,4,1.4882,9,0.071813,0.016067,515.33,0.26093,0,0.0060377,1.2247,0,0.27815,0,1
0.30426,0.041742,2882.9,-4.9027,495.26,0.038154,3,4,1.514,9,0.071842,0.017408,861.18,0.39958,0,0.011104,0,0,0.067922,0,1
0.31609,0.037205,3289.4,-4.9305,495.26,0.042914,3,4,1.4822,9,0.021519,0.0091871,634.47,0.56504,73.023,0.0053131,1.7321,0,0.32039,0,1
0.30133,0.046279,3127.6,-5.0322,516.8,0.036839,5,4,1.3755,9,0.069226,0.018894,614.39,0.30573,0,0.0060923,1.5811,0,0.23332,0,1
0.28428,0.052632,3048.1,-4.9676,495.26,0.044929,4,4,1.403,9,0.054963,0.01197,612.92,0.39007,0,0.012226,1.4142,1.4142,0.051387,0,1
0.28008,0.051724,2881.1,-5.0934,516.8,0.043492,4,5,1.3717,9,0.039878,0.0083908,418.95,0.22356,74.593,0.015053,1.4142,1.5811,0.1976,0,1
0.29564,0.049909,3169.9,-4.9872,516.8,0.055349,5,5,1.4599,9,0.078146,0.010641,1053.2,0.41612,0,0.0084309,0,2.2361,0.20034,0,1
0.32139,0.047187,3580.9,-5.024,516.8,0.046061,4,3,1.4267,9,0.083167,0.0092541,1282.7,0.12637,0,0.020987,0,1.7321,0.24083,0,1
0.33868,0.046279,4088.8,-4.9809,516.8,0.036224,5,3,1.3786,9,0.065119,0.0079369,1267.9,0.14992,0,0.0041106,1.5811,0,0.29633,0,1
0.34643,0.049909,4367.3,-5.015,516.8,0.046994,5,3,1.2993,9,0.074522,0.0082422,182.19,0.094846,0,0.0071203,2.2361,0,0.044796,0,1
0.37074,0.043557,4104,-4.9773,516.8,0.038382,3,3,1.3817,9,0.10183,0.020851,664.58,0.75219,0,0.020909,1.2247,1.2247,0.40715,2.1213,1
0.40237,0.029946,4152.1,-4.7876,516.8,0.024213,4,4,1.5393,10,0.074096,0.016067,698.07,0.54889,0,0.012207,1.4142,1.4142,0.27599,2.2361,1
0.39803,0.026316,3869.3,-4.8514,516.8,0.05069,4,4,1.4807,10,0.064059,0.0069109,579.97,0.16513,0,0.026057,0,0,0.13167,0,1
0.38175,0.033575,3978.2,-4.7989,516.8,0.051002,4,4,1.5627,10,0.082566,0.020281,460,0.33854,0,0.013063,1.4142,0,0.11306,2.2361,1
0.36232,0.050817,3762.9,-4.8992,516.8,0.057382,3,4,1.4643,9,0.086969,0.024484,882.33,0.71211,0,0.019344,0,0,0.32086,2.1213,1
0.34,0.057169,3564.4,-5.0059,516.8,0.064044,4,4,1.4221,9,0.013131,0.0088213,444.3,0.27043,0,0.015191,0,0,0.20872,0,1
0.36333,0.048094,3873.7,-4.87,516.8,0.050175,3,4,1.5256,9,0.086328,0.020362,564.89,0.74758,0,0.019109,0,0,0.30388,0,1
0.38102,0.039927,3729.2,-4.7764,516.8,0.049489,4,4,1.5431,9,0.042739,0.018058,926.51,0.75544,0,0.018916,0,0,0.1095,0,1
0.37292,0.03176,3413.3,-4.631,516.8,0.035715,3,4,1.5411,9,0.030598,0.014702,849.43,0.69356,0,0.016943,0,0,0.19025,0,1
0.376,0.026316,3306.4,-4.5686,516.8,0.033413,4,4,1.4962,9,0.05391,0.010366,349.19,0.57086,0,0.0072996,2,0,0.083328,0,1
0.38838,0.023593,3339.5,-4.4884,516.8,0.038904,5,4,1.5318,9,0.089785,0.0065437,758.35,0.42598,0,0.015685,0,1.4142,0.026732,2.1213,1
0.41751,0.022686,3650.8,-4.4878,516.8,0.020766,4,3,1.4971,10,0.10027,0,883.21,0.60951,74.593,0.015907,2,3,0.21179,2.2361,1
0.43654,0.023593,3766.9,-4.3228,538.33,0.014534,3,10,1.5918,10,0.083268,0.0032718,1193,0.45745,76.131,0.0089614,1.2247,0,0.22883,0,1
0.38575,0.023593,2895.2,-4.3909,538.33,0.031817,3,3,1.5629,10,0.1617,0,1429,0.68281,0,0.017562,1.2247,3.2404,0.067027,0,1
0.30098,0.023593,2356.2,-4.5352,538.33,0.033921,4,3,1.586,10,0.14309,0,1269.7,0.78367,0,0.0034461,0,0,0.41718,0,1
0.24969,0.023593,1526.8,-4.6618,538.33,0.031116,3,3,1.3434,10,0.11318,0,803.85,0.63135,76.131,0.001869,1.2247,0,0.32274,2.2361,1
0.19837,0.023593,1509.8,-4.7062,516.8,0.033697,3,3,1.431,9,0.10789,0.011334,856.28,1.277,149.19,0.010234,1.7321,3.873,0.55135,3,1
0.13233,0.034483,555.53,-5.3548,452.2,0.0249,1,13,0.91857,8,0.087833,0.018126,558.69,1.4752,120.85,0.0054248,1,8.0623,0.66014,4,1
0.081775,0.04265,386.06,-5.5189,452.2,0.031333,1,13,0.48213,13,0.050685,0.0076193,201.31,0.48723,261.08,0.0086959,0.70711,2.5495,0.37449,11.113,1
0.0695,0.037205,345.58,-5.4409,150.73,0.020074,2,12,0.3368,27,0.017593,0.014233,69.109,0.96085,98.678,0.013463,0,0,0.089775,7.3485,1
0.072868,0.03176,413.7,-5.1796,323,0.013274,1,13,0.52999,9,0.0019226,0.0084883,111.89,0.88884,102.14,0.0086366,1,8.8318,0.19072,7.9373,1
0.069398,0.032668,285.06,-5.1358,215.33,0.0088349,0,0,0.47407,13,0.024082,0.0066683,152.85,0.5174,96.299,0.002385,0,0,0.035256,9.5394,1
0.056154,0.034483,249.77,-5.0753,236.87,0.011986,1,15,0.53523,23,0.020249,0.0088446,117.32,0.082439,101,0.00627,0,0,0.17016,7.5829,0
0.054794,0.037205,174.84,-5.1331,129.2,0.0022754,0,0,0.58226,8,0.012236,0,9.102,0.65794,105.49,0.0032461,0,0,0.19103,7.2111,0
0.061619,0.034483,250.72,-4.9066,409.13,0.0027245,0,0,0.66058,10,0.018487,0.013702,147.25,0.9433,239.3,0.00082204,0,0,0.2816,2.2361,0
0.065887,0.026316,347.81,-4.7704,409.13,0.0017793,0,0,0.82236,7,0.014428,0.01466,38.752,0.37054,239.3,0.0027379,0,0,0.14622,3.2404,0
