@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0078659,0,139,0,0
0.0097405,0.0018745,145,0,0
0.0079613,9.5349e-05,154,0,0
0.014013,0.0061471,44,-110,0
0.012667,0.0048007,52,-102,1
0.017985,0.010119,21,-133,1
0.028237,0.020371,126,-28,1
0.045281,0.037415,55,-99,1
0.10461,0.096744,54,-100,1
0.1153,0.10743,53,-101,1
0.11359,0.10573,51,-103,1
0.13852,0.13066,48,-106,1
0.18508,0.17721,47,-107,1
0.16749,0.15962,47,-107,1
0.17311,0.16525,49,-105,1
0.16144,0.15358,47,-107,1
0.16064,0.15277,45,-109,1
0.19497,0.1871,47,-107,1
0.16592,0.15805,46,-108,1
0.20131,0.19345,43,-111,1
0.17541,0.16755,42,-112,1
0.18867,0.18081,42,-112,1
0.18161,0.17375,43,-111,1
0.15937,0.1515,44,-110,1
0.14636,0.13849,44,-110,1
0.15135,0.14349,45,-109,1
0.16524,0.15738,44,-110,1
0.14317,0.13531,43,-111,1
0.17145,0.16358,41,-113,1
0.1682,0.16034,40,-114,1
0.14129,0.13342,39,-115,1
0.13966,0.13179,39,-115,1
0.15864,0.15077,130,-24,1
0.15221,0.14434,38,-116,1
0.13586,0.12799,38,-116,1
0.14461,0.13674,37,-117,1
0.14206,0.13419,127,-27,1
0.14231,0.13444,36,-118,1
0.15437,0.14651,36,-118,1
0.14944,0.14157,124,-30,1
0.15068,0.14282,35,-119,1
0.14984,0.14198,35,-119,1
0.14998,0.14211,35,-119,1
0.15855,0.15069,36,-118,1
0.18081,0.17295,36,-118,1
0.1539,0.14604,36,-118,1
0.16107,0.1532,37,-117,1
0.13408,0.12622,36,-118,1
0.11631,0.10845,37,-117,1
0.093891,0.086025,37,-117,1
0.099165,0.091299,34,-120,1
0.10263,0.094761,32,-122,1
0.084584,0.076718,31,-123,1
0.075704,0.067838,31,-123,1
0.065545,0.057679,34,-120,1
0.056928,0.049062,39,-115,1
0.044509,0.036643,43,-111,1
0.028521,0.020655,56,-98,1
0.02195,0.014084,54,-100,1
0.01631,0.008444,38,-116,1
0.011768,0.0039018,115,-39,1
0.013908,0.006042,29,-125,0
0.013608,0.0057425,31,-123,0
0.0088672,0.0010012,41,-113,0
0.0032856,0,29,-125,0
0.0066812,0.0033957,117,-37,0
0.0068464,0.0035609,38,-116,0
0.007408,0.0041224,92,-62,0
0.010099,0.0068133,21,-133,0
0.013898,0.010613,15,-139,0
0.014317,0.011031,16,-138,0
0.012501,0.0092151,15,-139,0
0.011225,0.0079397,32,-122,0
0.010911,0.007625,41,-113,0
0.010537,0.0072515,4,-150,0
0.014168,0.010882,58,-96,0
0.016143,0.012858,34,-120,0
0.010786,0.0075008,20,-134,0
0.0077365,0.0044509,31,-123,0
0.0050428,0.0017572,60,-94,0
0.003457,0.00017143,137,-17,0
0.0024863,0,134,-20,0
0.0019944,0,85,-69,0
0.0016694,0,43,-111,0
0.003069,0.0013996,141,-13,0
0.0050425,0.0033731,34,-120,0
0.0073867,0.0057173,30,-124,1
0.030283,0.028613,42,-112,1
0.08999,0.088321,42,-112,1
0.087095,0.085425,43,-111,1
0.10017,0.098501,44,-110,1
0.1301,0.12843,44,-110,1
0.1316,0.12993,42,-112,1
0.12319,0.12152,41,-113,1
0.12861,0.12694,41,-113,1
0.13812,0.13645,41,-113,1
0.11315,0.11148,41,-113,1
0.12948,0.12781,42,-112,1
0.12365,0.12199,42,-112,1
0.13231,0.13065,42,-112,1
0.13398,0.13231,42,-112,1
0.12188,0.12021,137,-17,1
0.13929,0.13762,138,-16,1
0.12914,0.12747,137,-17,1
0.13092,0.12925,136,-18,1
0.13526,0.13359,42,-112,1
0.14548,0.14381,43,-111,1
0.13352,0.13185,44,-110,1
0.11501,0.11334,46,-108,1
0.1265,0.12483,147,-7,1
0.13051,0.12884,48,-106,1
0.12533,0.12366,48,-106,1
0.12602,0.12435,49,-105,1
0.1175,0.11583,49,-105,1
0.11251,0.11084,50,-104,1
0.12269,0.12102,50,-104,1
0.13289,0.13122,49,-105,1
0.13278,0.13111,49,-105,1
0.14616,0.14449,48,-106,1
0.12673,0.12506,47,-107,1
0.13332,0.13165,48,-106,1
0.13769,0.13602,48,-106,1
0.13262,0.13095,47,-107,1
0.12857,0.1269,46,-108,1
0.12446,0.12279,45,-109,1
0.11749,0.11582,46,-108,1
0.12291,0.12124,46,-108,1
0.14514,0.14348,146,-8,1
0.12783,0.12616,146,-8,1
0.1355,0.13383,48,-106,1
0.13094,0.12927,49,-105,1
0.14022,0.13855,50,-104,1
0.13634,0.13467,51,-103,1
0.12206,0.12039,51,-103,1
0.1295,0.12783,52,-102,1
0.12339,0.12172,51,-103,1
0.13409,0.13242,52,-102,1
0.1454,0.14373,51,-103,1
0.14124,0.13957,51,-103,1
