@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0,0.10254,0,66.973,0,5.2854,0,710.6,0,0.0078659,0,139,0,0.45265,0,8,0,0
0.0080354,0.0005254,0.098004,-0.0045372,67.131,0.15759,5.2594,-0.025911,925.93,215.33,0.0097405,0.0018745,145,0,0.59141,0.13876,3,-5,0
0.0087752,0.0012652,0.097096,-0.0054446,72.889,5.9154,5.3065,0,1916.5,1205.9,0.0079613,9.5349e-05,154,0,0.55676,0.10411,7,-1,0
0.010187,0.002677,0.12976,0,88.971,21.998,5.4885,0,882.86,172.27,0.014013,0.0061471,44,-110,0.48503,0.032376,11,0,0
0.010509,0.0029987,0.16515,0,91.045,24.071,5.5117,0,882.86,172.27,0.012667,0.0048007,52,-102,0.52677,0.074116,20,0,1
0.050137,0.042627,0.12432,-0.040835,63.013,0,5.2883,-0.22337,538.33,0,0.017985,0.010119,21,-133,0.84675,0.3941,2,-18,1
0.12549,0.11798,0.054446,-0.11071,1223.6,1160.5,4.7392,-0.77251,495.26,0,0.028237,0.020371,126,-28,1.0195,0.56689,2,-18,1
0.16054,0.15303,0.043557,-0.1216,1733.4,1670.4,4.759,-0.75264,452.2,0,0.045281,0.037415,55,-99,1.0426,0.58999,3,-17,1
0.16062,0.15311,0.052632,-0.11252,1470.1,1407.1,4.5461,-0.96558,430.66,0,0.10461,0.096744,54,-100,1.2993,0.84662,6,-14,1
0.17314,0.16563,0.056261,-0.10889,1661.4,1598.3,4.6393,-0.87232,430.66,0,0.1153,0.10743,53,-101,1.286,0.83336,6,-14,1
0.1817,0.17419,0.059891,-0.10526,1905.2,1842.2,4.8211,-0.69057,452.2,21.533,0.11359,0.10573,51,-103,1.1444,0.6918,6,-14,1
0.19365,0.18614,0.069873,-0.095281,2015.5,1952.5,4.6152,-0.89651,452.2,21.533,0.13852,0.13066,48,-106,1.3464,0.89374,6,-14,1
0.21998,0.21247,0.083485,-0.08167,2289.7,2226.7,4.3435,-1.1681,452.2,21.533,0.18508,0.17721,47,-107,1.4231,0.97049,6,-14,1
0.22573,0.21822,0.092559,-0.072595,2438.5,2375.4,4.5463,-0.96535,473.73,43.066,0.16749,0.15962,47,-107,1.357,0.90437,6,-14,1
0.2201,0.21259,0.092559,-0.072595,2421.3,2358.3,4.637,-0.87465,452.2,21.533,0.17311,0.16525,49,-105,1.2939,0.84129,6,-14,1
0.23167,0.22416,0.087114,-0.07804,2660.1,2597.1,4.7844,-0.72725,452.2,21.533,0.16144,0.15358,47,-107,1.2429,0.79021,6,-14,1
0.25168,0.24417,0.087114,-0.07804,2808.6,2745.6,4.518,-0.99362,473.73,43.066,0.16064,0.15277,45,-109,1.3676,0.91498,6,-14,1
0.25385,0.24634,0.10436,-0.060799,2949.2,2886.2,4.6711,-0.84055,473.73,43.066,0.19497,0.1871,47,-107,1.3086,0.856,6,-14,1
0.264,0.25649,0.10799,-0.057169,3096.4,3033.4,4.7898,-0.72181,473.73,43.066,0.16592,0.15805,46,-108,1.2571,0.8044,6,-14,1
0.29419,0.28668,0.090744,-0.07441,3788.3,3725.3,4.658,-0.85364,473.73,43.066,0.20131,0.19345,43,-111,1.3607,0.9081,7,-13,1
0.30447,0.29696,0.084392,-0.080762,3485.7,3422.7,4.3657,-1.1459,495.26,64.6,0.17541,0.16755,42,-112,1.3965,0.94384,7,-13,1
0.30349,0.29598,0.077132,-0.088022,3574.9,3511.9,4.457,-1.0547,495.26,64.6,0.18867,0.18081,42,-112,1.3961,0.94346,7,-13,1
0.29497,0.28746,0.076225,-0.088929,3464.5,3401.5,4.4561,-1.0556,473.73,43.066,0.18161,0.17375,43,-111,1.4051,0.95245,7,-13,1
