@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0.10254,0
0.0080354,0.098004,0
0.0087752,0.097096,0
0.010187,0.12976,0
0.010509,0.16515,1
0.050137,0.12432,1
0.12549,0.054446,1
0.16054,0.043557,1
0.16062,0.052632,1
0.17314,0.056261,1
0.1817,0.059891,1
0.19365,0.069873,1
0.21998,0.083485,1
0.22573,0.092559,1
0.2201,0.092559,1
0.23167,0.087114,1
0.25168,0.087114,1
0.25385,0.10436,1
0.264,0.10799,1
0.29419,0.090744,1
0.30447,0.084392,1
0.30349,0.077132,1
0.29497,0.076225,1
0.28445,0.089837,1
0.27865,0.10073,1
0.27298,0.082577,1
0.28062,0.068058,1
0.28573,0.062613,1
0.29361,0.057169,1
0.31875,0.049909,1
0.33865,0.029946,1
0.33978,0.03176,1
0.32885,0.043557,1
0.31922,0.044465,1
0.31597,0.047187,1
0.32684,0.049909,1
0.35059,0.045372,1
0.36701,0.043557,1
0.37725,0.044465,1
0.38641,0.046279,1
0.3928,0.046279,1
0.406,0.033575,1
0.41429,0.024501,1
0.41087,0.033575,1
0.40477,0.043557,1
0.41041,0.045372,1
0.4215,0.039927,1
0.42175,0.029946,1
0.42117,0.024501,1
0.43568,0.029038,1
0.46602,0.029946,1
0.48327,0.025408,1
0.44598,0.023593,1
0.36665,0.022686,1
0.2962,0.022686,1
0.22715,0.021779,1
0.14123,0.038113,1
0.063988,0.084392,1
0.026371,0.11525,1
0.016541,0.096189,1
0.014061,0.062613,1
0.01402,0.045372,0
0.011926,0.059891,0
0.0076668,0.069873,0
0.0063915,0.07804,0
0.0078191,0.072595,0
0.007924,0.058984,0
0.0078277,0.087114,0
0.0099073,0.10708,0
0.015628,0.098911,0
0.018007,0.099819,0
0.016253,0.11343,0
0.014892,0.13067,0
0.012268,0.14882,0
0.010846,0.15789,0
0.011069,0.14519,0
0.010501,0.12886,0
0.0087814,0.1225,0
0.0062901,0.12886,0
0.004438,0.1216,0
0.0038568,0.094374,0
0.0030363,0.11434,0
0.002228,0.10889,0
0.0025667,0.11343,0
0.0033937,0.12976,0
0.0065183,0.13067,0
0.024363,0.11162,1
0.11391,0.050817,1
0.16967,0.032668,1
0.19672,0.039927,1
0.21092,0.044465,1
0.21602,0.046279,1
0.22268,0.046279,1
0.23152,0.04265,1
0.24095,0.04265,1
0.24761,0.049002,1
0.25067,0.052632,1
0.24985,0.046279,1
0.24884,0.040835,1
0.24834,0.041742,1
0.25189,0.04265,1
0.2509,0.04265,1
0.24898,0.04265,1
0.24826,0.040835,1
0.24449,0.047187,1
0.24278,0.056261,1
0.24214,0.067151,1
0.23477,0.064428,1
0.22563,0.060799,1
0.21726,0.062613,1
0.2115,0.065336,1
0.20068,0.073503,1
0.18541,0.071688,1
0.18279,0.07078,1
0.18015,0.07441,1
0.18306,0.07441,1
0.18726,0.072595,1
0.19059,0.075318,1
0.19811,0.068058,1
0.20414,0.059891,1
0.20354,0.059891,1
0.2016,0.058984,1
0.20293,0.063521,1
0.20913,0.061706,1
0.21498,0.054446,1
0.21867,0.053539,1
0.22058,0.058984,1
0.22253,0.068966,1
0.21953,0.072595,1
0.20568,0.07441,1
0.18649,0.078947,1
0.17452,0.077132,1
0.17778,0.083485,1
0.17969,0.086207,1
0.17559,0.076225,1
0.17528,0.073503,1
0.1767,0.064428,1
0.1736,0.057169,1
0.17565,0.057169,1
0.18215,0.052632,1
0.18521,0.046279,1
0.18929,0.052632,1
0.19494,0.061706,1
0.19677,0.064428,1
0.20469,0.056261,1
0.21633,0.052632,1
0.23246,0.059891,1
0.25156,0.061706,1
0.2638,0.057169,1
0.27256,0.055354,1
0.27303,0.062613,1
0.27065,0.064428,1
0.27041,0.064428,1
0.28026,0.055354,1
0.2976,0.04265,1
0.30672,0.032668,1
0.31004,0.023593,1
0.30616,0.021779,1
0.29965,0.020871,1
0.29442,0.022686,1
0.29787,0.028131,1
0.30256,0.028131,1
0.29563,0.027223,1
0.28677,0.033575,1
0.27378,0.04265,1
0.2671,0.046279,1
0.26601,0.043557,1
0.2554,0.041742,1
0.24925,0.04265,1
0.24025,0.034483,1
0.23536,0.033575,1
0.22416,0.051724,1
0.20329,0.052632,1
0.20625,0.041742,1
0.19958,0.039927,1
0.19486,0.037205,1
0.22766,0.033575,1
0.245,0.03539,1
0.21104,0.036298,1
0.15962,0.03176,1
0.14229,0.036298,1
0.12834,0.040835,1
0.097579,0.043557,1
0.087752,0.041742,1
0.10492,0.032668,1
0.11139,0.033575,1
0.10817,0.033575,1
0.11913,0.030853,1
0.11867,0.03176,1
0.11602,0.029946,1
0.1162,0.028131,1
0.11374,0.024501,1
0.11198,0.021779,1
0.079116,0.028131,1
0.032012,0.043557,1
0.02062,0.036298,1
0.019472,0.018149,1
0.011514,0.044465,1
0.01036,0.053539,1
0.013161,0.03176,1
0.013776,0.025408,0
0.012272,0.023593,0
0.0074759,0.038113,0
0.0043124,0.088929,0
0.0029858,0.11887,0
0.0023971,0.11434,0
0.0025065,0.11434,0
0.002229,0.12704,0
0.0018429,0.14882,0
0.0018017,0.15064,0
0.0016858,0.14701,0
0.0016838,0.13975,0
0.0015937,0.13884,0
0.0016213,0.14701,0
0.0016503,0.15245,0
0.001645,0.12976,0
0.0016683,0.12341,0
0.0014711,0.15336,0
0.0013076,0.15971,0
0.0013672,0.16515,0
0.0013951,0.17695,0
0.0012238,0.18603,0
0.0010825,0.18421,0
0.0011544,0.17604,0
0.0013259,0.15426,0
0.0012375,0.16969,0
0.0010457,0.20871,0
0.0009479,0.22232,0
0.0010953,0.20236,0
0.0011989,0.16606,0
0.0010645,0.18421,0
0.00094367,0.22323,0
0.00091538,0.20599,0
0.0011283,0.15154,0
0.0012635,0.14247,0
0.0011172,0.16697,0
0.0010912,0.16243,0
0.0011061,0.1588,0
0.0010227,0.16788,0
0.0011297,0.16515,0
0.0012973,0.16969,0
0.001434,0.18784,0
0.0017267,0.20871,0
0.0017151,0.21234,0
0.0015268,0.21688,0
0.001749,0.20871,0
0.0019546,0.18784,0
0.0019513,0.19782,0
0.0021388,0.19056,0
0.0024038,0.19056,0
0.0024412,0.16969,0
