@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0.10254,0.45265,35,0
0.0080354,0.098004,0.59141,25,0
0.0087752,0.097096,0.55676,35,0
0.010187,0.12976,0.48503,59,0
0.010509,0.16515,0.52677,97,1
0.050137,0.12432,0.30833,35,1
0.12549,0.054446,0.76086,15,1
0.16054,0.043557,0.88301,22,1
0.16062,0.052632,1.1518,29,1
0.17314,0.056261,1.1487,30,1
0.1817,0.059891,0.94736,24,1
0.19365,0.069873,1.1713,32,1
0.21998,0.083485,1.2672,33,1
0.22573,0.092559,1.1944,33,1
0.2201,0.092559,1.1166,32,1
0.23167,0.087114,1.0225,33,1
0.25168,0.087114,1.2228,33,1
0.25385,0.10436,1.133,33,1
0.264,0.10799,1.0214,34,1
0.29419,0.090744,1.166,33,1
0.30447,0.084392,1.2562,34,1
0.30349,0.077132,1.2628,34,1
0.29497,0.076225,1.2536,33,1
0.28445,0.089837,1.2805,34,1
0.27865,0.10073,1.3002,34,1
0.27298,0.082577,1.2602,34,1
0.28062,0.068058,1.3005,34,1
0.28573,0.062613,1.3571,10,1
0.29361,0.057169,1.4397,9,1
0.31875,0.049909,1.5203,9,1
0.33865,0.029946,1.5706,9,1
0.33978,0.03176,1.5468,9,1
0.32885,0.043557,1.5026,9,1
0.31922,0.044465,1.5105,9,1
0.31597,0.047187,1.5024,9,1
0.32684,0.049909,1.5166,9,1
0.35059,0.045372,1.574,9,1
0.36701,0.043557,1.5898,9,1
0.37725,0.044465,1.5722,9,1
0.38641,0.046279,1.578,9,1
0.3928,0.046279,1.575,10,1
0.406,0.033575,1.5859,10,1
0.41429,0.024501,1.585,9,1
0.41087,0.033575,1.5759,9,1
0.40477,0.043557,1.571,9,1
0.41041,0.045372,1.5838,9,1
0.4215,0.039927,1.6019,9,1
0.42175,0.029946,1.6024,9,1
0.42117,0.024501,1.5965,9,1
0.43568,0.029038,1.6032,9,1
0.46602,0.029946,1.5647,10,1
0.48327,0.025408,1.6322,10,1
0.44598,0.023593,1.6307,10,1
0.36665,0.022686,1.6443,10,1
0.2962,0.022686,1.4388,10,1
0.22715,0.021779,1.4892,9,1
0.14123,0.038113,1.0752,8,1
0.063988,0.084392,0.82034,19,1
0.026371,0.11525,0.37672,51,1
0.016541,0.096189,0.58704,54,1
0.014061,0.062613,0.87602,16,1
0.01402,0.045372,1.3326,10,0
0.011926,0.059891,0.94472,12,0
0.0076668,0.069873,0.49943,28,0
0.0063915,0.07804,0.34469,37,0
0.0078191,0.072595,0.46339,43,0
0.007924,0.058984,0.279,37,0
0.0078277,0.087114,0.46058,47,0
0.0099073,0.10708,0.47199,37,0
0.015628,0.098911,0.65076,39,0
0.018007,0.099819,0.54557,34,0
0.016253,0.11343,0.36553,43,0
0.014892,0.13067,0.39964,58,0
0.012268,0.14882,0.33959,89,0
0.010846,0.15789,0.25163,80,0
0.011069,0.14519,0.46305,62,0
0.010501,0.12886,0.37036,72,0
0.0087814,0.1225,0.25886,74,0
0.0062901,0.12886,0.35697,86,0
0.004438,0.1216,0.29624,58,0
0.0038568,0.094374,0.35427,53,0
0.0030363,0.11434,0.32543,68,0
0.002228,0.10889,0.27145,123,0
0.0025667,0.11343,0.21092,84,0
0.0033937,0.12976,0.29706,74,0
0.0065183,0.13067,0.30693,74,0
0.024363,0.11162,0.2448,25,1
0.11391,0.050817,0.94027,16,1
0.16967,0.032668,1.3472,9,1
0.19672,0.039927,1.4296,9,1
0.21092,0.044465,1.4214,9,1
0.21602,0.046279,1.4023,9,1
0.22268,0.046279,1.4334,26,1
0.23152,0.04265,1.4417,23,1
0.24095,0.04265,1.4377,9,1
0.24761,0.049002,1.4565,9,1
0.25067,0.052632,1.4704,9,1
0.24985,0.046279,1.4472,9,1
0.24884,0.040835,1.4695,9,1
0.24834,0.041742,1.4799,9,1
0.25189,0.04265,1.485,10,1
0.2509,0.04265,1.4597,9,1
0.24898,0.04265,1.445,9,1
0.24826,0.040835,1.459,9,1
0.24449,0.047187,1.46,9,1
0.24278,0.056261,1.4294,9,1
0.24214,0.067151,1.4332,10,1
0.23477,0.064428,1.4068,9,1
0.22563,0.060799,1.3352,8,1
0.21726,0.062613,1.3396,8,1
0.2115,0.065336,1.3584,9,1
0.20068,0.073503,1.3221,28,1
0.18541,0.071688,1.2465,27,1
0.18279,0.07078,1.2474,55,1
0.18015,0.07441,1.251,61,1
0.18306,0.07441,1.2556,58,1
0.18726,0.072595,1.2764,40,1
0.19059,0.075318,1.2541,12,1
0.19811,0.068058,1.3014,11,1
0.20414,0.059891,1.3078,20,1
0.20354,0.059891,1.2704,14,1
0.2016,0.058984,1.2474,14,1
0.20293,0.063521,1.2791,14,1
0.20913,0.061706,1.3653,9,1
0.21498,0.054446,1.4099,8,1
0.21867,0.053539,1.398,8,1
0.22058,0.058984,1.3841,12,1
0.22253,0.068966,1.3795,21,1
0.21953,0.072595,1.3723,40,1
0.20568,0.07441,1.2597,32,1
0.18649,0.078947,1.1274,27,1
0.17452,0.077132,1.1288,23,1
0.17778,0.083485,1.174,23,1
0.17969,0.086207,1.2057,23,1
0.17559,0.076225,1.1936,23,1
0.17528,0.073503,1.1992,23,1
0.1767,0.064428,1.2226,22,1
0.1736,0.057169,1.2179,23,1
0.17565,0.057169,1.2204,23,1
0.18215,0.052632,1.2249,25,1
0.18521,0.046279,1.2317,24,1
0.18929,0.052632,1.2423,40,1
0.19494,0.061706,1.3344,40,1
0.19677,0.064428,1.3737,40,1
0.20469,0.056261,1.3644,40,1
0.21633,0.052632,1.3821,40,1
0.23246,0.059891,1.4002,40,1
0.25156,0.061706,1.3279,27,1
0.2638,0.057169,1.4731,13,1
0.27256,0.055354,1.4884,9,1
0.27303,0.062613,1.52,37,1
0.27065,0.064428,1.4995,13,1
0.27041,0.064428,1.5053,9,1
0.28026,0.055354,1.5242,9,1
0.2976,0.04265,1.5052,9,1
0.30672,0.032668,1.48,9,1
0.31004,0.023593,1.4818,9,1
0.30616,0.021779,1.4773,9,1
0.29965,0.020871,1.4555,9,1
0.29442,0.022686,1.4396,9,1
0.29787,0.028131,1.4444,9,1
0.30256,0.028131,1.4313,9,1
0.29563,0.027223,1.3822,9,1
0.28677,0.033575,1.3656,9,1
0.27378,0.04265,1.3701,9,1
0.2671,0.046279,1.3583,9,1
0.26601,0.043557,1.3036,9,1
0.2554,0.041742,1.2256,14,1
0.24925,0.04265,1.1749,18,1
0.24025,0.034483,1.1618,24,1
0.23536,0.033575,1.189,24,1
