@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,0
0.061444,0.049002,0
0.053477,0.049002,0
0.048074,0.060799,0
0.0453,0.060799,1
0.062414,0.049002,1
0.11699,0.049002,1
0.14549,0.049909,1
0.15196,0.054446,1
0.16855,0.058076,1
0.18053,0.058076,1
0.21462,0.058076,1
0.26675,0.050817,1
0.26697,0.056261,1
0.25182,0.064428,1
0.26081,0.061706,1
0.26094,0.068058,1
0.25732,0.075318,1
0.27439,0.072595,1
0.32387,0.058984,1
0.30599,0.066243,1
0.27933,0.068058,1
0.2659,0.07078,1
0.23467,0.086207,1
0.2458,0.086207,1
0.23513,0.090744,1
0.24446,0.083485,1
0.26087,0.060799,1
0.26771,0.051724,1
0.28216,0.051724,1
0.30426,0.041742,1
0.31609,0.037205,1
0.30133,0.046279,1
0.28428,0.052632,1
0.28008,0.051724,1
0.29564,0.049909,1
0.32139,0.047187,1
0.33868,0.046279,1
0.34643,0.049909,1
0.37074,0.043557,1
0.40237,0.029946,1
0.39803,0.026316,1
0.38175,0.033575,1
0.36232,0.050817,1
0.34,0.057169,1
0.36333,0.048094,1
0.38102,0.039927,1
0.37292,0.03176,1
0.376,0.026316,1
0.38838,0.023593,1
0.41751,0.022686,1
0.43654,0.023593,1
0.38575,0.023593,1
0.30098,0.023593,1
0.24969,0.023593,1
0.19837,0.023593,1
0.13233,0.034483,1
0.081775,0.04265,1
0.0695,0.037205,1
0.072868,0.03176,1
0.069398,0.032668,1
0.056154,0.034483,0
0.054794,0.037205,0
0.061619,0.034483,0
0.065887,0.026316,0
0.067939,0.018149,0
0.085652,0.018149,0
0.12795,0.024501,0
0.19609,0.022686,0
0.22847,0.023593,0
0.22951,0.022686,0
0.25832,0.022686,0
0.27648,0.023593,0
0.27562,0.022686,0
0.25511,0.023593,0
0.19327,0.027223,0
0.19047,0.025408,0
0.19712,0.023593,0
0.16995,0.020871,0
0.1942,0.023593,0
0.18695,0.034483,0
0.14688,0.032668,0
0.12496,0.022686,0
0.089448,0.034483,0
0.085269,0.040835,0
0.089299,0.03176,0
0.072387,0.026316,1
0.1074,0.026316,1
0.14542,0.032668,1
0.17284,0.039927,1
0.19655,0.044465,1
0.21816,0.03902,1
0.22765,0.036298,1
0.23562,0.039927,1
0.23031,0.046279,1
0.23054,0.045372,1
0.23116,0.047187,1
0.21844,0.051724,1
0.23124,0.045372,1
0.22764,0.051724,1
0.22034,0.057169,1
0.22881,0.049909,1
0.23439,0.040835,1
0.22957,0.040835,1
0.24012,0.039927,1
0.24131,0.044465,1
0.23754,0.050817,1
0.24412,0.044465,1
0.21906,0.046279,1
0.20799,0.041742,1
0.20032,0.052632,1
0.18012,0.069873,1
0.16547,0.071688,1
0.15261,0.071688,1
0.15,0.076225,1
0.16171,0.072595,1
0.16095,0.068966,1
0.16027,0.066243,1
0.1793,0.049909,1
0.18945,0.047187,1
0.19541,0.052632,1
0.18833,0.058984,1
0.17935,0.065336,1
0.17928,0.067151,1
0.18595,0.055354,1
0.19631,0.046279,1
0.19043,0.058076,1
0.19566,0.065336,1
0.19847,0.065336,1
0.18556,0.065336,1
0.17232,0.071688,1
0.15692,0.075318,1
0.15644,0.063521,1
0.16,0.060799,1
0.16126,0.061706,1
0.16523,0.067151,1
0.16825,0.068058,1
0.16452,0.062613,1
0.16103,0.064428,1
0.16452,0.058076,1
0.16513,0.056261,1
0.16596,0.057169,1
0.17543,0.055354,1
0.17488,0.060799,1
0.17577,0.061706,1
0.18495,0.061706,1
0.19904,0.063521,1
0.22474,0.057169,1
0.24348,0.053539,1
0.24503,0.054446,1
0.23996,0.062613,1
0.24476,0.065336,1
0.25166,0.058984,1
0.25494,0.051724,1
0.2607,0.044465,1
0.26662,0.034483,1
0.27321,0.030853,1
0.28496,0.026316,1
0.27571,0.022686,1
0.25164,0.029038,1
0.24935,0.03539,1
0.26437,0.03902,1
0.27066,0.041742,1
0.27894,0.03902,1
0.27663,0.03176,1
0.26483,0.03176,1
0.25671,0.038113,1
0.24612,0.036298,1
0.27263,0.03902,1
0.27362,0.050817,1
0.33495,0.040835,1
0.41876,0.032668,1
0.42434,0.034483,1
0.39176,0.03539,1
0.3755,0.032668,1
0.38803,0.029038,1
0.36218,0.03539,1
0.31175,0.037205,1
0.30901,0.025408,1
0.2788,0.026316,1
0.2266,0.039927,1
0.2139,0.04265,1
0.18093,0.039927,1
0.18501,0.029038,1
0.20078,0.019964,1
0.17036,0.026316,1
0.14668,0.033575,1
0.17531,0.029946,1
0.17267,0.026316,1
0.1759,0.049909,1
0.18835,0.068966,1
0.18395,0.047187,1
0.18114,0.033575,1
0.16741,0.034483,1
0.14554,0.030853,1
0.09896,0.045372,1
0.077036,0.064428,1
0.084484,0.043557,1
0.087681,0.024501,1
0.076878,0.037205,1
0.062149,0.04265,0
0.053445,0.04265,0
