@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
378.19,-5.0016,732.13,0.46919,22,0
301.99,-5.2119,150.73,0.42134,21,0
270.24,-5.2737,1033.6,0.49937,23,0
143.07,-5.4802,172.27,0.4917,20,0
72.261,-5.5579,796.73,0.44574,21,1
230.79,-5.3247,689.06,0.43749,18,1
1039.8,-5.0854,495.26,0.66119,17,1
1682.5,-5.0485,452.2,0.72157,23,1
1522.5,-5.0278,1270.5,0.91701,28,1
1732.1,-5.1392,1270.5,0.76169,30,1
2407.8,-5.1716,430.66,0.67706,28,1
2911.8,-5.1333,452.2,0.73489,32,1
3385.3,-5.0361,452.2,0.79153,33,1
3538.9,-5.0926,452.2,0.77323,32,1
3544,-5.1943,452.2,0.81722,33,1
3468.8,-5.3706,473.73,0.55907,31,1
3729.4,-5.1749,1808.8,0.71287,33,1
3879.1,-5.2749,1787.3,0.70008,33,1
4358.8,-5.1864,516.8,0.7455,30,1
3790,-5.2539,473.73,0.75563,27,1
4143.2,-4.9626,495.26,0.98228,36,1
3673.5,-5.036,495.26,0.99798,34,1
3144.1,-5.0459,473.73,1.1342,33,1
2632.6,-5.0159,473.73,1.2129,34,1
2599.8,-4.9733,473.73,1.1912,34,1
2695.9,-4.9499,473.73,1.1981,34,1
2868.6,-4.989,473.73,1.2075,34,1
2410.2,-5.0502,473.73,1.2425,9,1
2691.5,-4.9306,495.26,1.41,9,1
2774.9,-4.8653,495.26,1.4882,9,1
2882.9,-4.9027,495.26,1.514,9,1
3289.4,-4.9305,495.26,1.4822,9,1
3127.6,-5.0322,516.8,1.3755,9,1
3048.1,-4.9676,495.26,1.403,9,1
2881.1,-5.0934,516.8,1.3717,9,1
3169.9,-4.9872,516.8,1.4599,9,1
3580.9,-5.024,516.8,1.4267,9,1
4088.8,-4.9809,516.8,1.3786,9,1
4367.3,-5.015,516.8,1.2993,9,1
4104,-4.9773,516.8,1.3817,9,1
4152.1,-4.7876,516.8,1.5393,10,1
3869.3,-4.8514,516.8,1.4807,10,1
3978.2,-4.7989,516.8,1.5627,10,1
3762.9,-4.8992,516.8,1.4643,9,1
3564.4,-5.0059,516.8,1.4221,9,1
3873.7,-4.87,516.8,1.5256,9,1
3729.2,-4.7764,516.8,1.5431,9,1
3413.3,-4.631,516.8,1.5411,9,1
3306.4,-4.5686,516.8,1.4962,9,1
3339.5,-4.4884,516.8,1.5318,9,1
3650.8,-4.4878,516.8,1.4971,10,1
3766.9,-4.3228,538.33,1.5918,10,1
2895.2,-4.3909,538.33,1.5629,10,1
2356.2,-4.5352,538.33,1.586,10,1
1526.8,-4.6618,538.33,1.3434,10,1
1509.8,-4.7062,516.8,1.431,9,1
555.53,-5.3548,452.2,0.91857,8,1
386.06,-5.5189,452.2,0.48213,13,1
345.58,-5.4409,150.73,0.3368,27,1
413.7,-5.1796,323,0.52999,9,1
285.06,-5.1358,215.33,0.47407,13,1
249.77,-5.0753,236.87,0.53523,23,0
174.84,-5.1331,129.2,0.58226,8,0
250.72,-4.9066,409.13,0.66058,10,0
347.81,-4.7704,409.13,0.82236,7,0
242.08,-4.9642,129.2,0.60858,7,0
399.76,-4.824,323,0.48264,12,0
928.75,-4.4851,516.8,0.95207,10,0
1429.1,-4.2801,516.8,1.2103,10,0
2096.7,-4.286,516.8,1.2534,10,0
2189.2,-4.3901,538.33,1.1843,10,0
2328.6,-4.3746,538.33,1.1994,10,0
2432.9,-4.3321,538.33,1.2849,10,0
2613.6,-4.3822,516.8,1.2118,10,0
2537.8,-4.3628,516.8,1.1228,9,0
1569.8,-4.723,516.8,0.89099,9,0
1779.1,-4.613,495.26,0.87953,9,0
2117.9,-4.5088,495.26,0.85062,9,0
1443.8,-4.6597,215.33,0.48103,10,0
1834.8,-4.429,409.13,0.86364,8,0
1809.3,-4.5643,387.6,0.86519,7,0
1453.3,-4.408,495.26,0.69525,9,0
782.22,-4.716,473.73,0.6928,9,0
606.29,-4.798,516.8,0.49232,8,0
634.26,-4.8978,516.8,0.68173,10,0
442.05,-5.1613,409.13,0.53089,12,0
346.2,-5.3249,366.06,0.55001,12,1
906.02,-5.13,538.33,0.46931,9,1
1010.8,-5.1222,473.73,1.0196,9,1
1690,-5.0571,473.73,1.3205,9,1
1890.7,-5.0213,473.73,1.2119,9,1
1774.2,-4.9786,473.73,1.1182,13,1
2449.8,-4.9737,495.26,1.2992,15,1
2692.3,-5.0723,495.26,1.1313,15,1
2764.8,-4.9514,495.26,1.0199,21,1
2571.1,-4.9823,495.26,1.1368,18,1
2192.9,-4.9942,495.26,1.2171,9,1
2066.9,-5.0173,495.26,1.2344,19,1
2532.4,-4.9798,473.73,1.4441,20,1
2255.5,-5.088,495.26,1.2013,22,1
2135.5,-5.0977,495.26,1.2814,31,1
2405.1,-4.9979,473.73,1.2644,15,1
2521,-4.9706,473.73,1.3363,9,1
2035.4,-5.0454,495.26,1.2042,9,1
2412.1,-4.9027,495.26,1.3385,9,1
2544.6,-4.9687,473.73,1.1838,9,1
2267.2,-4.9184,473.73,1.1782,14,1
2584.4,-5.0278,473.73,1.2392,9,1
2446.2,-5.109,473.73,1.0209,8,1
2347.5,-4.9683,452.2,1.0559,8,1
2149.9,-4.9948,452.2,1.1875,10,1
1999.6,-5.0933,452.2,1.0275,24,1
1503.1,-5.2583,452.2,1.0891,26,1
1384.9,-5.1908,452.2,0.96478,68,1
1603,-5.1171,452.2,1.0098,82,1
1434.6,-5.1611,452.2,1.1097,55,1
1694.8,-5.1437,452.2,1.242,48,1
1539.1,-5.1452,452.2,1.0647,25,1
1678.8,-5.085,452.2,1.184,9,1
1906.6,-5.0448,452.2,1.236,15,1
2021.5,-5.0565,452.2,1.0452,16,1
2190.6,-5.0591,452.2,0.90612,26,1
1852.1,-5.1588,452.2,0.94801,27,1
1800.3,-4.9945,473.73,1.2148,13,1
1693,-5.0559,473.73,1.2389,11,1
1785.4,-5.0447,473.73,1.2605,9,1
1900.5,-5.0317,473.73,1.3462,20,1
1983,-5.0257,473.73,1.2548,25,1
1979.3,-5.0266,473.73,1.2472,34,1
1804.3,-5.192,452.2,1.1047,23,1
1683.5,-5.1815,452.2,0.98888,24,1
1728.5,-5.1941,452.2,0.9031,24,1
1604.4,-5.1206,452.2,0.9942,23,1
1666,-5.1577,452.2,1.0116,22,1
1677.7,-5.1592,452.2,0.97815,24,1
1813.3,-5.1745,430.66,0.84909,22,1
1894.9,-5.1254,452.2,0.86549,18,1
1644.7,-5.1561,452.2,0.91432,21,1
1873,-5.0313,430.66,1.0142,21,1
1718,-4.9284,452.2,1.1135,17,1
1516.2,-5.1279,452.2,0.98631,22,1
1907.8,-4.9865,452.2,1.0032,39,1
1703.9,-4.9049,452.2,1.1788,40,1
1682.6,-4.8501,452.2,1.2647,40,1
1626.9,-4.7649,452.2,1.2526,40,1
1700.2,-4.7555,452.2,1.2583,40,1
1905.8,-4.7437,473.73,1.3222,40,1
2084.4,-4.8242,473.73,1.2719,24,1
2257.5,-4.7024,473.73,1.4728,10,1
2287.1,-4.8561,473.73,1.4861,9,1
2072.4,-4.6297,473.73,1.4916,34,1
2235.7,-4.6427,473.73,1.4765,14,1
2119.8,-4.5734,473.73,1.5036,9,1
2210.9,-4.5785,495.26,1.5215,9,1
2258.6,-4.6406,495.26,1.4738,9,1
2369.1,-4.6264,495.26,1.4122,9,1
2611.7,-4.6641,495.26,1.4524,9,1
2712.3,-4.6564,495.26,1.4223,9,1
2758.7,-4.8039,495.26,1.3535,9,1
2426,-4.8311,495.26,1.2218,9,1
2748.4,-4.8028,495.26,1.3728,9,1
2678,-4.8448,495.26,1.2971,9,1
2762.5,-4.8527,495.26,1.197,9,1
2879.1,-4.8485,473.73,1.2798,9,1
2890.3,-4.7771,473.73,1.345,9,1
2576.2,-4.8117,473.73,1.3389,9,1
2619.7,-4.801,473.73,1.2934,9,1
2530.3,-4.8589,473.73,1.1186,9,1
3560.3,-5.12,473.73,0.83022,14,1
