@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
-118.04,-5.9673,710.6,0.45265,35,0
-114.28,-5.8897,925.93,0.59141,25,0
-124.59,-5.9632,1916.5,0.55676,35,0
-150.21,-6.0711,882.86,0.48503,59,0
-171.48,-6.2006,882.86,0.52677,97,1
-142.68,-5.9607,538.33,0.30833,35,1
1135.4,-5.0043,495.26,0.76086,15,1
1650,-4.9567,452.2,0.88301,22,1
1383.9,-4.7959,430.66,1.1518,29,1
1558.6,-4.919,430.66,1.1487,30,1
1802.2,-5.0667,452.2,0.94736,24,1
1891.2,-4.9475,452.2,1.1713,32,1
2161.1,-4.7659,452.2,1.2672,33,1
2299.9,-4.9516,473.73,1.1944,33,1
2291.2,-5.0225,452.2,1.1166,32,1
2517.2,-5.18,452.2,1.0225,33,1
2691,-4.8836,473.73,1.2228,33,1
2818.3,-5.0428,473.73,1.133,33,1
2961,-5.1449,473.73,1.0214,34,1
3644.4,-5.0025,473.73,1.166,33,1
3374.8,-4.6868,495.26,1.2562,34,1
3450.6,-4.7841,495.26,1.2628,34,1
3337.7,-4.788,473.73,1.2536,33,1
2988.5,-4.7748,473.73,1.2805,34,1
2884.5,-4.7226,473.73,1.3002,34,1
2809.8,-4.6791,473.73,1.2602,34,1
2943.5,-4.7726,473.73,1.3005,34,1
2747.7,-4.8382,473.73,1.3571,10,1
2840.1,-4.7089,495.26,1.4397,9,1
2890.8,-4.5979,495.26,1.5203,9,1
3148.6,-4.7767,495.26,1.5706,9,1
3202.8,-4.6669,495.26,1.5468,9,1
3207,-4.7893,495.26,1.5026,9,1
3159.8,-4.7686,516.8,1.5105,9,1
3125.5,-4.9854,516.8,1.5024,9,1
3235.2,-4.848,516.8,1.5166,9,1
3399.2,-4.6914,516.8,1.574,9,1
3486.3,-4.6536,516.8,1.5898,9,1
3571.4,-4.6992,516.8,1.5722,9,1
3691.5,-4.5753,516.8,1.578,9,1
3767.9,-4.6629,516.8,1.575,10,1
3804.3,-4.5476,516.8,1.5859,10,1
3865.5,-4.57,516.8,1.585,9,1
3947.5,-4.6557,516.8,1.5759,9,1
3946.6,-4.7135,516.8,1.571,9,1
3977.1,-4.605,516.8,1.5838,9,1
3843,-4.4396,516.8,1.6019,9,1
3540.5,-4.3467,516.8,1.6024,9,1
3343.4,-4.2801,516.8,1.5965,9,1
3331.5,-4.2709,516.8,1.6032,9,1
3515,-4.1708,516.8,1.5647,10,1
3846.2,-4.0325,538.33,1.6322,10,1
3222.5,-4.0919,538.33,1.6307,10,1
2641,-4.2843,538.33,1.6443,10,1
1748.5,-4.4084,538.33,1.4388,10,1
1523.3,-4.4228,516.8,1.4892,9,1
461.05,-5.0865,473.73,1.0752,8,1
60.981,-5.6272,430.66,0.82034,19,1
-147.56,-6.0487,538.33,0.37672,51,1
-133.4,-5.9134,516.8,0.58704,54,1
-131.65,-5.916,538.33,0.87602,16,1
-95.271,-5.567,516.8,1.3326,10,0
-107.22,-5.821,538.33,0.94472,12,0
-99.015,-5.7175,495.26,0.49943,28,0
-102.79,-5.9646,258.4,0.34469,37,0
-98.02,-5.7163,129.2,0.46339,43,0
-103.28,-5.7972,86.133,0.279,37,0
-115.76,-5.8945,301.46,0.46058,47,0
-126.01,-5.8838,1959.5,0.47199,37,0
-115.48,-5.7501,1981.1,0.65076,39,0
-95.904,-5.6666,1851.9,0.54557,34,0
-140.22,-5.9467,258.4,0.36553,43,0
-133.7,-5.9044,2024.1,0.39964,58,0
-145.54,-5.9891,193.8,0.33959,89,0
-149.15,-6.0387,2067.2,0.25163,80,0
-130.69,-5.8758,2002.6,0.46305,62,0
-137.07,-5.9626,215.33,0.37036,72,0
-132.23,-5.9741,236.87,0.25886,74,0
-113.9,-5.9099,193.8,0.35697,86,0
-103.82,-6.1157,129.2,0.29624,58,0
-103.35,-6.2585,258.4,0.35427,53,0
-87.836,-6.2339,236.87,0.32543,68,0
-73.854,-6.2734,387.6,0.27145,123,0
-73.261,-6.3249,107.67,0.21092,84,0
-96.498,-6.1053,258.4,0.29706,74,0
-124.54,-6.1044,495.26,0.30693,74,0
-128.21,-5.9428,538.33,0.2448,25,1
822.44,-4.7283,516.8,0.94027,16,1
1146,-4.6029,495.26,1.3472,9,1
1607.3,-4.7949,473.73,1.4296,9,1
1812.6,-4.8409,473.73,1.4214,9,1
1878.3,-4.7456,473.73,1.4023,9,1
2001.9,-4.8121,473.73,1.4334,26,1
2184.4,-4.9128,495.26,1.4417,23,1
2170.1,-4.7568,495.26,1.4377,9,1
2232.4,-4.8234,495.26,1.4565,9,1
2219.8,-4.7288,495.26,1.4704,9,1
2220,-4.823,495.26,1.4472,9,1
2225.3,-4.8175,495.26,1.4695,9,1
2254.4,-4.7508,495.26,1.4799,9,1
2325.1,-4.8884,495.26,1.485,10,1
2288.1,-4.7729,495.26,1.4597,9,1
2216,-4.7608,473.73,1.445,9,1
2218.1,-4.8445,495.26,1.459,9,1
2191.7,-4.7383,495.26,1.46,9,1
2187.2,-4.9205,473.73,1.4294,9,1
2145,-4.7735,473.73,1.4332,10,1
2181.8,-4.9372,473.73,1.4068,9,1
2170.4,-5.0256,473.73,1.3352,8,1
2048,-4.7596,452.2,1.3396,8,1
1983.2,-4.8607,452.2,1.3584,9,1
1894.4,-4.8788,452.2,1.3221,28,1
1715.5,-5.0053,452.2,1.2465,27,1
1690.2,-4.9395,452.2,1.2474,55,1
1726.8,-4.9403,452.2,1.251,61,1
1716.9,-4.9395,452.2,1.2556,58,1
1737.2,-4.934,452.2,1.2764,40,1
1783.1,-4.9357,452.2,1.2541,12,1
1850.8,-4.8897,452.2,1.3014,11,1
1932.4,-4.8398,452.2,1.3078,20,1
1919.1,-4.8897,452.2,1.2704,14,1
1920.6,-4.8701,452.2,1.2474,14,1
1941.8,-4.9068,473.73,1.2791,14,1
1957.1,-4.8105,473.73,1.3653,9,1
1988,-4.8613,473.73,1.4099,8,1
2061.3,-4.8469,473.73,1.398,8,1
2067.1,-4.8676,473.73,1.3841,12,1
2110.9,-4.7848,473.73,1.3795,21,1
2082.8,-4.8124,473.73,1.3723,40,1
2046.4,-4.9187,452.2,1.2597,32,1
1811,-4.9707,452.2,1.1274,27,1
1632.9,-4.9707,452.2,1.1288,23,1
1669.9,-4.879,452.2,1.174,23,1
1783.1,-4.8473,452.2,1.2057,23,1
1719.3,-4.7878,452.2,1.1936,23,1
1673.5,-4.8955,452.2,1.1992,23,1
