@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
585.92,0,4.6796,0,732.13,0,0.5656,0,5,0,0
483.5,0,4.9382,0,150.73,0,0.48357,0,6,0,0
492.85,9.3537,4.9371,0.0010359,1033.6,882.86,0.51467,0.031101,4,2,0
327.3,0,5.0939,0,172.27,21.533,0.34298,0,5,1,0
245.88,0,5.0679,0.026067,796.73,646,0.29604,0,5,1,1
436.29,190.41,4.9051,0.18883,689.06,538.33,0.45471,0.15867,4,2,1
1207.5,961.64,4.8266,0.26736,495.26,344.53,0.52901,0.23297,3,3,1
1933,1687.1,4.8239,0.27003,452.2,301.46,0.78074,0.4847,5,1,1
1816.1,1570.2,4.7914,0.30258,1270.5,1119.7,0.78074,0.4847,8,0,1
2056.5,1810.6,4.8627,0.23127,1270.5,1119.7,0.53054,0.2345,8,0,1
2784.4,2538.5,4.9133,0.18063,344.53,193.8,0.40829,0.11225,8,0,1
3181.2,2935.4,4.9451,0.14886,323,172.27,0.5511,0.25506,8,0,1
3645.6,3399.7,4.8651,0.22883,452.2,301.46,0.66486,0.36882,8,0,1
4066.7,3820.8,4.8772,0.21676,452.2,301.46,0.53393,0.23789,8,0,1
3855.8,3609.9,4.964,0.12991,452.2,301.46,0.72106,0.42502,8,0,1
4126.4,3880.5,5.1348,0,473.73,323,0.486,0.18996,8,0,1
4183.6,3937.7,4.9725,0.16229,538.33,387.6,0.68731,0.39127,8,0,1
4490.6,4244.7,5.0212,0.11359,516.8,366.06,0.80552,0.50948,8,0,1
5087,4841.1,4.9261,0.20869,516.8,366.06,1.1057,0.80962,7,1,1
4384.8,4139,4.9954,0.13942,538.33,387.6,1.1223,0.82622,7,1,1
4695.1,4449.2,4.7032,0.43163,516.8,366.06,1.2093,0.91329,9,0,1
4146.5,3900.6,4.8149,0.31993,516.8,366.06,1.1663,0.87031,11,0,1
3368.2,3122.3,4.8135,0.32126,473.73,323,1.2817,0.9857,9,2,1
2863,2617.1,4.7859,0.3489,473.73,323,1.3122,1.0161,9,2,1
2873.5,2627.6,4.7373,0.39754,473.73,323,1.3254,1.0294,9,2,1
2914.5,2668.6,4.6844,0.45041,473.73,323,1.3292,1.0331,8,3,1
3155.8,2910,4.7754,0.35945,473.73,323,1.381,1.0849,9,2,1
2647.8,2401.9,4.8191,0.31573,473.73,323,1.4234,1.1273,3,8,1
2961.7,2715.8,4.6976,0.43723,495.26,344.53,1.5753,1.2793,2,9,1
2959.9,2714,4.6158,0.51902,495.26,344.53,1.6278,1.3317,2,9,1
3006.1,2760.2,4.6229,0.51189,495.26,344.53,1.6737,1.3777,2,9,1
3549,3303.1,4.6717,0.46308,495.26,344.53,1.6076,1.3116,2,9,1
3433.6,3187.7,4.7508,0.384,516.8,366.06,1.5415,1.2455,2,9,1
3241.5,2995.6,4.6575,0.4773,495.26,344.53,1.5326,1.2365,2,9,1
3142.3,2896.4,4.7433,0.3915,516.8,366.06,1.4717,1.1756,2,9,1
3412,3166.1,4.6752,0.45965,516.8,366.06,1.545,1.249,2,9,1
3747.8,3502,4.7114,0.42344,516.8,366.06,1.5192,1.2232,2,9,1
4311.1,4065.3,4.7048,0.43003,516.8,366.06,1.3689,1.0729,2,9,1
4642.2,4396.3,4.7507,0.3841,516.8,366.06,1.2471,0.95107,2,9,1
4343,4097.2,4.712,0.42286,516.8,366.06,1.4377,1.1417,2,9,1
4327.4,4081.5,4.4253,0.70947,516.8,366.06,1.6685,1.3725,2,9,1
4034,3788.1,4.5569,0.57794,516.8,366.06,1.6631,1.367,2,9,1
4082.3,3836.4,4.4638,0.67105,516.8,366.06,1.7,1.404,2,9,1
3951,3705.2,4.5998,0.53506,516.8,366.06,1.6254,1.3293,2,9,1
3641.5,3395.6,4.7,0.43478,516.8,366.06,1.4987,1.2027,2,9,1
3988.8,3742.9,4.5498,0.58498,516.8,366.06,1.6046,1.3085,2,9,1
3887.2,3641.3,4.4958,0.63905,516.8,366.06,1.6637,1.3677,2,9,1
3555.5,3309.6,4.3497,0.78506,516.8,366.06,1.6692,1.3731,2,9,1
3462.3,3216.5,4.2669,0.86795,516.8,366.06,1.6663,1.3702,2,9,1
