@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.081504,0,0.051724,0,0.032112,0,40,0
0.079169,0,0.053539,0,0.025511,0,101,0
0.068849,0,0.049909,0.0036298,0.024793,0,158,0
0.061807,0,0.055354,0,0.020657,0,47,0
0.058218,0,0.057169,0,0.022563,0.0019057,30,1
0.075633,0.017416,0.049002,0.008167,0.028093,0.0074354,39,1
0.12815,0.069928,0.049909,0.0072595,0.026104,0.0054465,92,1
0.15689,0.098676,0.050817,0.0063521,0.046163,0.025505,88,1
0.16586,0.10764,0.053539,0.0036298,0.07571,0.055052,87,1
0.18717,0.12896,0.054446,0.0027223,0.079864,0.059206,86,1
0.20181,0.14359,0.050817,0.0063521,0.067755,0.047098,83,1
0.23932,0.1811,0.054446,0.0027223,0.073765,0.053107,81,1
0.29931,0.24109,0.049002,0.008167,0.083505,0.062848,80,1
0.30055,0.24233,0.052632,0.0045372,0.10162,0.080966,80,1
0.28098,0.22276,0.058984,0,0.10213,0.081474,82,1
0.29069,0.23247,0.051724,0.0072595,0.089789,0.069131,80,1
0.29038,0.23216,0.058076,0.00090744,0.090709,0.070052,78,1
0.28724,0.22902,0.071688,0,0.1139,0.093247,80,1
0.30608,0.24786,0.067151,0.0045372,0.10357,0.082914,78,1
0.35401,0.29579,0.051724,0.019964,0.14023,0.11958,76,1
0.33203,0.27381,0.064428,0.0072595,0.11869,0.098035,75,1
0.2992,0.24098,0.066243,0.0054446,0.13963,0.11898,75,1
0.27709,0.21888,0.067151,0.0045372,0.13949,0.11883,76,1
0.23863,0.18041,0.084392,0,0.12397,0.10331,77,1
0.2512,0.19298,0.084392,0,0.11673,0.096073,77,1
0.23779,0.17958,0.087114,0,0.11074,0.090082,78,1
0.24903,0.19081,0.07804,0.0090744,0.12811,0.10745,77,1
0.26932,0.21111,0.060799,0.026316,0.11788,0.097218,75,1
0.27484,0.21662,0.055354,0.03176,0.13851,0.11785,74,1
0.28645,0.22823,0.051724,0.03539,0.12591,0.10525,73,1
0.30957,0.25135,0.044465,0.04265,0.11784,0.09718,72,1
0.32405,0.26583,0.03902,0.048094,0.10619,0.085533,72,1
0.30848,0.25026,0.047187,0.039927,0.11669,0.096029,163,1
0.2892,0.23098,0.053539,0.033575,0.13228,0.11162,71,1
0.28383,0.22561,0.053539,0.033575,0.1108,0.090143,71,1
0.29929,0.24107,0.051724,0.03539,0.12103,0.10037,70,1
0.32561,0.26739,0.049002,0.038113,0.1086,0.087947,70,1
0.34492,0.2867,0.046279,0.040835,0.11131,0.090654,70,1
0.35366,0.29544,0.051724,0.03539,0.10277,0.082116,69,1
0.37946,0.32124,0.047187,0.039927,0.10041,0.079748,157,1
0.4153,0.35708,0.029946,0.057169,0.12086,0.10021,68,1
0.40731,0.3491,0.026316,0.060799,0.11271,0.09205,68,1
0.38374,0.32552,0.037205,0.049909,0.12579,0.10513,68,1
0.36154,0.30332,0.054446,0.032668,0.13232,0.11166,69,1
