@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0,0.10254,0,0.011275,0,46,0
0.0080354,0.0005254,0.098004,0.0045372,0.0097405,0,178,0
0.0087752,0.0012652,0.097096,0.0054446,0.011648,0.0019077,29,0
0.010187,0.002677,0.12976,0,0.017172,0.0074312,29,0
0.010509,0.0029987,0.16515,0,0.020427,0.010686,30,1
0.050137,0.042627,0.12432,0.040835,0.017985,0.0082449,54,1
0.12549,0.11798,0.054446,0.11071,0.034156,0.024415,11,1
0.16054,0.15303,0.043557,0.1216,0.045281,0.035541,88,1
0.16062,0.15311,0.052632,0.11252,0.10461,0.094869,87,1
0.17314,0.16563,0.056261,0.10889,0.1153,0.10556,86,1
0.1817,0.17419,0.059891,0.10526,0.11359,0.10385,84,1
0.19365,0.18614,0.069873,0.095281,0.13852,0.12878,81,1
0.21998,0.21247,0.083485,0.08167,0.18508,0.17534,80,1
0.22573,0.21822,0.092559,0.072595,0.16749,0.15774,80,1
0.2201,0.21259,0.092559,0.072595,0.17311,0.16337,82,1
0.23167,0.22416,0.087114,0.07804,0.16144,0.1517,80,1
0.25168,0.24417,0.087114,0.07804,0.16064,0.1509,78,1
0.25385,0.24634,0.10436,0.060799,0.19497,0.18523,80,1
0.264,0.25649,0.10799,0.057169,0.16592,0.15618,79,1
0.29419,0.28668,0.090744,0.07441,0.20131,0.19157,76,1
0.30447,0.29696,0.084392,0.080762,0.17869,0.16895,75,1
0.30349,0.29598,0.077132,0.088022,0.18867,0.17893,75,1
0.29497,0.28746,0.076225,0.088929,0.18161,0.17187,76,1
0.28445,0.27694,0.089837,0.075318,0.15937,0.14963,77,1
0.27865,0.27114,0.10073,0.064428,0.14636,0.13662,77,1
0.27298,0.26547,0.082577,0.082577,0.15191,0.14217,78,1
0.28062,0.27311,0.068058,0.097096,0.16524,0.1555,77,1
0.28573,0.27822,0.062613,0.10254,0.14317,0.13343,76,1
0.29361,0.2861,0.057169,0.10799,0.17145,0.16171,74,1
0.31875,0.31124,0.049909,0.11525,0.1682,0.15846,73,1
0.33865,0.33114,0.029946,0.13521,0.15067,0.14093,72,1
0.33978,0.33227,0.03176,0.13339,0.14915,0.13941,72,1
0.32885,0.32134,0.043557,0.1216,0.15864,0.1489,163,1
0.31922,0.31171,0.044465,0.12069,0.15447,0.14473,71,1
0.31597,0.30846,0.047187,0.11797,0.14237,0.13263,71,1
0.32684,0.31933,0.049909,0.11525,0.15369,0.14395,70,1
0.35059,0.34308,0.045372,0.11978,0.15896,0.14922,70,1
0.36701,0.3595,0.043557,0.1216,0.15616,0.14642,69,1
0.37725,0.36974,0.044465,0.12069,0.17079,0.16105,69,1
0.38641,0.3789,0.046279,0.11887,0.15942,0.14968,68,1
0.3928,0.38529,0.046279,0.11887,0.16968,0.15994,68,1
0.406,0.39849,0.033575,0.13158,0.15148,0.14174,68,1
0.41429,0.40678,0.024501,0.14065,0.15653,0.14679,68,1
0.41087,0.40336,0.033575,0.13158,0.17172,0.16198,69,1
0.40477,0.39726,0.043557,0.1216,0.19784,0.1881,69,1
0.41041,0.4029,0.045372,0.11978,0.1641,0.15436,69,1
0.4215,0.41399,0.039927,0.12523,0.16812,0.15838,70,1
0.42175,0.41424,0.029946,0.13521,0.14111,0.13137,69,1
0.42117,0.41366,0.024501,0.14065,0.11925,0.10951,70,1
0.43568,0.42817,0.029038,0.13612,0.10067,0.090926,70,1
0.46602,0.45851,0.029946,0.13521,0.10451,0.09477,67,1
0.48327,0.47576,0.025408,0.13975,0.10263,0.092887,65,1
0.44598,0.43847,0.023593,0.14156,0.092108,0.082368,64,1
0.36665,0.35914,0.022686,0.14247,0.0802,0.07046,64,1
0.2962,0.28869,0.022686,0.14247,0.068254,0.058513,67,1
0.22715,0.21964,0.021779,0.14338,0.061446,0.051705,72,1
0.14123,0.13372,0.038113,0.12704,0.044509,0.034768,76,1
0.063988,0.056478,0.084392,0.080762,0.028521,0.01878,89,1
0.026371,0.018861,0.11525,0.049909,0.02195,0.012209,87,1
0.016541,0.0090308,0.096189,0.068966,0.016905,0.0071648,71,1
0.014061,0.0065509,0.062613,0.10254,0.011768,0.0020273,148,1
0.01402,0.0065101,0.045372,0.11978,0.016023,0.0062827,62,0
0.011926,0.0044161,0.059891,0.10526,0.013608,0.0038679,64,0
0.0076668,0.00015682,0.069873,0.095281,0.0088672,0,74,0
0.0063915,0,0.07804,0.087114,0.0032856,0,62,0
0.0078191,0.0014276,0.072595,0.092559,0.0066812,0.0033957,150,0
0.007924,0.0015325,0.058984,0.10617,0.0068464,0.0035609,71,0
0.0078277,0.0014362,0.087114,0.07804,0.007408,0.0041224,125,0
