@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0,0.10254,0,0.45265,0,8,0,0
0.0080354,0.0005254,0.098004,0.0045372,0.59141,0.13876,4,4,0
0.0087752,0.0012652,0.097096,0.0054446,0.76695,0.31429,9,0,0
0.010187,0.002677,0.12976,0,0.75318,0.30053,13,0,0
0.010509,0.0029987,0.16515,0,0.66697,0.21432,24,0,1
0.050137,0.042627,0.12432,0.040835,0.84675,0.3941,2,22,1
0.12549,0.11798,0.054446,0.11071,1.0195,0.56689,2,22,1
0.16054,0.15303,0.043557,0.1216,1.0426,0.58999,5,19,1
0.16062,0.15311,0.052632,0.11252,1.2993,0.84662,8,16,1
0.17314,0.16563,0.056261,0.10889,1.286,0.83336,8,16,1
0.1817,0.17419,0.059891,0.10526,1.1444,0.6918,8,16,1
0.19365,0.18614,0.069873,0.095281,1.3464,0.89374,8,16,1
0.21998,0.21247,0.083485,0.08167,1.4231,0.97049,8,16,1
0.22573,0.21822,0.092559,0.072595,1.357,0.90437,8,16,1
0.2201,0.21259,0.092559,0.072595,1.2939,0.84129,8,16,1
0.23167,0.22416,0.087114,0.07804,1.2429,0.79021,8,16,1
0.25168,0.24417,0.087114,0.07804,1.3676,0.91498,8,16,1
0.25385,0.24634,0.10436,0.060799,1.3086,0.856,8,16,1
0.264,0.25649,0.10799,0.057169,1.2571,0.8044,8,16,1
0.29419,0.28668,0.090744,0.07441,1.3607,0.9081,9,15,1
0.30447,0.29696,0.084392,0.080762,1.3965,0.94384,9,15,1
0.30349,0.29598,0.077132,0.088022,1.3961,0.94346,9,15,1
0.29497,0.28746,0.076225,0.088929,1.4051,0.95245,9,15,1
0.28445,0.27694,0.089837,0.075318,1.4392,0.9865,9,15,1
0.27865,0.27114,0.10073,0.064428,1.4393,0.98663,9,15,1
0.27298,0.26547,0.082577,0.082577,1.4142,0.96155,9,15,1
0.28062,0.27311,0.068058,0.097096,1.4544,1.0017,9,15,1
0.28573,0.27822,0.062613,0.10254,1.518,1.0653,4,20,1
0.29361,0.2861,0.057169,0.10799,1.6044,1.1518,2,22,1
0.31875,0.31124,0.049909,0.11525,1.6837,1.231,2,22,1
0.33865,0.33114,0.029946,0.13521,1.7358,1.2831,2,22,1
0.33978,0.33227,0.03176,0.13339,1.7029,1.2502,2,22,1
0.32885,0.32134,0.043557,0.1216,1.6577,1.205,2,22,1
0.31922,0.31171,0.044465,0.12069,1.6632,1.2105,2,22,1
0.31597,0.30846,0.047187,0.11797,1.658,1.2054,2,22,1
0.32684,0.31933,0.049909,0.11525,1.6842,1.2316,2,22,1
0.35059,0.34308,0.045372,0.11978,1.7301,1.2775,2,22,1
0.36701,0.3595,0.043557,0.1216,1.7433,1.2906,2,22,1
0.37725,0.36974,0.044465,0.12069,1.7331,1.2805,2,22,1
0.38641,0.3789,0.046279,0.11887,1.7283,1.2757,2,22,1
0.3928,0.38529,0.046279,0.11887,1.733,1.2803,2,22,1
0.406,0.39849,0.033575,0.13158,1.7413,1.2887,2,22,1
0.41429,0.40678,0.024501,0.14065,1.7414,1.2888,2,22,1
0.41087,0.40336,0.033575,0.13158,1.7339,1.2813,2,22,1
0.40477,0.39726,0.043557,0.1216,1.7307,1.278,2,22,1
0.41041,0.4029,0.045372,0.11978,1.7408,1.2882,2,22,1
0.4215,0.41399,0.039927,0.12523,1.7581,1.3054,2,22,1
0.42175,0.41424,0.029946,0.13521,1.7627,1.3101,2,22,1
0.42117,0.41366,0.024501,0.14065,1.7626,1.3099,2,22,1
0.43568,0.42817,0.029038,0.13612,1.7651,1.3125,2,22,1
0.46602,0.45851,0.029946,0.13521,1.7505,1.2978,2,22,1
0.48327,0.47576,0.025408,0.13975,1.7933,1.3407,2,22,1
0.44598,0.43847,0.023593,0.14156,1.788,1.3353,2,22,1
0.36665,0.35914,0.022686,0.14247,1.7938,1.3412,2,22,1
0.2962,0.28869,0.022686,0.14247,1.6904,1.2377,2,22,1
0.22715,0.21964,0.021779,0.14338,1.7455,1.2928,2,22,1
0.14123,0.13372,0.038113,0.12704,1.477,1.0243,2,22,1
0.063988,0.056478,0.084392,0.080762,1.2672,0.81455,2,22,1
0.026371,0.018861,0.11525,0.049909,0.65995,0.2073,8,16,1
0.016541,0.0090308,0.096189,0.068966,0.66235,0.2097,9,15,1
0.014061,0.0065509,0.062613,0.10254,0.98256,0.52991,3,21,1
0.01402,0.0065101,0.045372,0.11978,1.5117,1.059,2,22,0
0.011926,0.0044161,0.059891,0.10526,1.3732,0.92053,2,22,0
0.0076668,0.00015682,0.069873,0.095281,0.44804,0,2,22,0
0.0063915,0,0.07804,0.087114,0.27167,0,6,18,0
0.0078191,0.0014276,0.072595,0.092559,0.082786,0,8,16,0
0.007924,0.0015325,0.058984,0.10617,0.12904,0.046257,9,15,0
0.0078277,0.0014362,0.087114,0.07804,0.37188,0.28909,11,13,0
0.0099073,0.0035158,0.10708,0.058076,0.58007,0.49728,9,15,0
0.015628,0.0092364,0.098911,0.066243,0.97961,0.89683,10,14,0
0.018007,0.011616,0.099819,0.065336,0.95418,0.87139,9,15,0
0.016253,0.0098613,0.11343,0.051724,0.54605,0.46327,12,12,0
0.014892,0.0085003,0.13067,0.034483,0.33734,0.25456,12,12,0
0.012268,0.0058762,0.14882,0.016334,0.23949,0.15671,23,1,0
0.010846,0.0044544,0.15789,0.0072595,0.42191,0.33913,21,3,0
0.011069,0.004678,0.14519,0.019964,0.46305,0.38027,13,11,0
0.010501,0.0041098,0.12886,0.036298,0.37036,0.28757,19,5,0
0.0087814,0.0023899,0.1225,0.04265,0.21116,0.12837,23,1,0
0.0062901,0,0.12886,0.036298,0.21937,0.13658,23,1,0
0.004438,0,0.1216,0.043557,0.29624,0.21345,13,11,0
0.0038568,0,0.094374,0.07078,0.18042,0.097634,12,12,0
0.0030363,0,0.11434,0.050817,0.24098,0.1582,12,12,0
0.002228,0,0.10889,0.056261,0.21411,0.13132,25,0,0
0.0025667,0.00033878,0.11343,0.051724,0.14244,0.05965,18,7,0
0.0033937,0.0011657,0.12976,0.03539,0.23946,0.15667,19,6,0
