@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0,0.10254,0,66.973,0,5.2854,0,710.6,0,0
0.0080354,0.0005254,0.098004,0.0045372,67.131,0.15759,5.2594,0.025911,925.93,215.33,0
0.0087752,0.0012652,0.097096,0.0054446,72.889,5.9154,5.3065,0,1916.5,1205.9,0
0.010187,0.002677,0.12976,0,88.971,21.998,5.4885,0,882.86,172.27,0
0.010509,0.0029987,0.16515,0,91.045,24.071,5.5117,0,882.86,172.27,1
0.050137,0.042627,0.12432,0.040835,63.013,0,5.2883,0.22337,538.33,0,1
0.12549,0.11798,0.054446,0.11071,1223.6,1160.5,4.7392,0.77251,495.26,0,1
0.16054,0.15303,0.043557,0.1216,1733.4,1670.4,4.759,0.75264,452.2,0,1
0.16062,0.15311,0.052632,0.11252,1470.1,1407.1,4.5461,0.96558,430.66,0,1
0.17314,0.16563,0.056261,0.10889,1661.4,1598.3,4.6393,0.87232,430.66,0,1
0.1817,0.17419,0.059891,0.10526,1905.2,1842.2,4.8211,0.69057,452.2,21.533,1
0.19365,0.18614,0.069873,0.095281,2015.5,1952.5,4.6152,0.89651,452.2,21.533,1
0.21998,0.21247,0.083485,0.08167,2289.7,2226.7,4.3435,1.1681,452.2,21.533,1
0.22573,0.21822,0.092559,0.072595,2438.5,2375.4,4.5463,0.96535,473.73,43.066,1
0.2201,0.21259,0.092559,0.072595,2421.3,2358.3,4.637,0.87465,452.2,21.533,1
0.23167,0.22416,0.087114,0.07804,2660.1,2597.1,4.7844,0.72725,452.2,21.533,1
0.25168,0.24417,0.087114,0.07804,2808.6,2745.6,4.518,0.99362,473.73,43.066,1
0.25385,0.24634,0.10436,0.060799,2949.2,2886.2,4.6711,0.84055,473.73,43.066,1
0.264,0.25649,0.10799,0.057169,3096.4,3033.4,4.7898,0.72181,473.73,43.066,1
0.29419,0.28668,0.090744,0.07441,3788.3,3725.3,4.658,0.85364,473.73,43.066,1
