@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.02429,0,154,0
0.025046,0.00075557,150,0
0.019648,0,133,0
0.023224,0.0035752,118,0
0.022477,0.0028285,162,0
0.020039,0.0003907,76,0
0.020244,0.00059544,142,0
0.027849,0.0082005,43,0
0.022778,0.0031298,47,0
0.023848,0.0041991,151,0
0.026012,0.0063635,185,0
0.024889,0.0052403,82,0
0.02273,0.0030812,16,0
0.023012,0.0033633,113,0
0.023184,0.003536,78,0
0.02742,0.0077721,17,0
0.021472,0.0018238,106,0
0.01954,0,80,0
0.028424,0.0088844,120,0
0.024805,0.0052647,157,0
0.025327,0.0057869,110,0
0.022081,0.0025415,168,0
0.025895,0.0063554,22,0
0.020366,0.00082646,179,0
0.022087,0.0025475,110,0
0.021618,0.0020781,82,0
0.02502,0.0054798,161,0
0.023289,0.0037488,114,0
0.021385,0.0018451,48,0
0.029289,0.0097495,114,0
0.020266,0.00072631,167,0
0.023725,0.0041851,42,0
0.027516,0.0079761,150,0
0.023434,0.0038938,16,0
0.023363,0.0038232,73,0
0.023119,0.0035786,148,0
0.022342,0.0028019,82,0
0.03362,0.01408,46,0
0.033916,0.014376,76,0
0.029568,0.010029,145,0
0.039147,0.019607,74,0
0.029401,0.009861,73,0
0.033873,0.014333,97,0
0.026225,0.0066852,75,0
0.032786,0.013246,183,0
0.036534,0.016994,80,0
0.037741,0.018201,82,0
0.026539,0.0069995,78,0
0.032188,0.012648,63,0
0.025901,0.0063613,174,0
0.026765,0.0072255,174,0
0.02518,0.0056402,71,0
0.023701,0.0041611,142,0
0.024406,0.0048661,42,0
0.020565,0.001025,70,0
0.021584,0.0020442,66,0
0.029667,0.010127,149,0
0.024494,0.0049539,43,0
0.021125,0.0015854,140,0
0.032723,0.013183,150,0
0.021546,0.002006,6,0
0.021024,0.0014845,22,0
0.023778,0.0042382,84,0
0.022315,0.0027754,185,0
0.026754,0.0072136,163,0
