@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.15338,0,2,0,0
0.006717,0,2,0,0
0.00059279,0,2,0,0
0,0,1,1,0
0.01695,0.01695,2,0,0
0.0019961,0.0019961,1,1,0
0.0034297,0.0034297,3,0,0
0.45154,0.45154,5,0,0
0.03354,0.03354,5,0,0
0.019152,0.019152,2,3,0
0.062407,0.062407,3,2,0
0.028101,0.028101,10,0,0
0.078506,0.078506,3,7,0
0.012705,0.012705,3,7,0
0.056842,0.056842,8,2,0
0.23682,0.23682,3,7,0
0.44112,0.44112,3,7,0
0.081038,0.081038,1,9,0
0.0039747,0.0039747,6,4,0
0.0063119,0.0063119,7,3,0
0.008587,0.008587,9,1,0
0.011464,0.011464,6,4,0
0.012889,0.012889,1,9,0
0.0058881,0.0058881,2,8,0
0.02327,0.02327,3,7,0
0.017731,0.017731,4,6,0
0.34407,0.34407,3,7,0
0.28038,0.28038,2,8,0
0.085124,0.085124,2,8,0
0.069444,0.069444,3,7,0
0.024347,0.024347,3,7,0
0.022061,0.022061,3,7,0
0.21633,0.21633,3,7,0
0.25728,0.25728,4,6,0
0.28738,0.28738,3,7,0
0.13619,0.13619,1,9,0
0.058191,0.058191,1,9,0
0.33925,0.33925,4,6,0
0.30125,0.30125,2,8,0
0.36587,0.36587,2,8,0
0.66801,0.66801,2,8,0
0.43247,0.43247,2,8,0
0.44481,0.44481,3,7,0
0.59454,0.59454,2,8,0
0.64705,0.64705,2,8,0
0.91707,0.91707,2,8,0
0.5933,0.5933,2,8,0
0.07982,0.07982,1,9,0
0.19975,0.19975,4,6,0
0.63427,0.63427,3,7,0
0.39171,0.39171,2,8,0
0.16696,0.16696,1,9,0
0.30931,0.30931,2,8,0
0.086611,0.086611,1,9,0
0.0071169,0.0071169,3,7,0
0.16099,0.16099,6,4,0
0.2807,0.2807,5,5,0
0.34888,0.34888,2,8,0
0.00083801,0.00083801,1,9,0
0.0021541,0.0021541,1,9,0
0.046129,0.046129,2,8,0
0.12494,0.12494,2,8,0
0.0074116,0.0074116,2,8,0
0.054939,0.054939,2,8,0
0.23802,0.23802,6,4,0
0.07874,0.07874,2,8,0
0.060582,0.060582,6,4,0
0.0063813,0.0063813,2,8,0
0.019053,0.019053,4,6,0
0.2549,0.2549,4,6,0
0.29715,0.29715,1,9,0
0.043827,0.043827,1,9,0
0.00041992,0.00041992,1,9,0
0.20222,0.20222,3,7,0
0.28456,0.28456,4,6,0
0.26139,0.26139,10,0,0
0.072694,0.072694,8,2,0
0.013483,0.013483,2,8,0
0.0071616,0.0071616,3,7,0
0.088736,0.088736,9,1,0
0.099414,0.099414,4,6,0
0.03726,0.03726,4,6,0
0.12592,0.12592,2,8,0
0.00094159,0.00094159,1,9,0
0.0045059,0.0045059,3,7,0
0.0024143,0.0024143,2,8,0
3.7914e-05,3.7914e-05,1,9,0
0.12271,0.12271,3,7,0
0.00010589,0.00010589,1,9,0
0.00041391,0.00041391,1,9,0
0.020726,0.020726,2,8,0
0.17148,0.17148,7,3,0
0.0019432,0.0019432,4,6,0
0.018451,0.018451,10,0,0
0.2668,0.2668,5,5,0
0.18903,0.18903,10,0,0
0.00014442,0.00014442,1,9,0
0,0,1,9,0
0.038576,0.038576,3,7,0
0.02134,0.02134,2,8,0
0.0047941,0.0047941,3,7,0
0.21263,0.21263,5,5,0
0.13747,0.13747,8,2,0
0.0042586,0.0042586,1,9,0
0,0,1,9,0
0.21578,0.21578,4,6,0
0.16037,0.16037,4,6,0
0.15783,0.15783,5,5,0
0.041409,0.041409,3,7,0
0.027912,0.027912,7,3,0
0.0052596,0.0052596,2,8,0
0.010066,0.010066,5,5,0
0.068964,0.068964,3,7,0
0.058313,0.058313,3,7,0
0.12897,0.12897,5,5,0
0.085307,0.085307,1,9,0
0.1651,0.1651,7,3,0
0.48835,0.48835,6,4,0
0.65544,0.65544,4,6,0
0.36677,0.36677,8,2,0
0.49479,0.49479,8,2,0
0.26416,0.26416,8,2,0
0.14047,0.14047,8,2,0
0.073568,0.073568,7,3,0
0.063976,0.063976,4,6,0
0.3615,0.3615,4,6,0
0.27189,0.27189,3,7,0
0.07078,0.07078,4,6,0
0.02676,0.02676,5,5,0
0.038263,0.038263,8,2,0
0.12314,0.12314,6,4,0
0.16874,0.16874,2,8,0
0.0051598,0.0051598,2,8,0
0.0016538,0.0016538,1,9,0
0,0,1,9,0
0,0,1,9,0
0.0063379,0.0063379,5,5,0
0.13323,0.13323,7,3,0
0.063036,0.063036,9,1,0
0.054844,0.054844,6,4,0
0.10933,0.10933,4,6,0
0.1458,0.1458,5,5,0
0.17845,0.17845,1,9,0
0.029744,0.029744,2,8,0
0.052493,0.052493,2,8,0
0.046686,0.046686,2,8,0
0.00071793,0.00071793,1,9,0
0,0,1,9,0
0,0,1,9,0
0.0013775,0.0013775,4,6,0
0.036783,0.036783,6,4,0
0,0,1,9,0
0.012038,0.012038,2,8,0
0.017399,0.017399,5,5,1
0.26825,0.26825,25,0,1
0.42985,0.42985,29,0,1
0.62394,0.62394,28,1,1
1.12,1.12,28,1,1
0.7532,0.7532,27,2,1
0.596,0.596,28,1,1
0.64533,0.64533,28,1,1
0.51142,0.51142,28,1,1
0.50065,0.50065,28,1,1
0.40179,0.40179,28,1,1
0.098941,0.098941,27,2,1
0.08003,0.08003,23,6,1
0.25471,0.25471,17,12,1
0.23087,0.23087,19,10,1
0.33414,0.33414,26,3,1
0.50719,0.50719,29,0,1
0.5168,0.5168,28,1,1
0.56279,0.56279,27,2,1
0.64854,0.64854,27,2,1
0.60003,0.60003,27,2,1
0.57396,0.57396,27,2,1
0.57744,0.57744,27,2,1
0.58435,0.58435,26,3,1
0.4906,0.4906,26,3,1
0.50556,0.50556,26,3,1
0.58861,0.58861,28,1,1
0.58521,0.58521,27,2,1
0.61066,0.61066,26,3,1
0.58131,0.58131,27,2,1
0.75984,0.75984,27,2,1
0.60706,0.60706,27,2,1
0.89387,0.89387,27,2,1
0.81991,0.81991,28,1,1
0.70739,0.70739,25,4,1
1.1359,1.1359,27,2,1
0.8756,0.8756,27,2,1
0.74072,0.74072,27,2,1
0.72336,0.72336,27,2,1
1.3083,1.3083,27,2,1
1.3353,1.3353,27,2,1
1.1921,1.1921,27,2,1
1.4161,1.4161,28,1,1
1.314,1.314,28,1,1
1.2655,1.2655,28,1,1
1.2798,1.2798,28,1,1
1.2132,1.2132,27,2,1
1.3129,1.3129,28,1,1
1.2998,1.2998,27,2,1
1.421,1.421,27,2,1
1.4545,1.4545,28,1,1
1.3911,1.3911,27,2,1
1.3185,1.3185,27,2,1
1.2163,1.2163,28,1,1
1.0848,1.0848,27,2,1
1.2917,1.2917,28,1,1
1.3199,1.3199,28,1,1
1.2681,1.2681,26,3,1
1.3519,1.3519,27,2,1
1.26,1.26,26,3,1
1.2615,1.2615,25,4,1
1.3853,1.3853,27,2,1
