@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
314.56,0,5.2427,0,301.46,0,0.02429,0,154,0
395.1,80.544,5.2137,0.028929,215.33,0,0.025046,0.00075557,150,0
318.32,3.7648,5.3597,0,279.93,64.6,0.019648,0,133,0
447.78,133.23,5.0452,0.31449,215.33,0,0.023224,0.0035752,118,0
468.78,154.23,5.0235,0.33617,236.87,21.533,0.022477,0.0028285,162,0
405.29,90.733,5.2334,0.12625,215.33,0,0.020039,0.0003907,76,0
398.19,83.63,5.1782,0.18146,215.33,0,0.020244,0.00059544,142,0
193.16,0,5.4237,0,323,107.67,0.027849,0.0082005,43,0
568.9,375.74,5.006,0.41768,258.4,43.066,0.022778,0.0031298,47,0
405.28,212.13,5.2105,0.21319,236.87,21.533,0.023848,0.0041991,151,0
429.32,236.16,5.1684,0.25523,236.87,21.533,0.026012,0.0063635,185,0
242.37,49.216,5.3633,0.060315,129.2,0,0.024889,0.0052403,82,0
173.66,0,5.4251,0,129.2,0,0.02273,0.0030812,16,0
353.32,179.66,5.2139,0.21116,215.33,86.133,0.023012,0.0033633,113,0
196.37,22.704,5.4629,0,150.73,21.533,0.023184,0.003536,78,0
248.51,74.848,5.3625,0.1004,279.93,150.73,0.02742,0.0077721,17,0
478.17,304.51,5.095,0.36782,258.4,129.2,0.021472,0.0018238,106,0
558.28,384.62,5.0902,0.37265,193.8,64.6,0.01954,0,80,0
263.67,90.011,5.2472,0.21563,344.53,215.33,0.028424,0.0088844,120,0
434.89,261.22,5.2418,0.22107,172.27,43.066,0.024805,0.0052647,157,0
335.49,161.83,5.1786,0.28425,215.33,86.133,0.025327,0.0057869,110,0
228.04,54.379,5.3529,0.10999,150.73,21.533,0.022081,0.0025415,168,0
326.16,152.5,5.2787,0.18413,236.87,107.67,0.025895,0.0063554,22,0
419.48,245.82,5.1737,0.28919,236.87,107.67,0.020366,0.00082646,179,0
318.4,144.74,5.3501,0.11278,193.8,64.6,0.022087,0.0025475,110,0
276.23,102.56,5.2895,0.17334,193.8,64.6,0.021618,0.0020781,82,0
556.23,382.57,5.0075,0.45533,279.93,150.73,0.02502,0.0054798,161,0
861.67,688,4.903,0.55983,279.93,150.73,0.023289,0.0037488,114,0
507.44,333.78,5.0978,0.36505,258.4,129.2,0.021385,0.0018451,48,0
591.63,417.96,4.9424,0.52045,258.4,129.2,0.029289,0.0097495,114,0
722.7,549.04,4.9245,0.53833,215.33,86.133,0.020266,0.00072631,167,0
539.82,366.16,5.0895,0.37336,215.33,86.133,0.023725,0.0041851,42,0
665.09,491.42,4.9718,0.49102,236.87,107.67,0.027516,0.0079761,150,0
650.94,477.28,4.9793,0.48359,215.33,86.133,0.023434,0.0038938,16,0
638.81,465.14,5.0171,0.44577,236.87,107.67,0.023363,0.0038232,73,0
843.96,670.29,4.8143,0.64859,215.33,86.133,0.023119,0.0035786,148,0
706.92,533.25,4.947,0.51587,193.8,64.6,0.022342,0.0028019,82,0
807.93,634.27,5.0098,0.45305,236.87,107.67,0.03362,0.01408,46,0
1034.5,860.81,5.0039,0.45899,215.33,86.133,0.033916,0.014376,76,0
870.79,697.13,5.1041,0.35877,236.87,107.67,0.029568,0.010029,145,0
724.33,550.67,5.2295,0.2334,495.26,366.06,0.039147,0.019607,74,0
767.64,593.98,5.2542,0.20863,495.26,366.06,0.029401,0.009861,73,0
831.52,657.86,5.1182,0.34465,258.4,129.2,0.033873,0.014333,97,0
1000.2,826.59,5.0523,0.41053,279.93,150.73,0.026225,0.0066852,75,0
769.36,595.7,5.0242,0.43869,495.26,366.06,0.032786,0.013246,183,0
639.37,465.71,5.1428,0.32008,495.26,366.06,0.036534,0.016994,80,0
641.25,467.59,5.0789,0.38392,495.26,366.06,0.037741,0.018201,82,0
899.93,726.27,4.9447,0.51814,215.33,86.133,0.026539,0.0069995,78,0
596.88,423.21,5.0393,0.42354,495.26,366.06,0.032188,0.012648,63,0
573.19,399.53,5.0681,0.39477,495.26,366.06,0.025901,0.0063613,174,0
801.4,627.74,4.925,0.53782,236.87,107.67,0.026765,0.0072255,174,0
