@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
314.56,0,5.2427,0,301.46,0,0
395.1,80.544,5.2137,0.028929,215.33,0,0
318.32,3.7648,5.3597,0,279.93,64.6,0
447.78,133.23,5.0452,0.31449,215.33,0,0
468.78,154.23,5.0235,0.33617,236.87,21.533,0
405.29,90.733,5.2334,0.12625,215.33,0,0
398.19,83.63,5.1782,0.18146,215.33,0,0
193.16,0,5.4237,0,323,107.67,0
568.9,375.74,5.006,0.41768,258.4,43.066,0
405.28,212.13,5.2105,0.21319,236.87,21.533,0
429.32,236.16,5.1684,0.25523,236.87,21.533,0
242.37,49.216,5.3633,0.060315,129.2,0,0
173.66,0,5.4251,0,129.2,0,0
353.32,179.66,5.2139,0.21116,215.33,86.133,0
196.37,22.704,5.4629,0,150.73,21.533,0
248.51,74.848,5.3625,0.1004,279.93,150.73,0
478.17,304.51,5.095,0.36782,258.4,129.2,0
558.28,384.62,5.0902,0.37265,193.8,64.6,0
263.67,90.011,5.2472,0.21563,344.53,215.33,0
434.89,261.22,5.2418,0.22107,172.27,43.066,0
335.49,161.83,5.1786,0.28425,215.33,86.133,0
228.04,54.379,5.3529,0.10999,150.73,21.533,0
326.16,152.5,5.2787,0.18413,236.87,107.67,0
419.48,245.82,5.1737,0.28919,236.87,107.67,0
318.4,144.74,5.3501,0.11278,193.8,64.6,0
276.23,102.56,5.2895,0.17334,193.8,64.6,0
556.23,382.57,5.0075,0.45533,279.93,150.73,0
861.67,688,4.903,0.55983,279.93,150.73,0
507.44,333.78,5.0978,0.36505,258.4,129.2,0
591.63,417.96,4.9424,0.52045,258.4,129.2,0
722.7,549.04,4.9245,0.53833,215.33,86.133,0
539.82,366.16,5.0895,0.37336,215.33,86.133,0
665.09,491.42,4.9718,0.49102,236.87,107.67,0
650.94,477.28,4.9793,0.48359,215.33,86.133,0
638.81,465.14,5.0171,0.44577,236.87,107.67,0
843.96,670.29,4.8143,0.64859,215.33,86.133,0
706.92,533.25,4.947,0.51587,193.8,64.6,0
