,3db,,,,50db,,,,50+3db,,,
,3db,50db,7db*,Mean,3db,50db,7db*,Mean,3db,50db,7db*,Mean
Zeit,77.81%,79.02%,86.04%,"80,96%",49.33%,94.70%,48.66%,"64,23%",77.54%,92.47%,84.38%,"84,80%"
Freq,82.05%,89.28%,82.71%,"84,68%",70.52%,94.37%,55.06%,"73,31%",81.75%,91.22%,74.90%,"82,62%"
Ceps,88.98%,94.72%,92.96%,"92,22%",86.83%,94.68%,92.83%,"91,45%",88.98%,94.72%,92.96%,"92,22%"
Corr,80.45%,73.47%,84.89%,"79,60%",73.07%,87.14%,77.98%,"79,39%",77.90%,84.88%,82.84%,"81,87%"
Zeit+Freq,82.05%,89.28%,82.71%,"84,68%",70.52%,94.37%,55.06%,"73,31%",81.75%,91.22%,74.90%,"82,62%"
Zeit+Ceps,88.98%,94.72%,92.96%,"92,22%",86.83%,94.68%,92.83%,"91,45%",88.98%,94.72%,92.96%,"92,22%"
Zeit+Corr,80.45%,73.47%,84.89%,"79,60%",49.33%,94.70%,48.66%,"64,23%",80.32%,92.35%,88.22%,"86,96%"
Freq+Ceps,88.98%,94.72%,92.96%,"92,22%",70.65%,94.75%,55.06%,"73,49%",88.98%,94.72%,92.96%,"92,22%"
Freq+Corr,82.05%,89.28%,82.71%,"84,68%",70.52%,95.60%,95.60%,"87,24%",81.75%,94.42%,74.90%,"83,69%"
