@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R4

@attribute cepstralMostDominantPeak numeric
@attribute cepstralMostDominantPeak_min numeric
@attribute cepstralLocPeak numeric
@attribute class {0,1}

@data
0.007866,0,139,0
0.009741,0.001875,145,0
0.007961,0.000095,154,0
0.014013,0.006147,44,0
0.012667,0.004801,52,1
0.017985,0.010119,21,1
0.028237,0.020371,126,1
0.045281,0.037415,55,1
0.10461,0.096744,54,1
0.1153,0.10743,53,1
0.11359,0.10573,51,1
0.13852,0.13066,48,1
0.18508,0.17721,47,1
0.16749,0.15962,47,1
0.17311,0.16525,49,1
0.16144,0.15358,47,1
0.16064,0.15277,45,1
0.19497,0.1871,47,1
0.16592,0.15805,46,1
0.20131,0.19345,43,1
0.17541,0.16755,42,1
0.18867,0.18081,42,1
0.18161,0.17375,43,1
0.15937,0.1515,44,1
0.14636,0.13849,44,1
0.15135,0.14349,45,1
0.16524,0.15738,44,1
0.14317,0.13531,43,1
0.17145,0.16358,41,1
0.1682,0.16034,40,1
0.14129,0.13342,39,1
0.13966,0.13179,39,1
0.15864,0.15077,130,1
0.15221,0.14434,38,1
0.13586,0.12799,38,1
0.14461,0.13674,37,1
0.14206,0.13419,127,1
0.14231,0.13444,36,1
0.15437,0.14651,36,1
0.14944,0.14157,124,1
0.15068,0.14282,35,1
0.14984,0.14198,35,1
0.14998,0.14211,35,1
0.15855,0.15069,36,1
0.18081,0.17295,36,1
0.1539,0.14604,36,1
0.16107,0.1532,37,1
0.13408,0.12622,36,1
0.11631,0.10845,37,1
0.093891,0.086025,37,1
0.099165,0.091299,34,1
0.10263,0.094761,32,1
0.084584,0.076718,31,1
0.075704,0.067838,31,1
0.065545,0.057679,34,1
0.056928,0.049062,39,1
0.044509,0.036643,43,1
0.028521,0.020655,56,1
0.02195,0.014084,54,1
0.01631,0.008444,38,1
0.011768,0.003902,115,1
0.013908,0.006042,29,0
0.013608,0.005743,31,0
0.008867,0.001001,41,0
0.003286,0,29,0
0.006681,0.003396,117,0
0.006846,0.003561,38,0
