@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
66.973,0,5.2854,0,710.6,0,0
67.131,0.15759,5.2594,-0.025911,925.93,215.33,0
72.889,5.9154,5.3065,0,1916.5,1205.9,0
88.971,21.998,5.4885,0,882.86,172.27,0
91.045,24.071,5.5117,0,882.86,172.27,1
63.013,0,5.2883,-0.22337,538.33,0,1
1223.6,1160.5,4.7392,-0.77251,495.26,0,1
1733.4,1670.4,4.759,-0.75264,452.2,0,1
1470.1,1407.1,4.5461,-0.96558,430.66,0,1
1661.4,1598.3,4.6393,-0.87232,430.66,0,1
1905.2,1842.2,4.8211,-0.69057,452.2,21.533,1
2015.5,1952.5,4.6152,-0.89651,452.2,21.533,1
2289.7,2226.7,4.3435,-1.1681,452.2,21.533,1
2438.5,2375.4,4.5463,-0.96535,473.73,43.066,1
2421.3,2358.3,4.637,-0.87465,452.2,21.533,1
2660.1,2597.1,4.7844,-0.72725,452.2,21.533,1
2808.6,2745.6,4.518,-0.99362,473.73,43.066,1
2949.2,2886.2,4.6711,-0.84055,473.73,43.066,1
3096.4,3033.4,4.7898,-0.72181,473.73,43.066,1
3788.3,3725.3,4.658,-0.85364,473.73,43.066,1
3485.7,3422.7,4.3657,-1.1459,495.26,64.6,1
3574.9,3511.9,4.457,-1.0547,495.26,64.6,1
3464.5,3401.5,4.4561,-1.0556,473.73,43.066,1
3117.2,3054.1,4.4385,-1.0731,473.73,43.066,1
3004.7,2941.7,4.3903,-1.1214,473.73,43.066,1
2920.4,2857.4,4.3383,-1.1733,473.73,43.066,1
3056.6,2993.6,4.4427,-1.0689,473.73,43.066,1
2872.4,2809.4,4.5054,-1.0062,473.73,43.066,1
2960,2897,4.3734,-1.1383,495.26,64.6,1
2984.1,2921.1,4.2427,-1.2689,495.26,64.6,1
3259,3196,4.3726,-1.139,495.26,64.6,1
3308.7,3245.7,4.2772,-1.2345,495.26,64.6,1
3325.9,3262.8,4.332,-1.1796,495.26,64.6,1
3271.2,3208.2,4.3417,-1.17,516.8,86.133,1
3271.3,3208.3,4.4547,-1.057,516.8,86.133,1
3347.9,3284.9,4.394,-1.1176,516.8,86.133,1
3480.3,3417.2,4.2068,-1.3049,516.8,86.133,1
3557.3,3494.2,4.186,-1.3257,516.8,86.133,1
3659.6,3596.6,4.206,-1.3056,516.8,86.133,1
3741.7,3678.7,4.1119,-1.3997,516.8,86.133,1
3824.1,3761.1,4.1733,-1.3384,516.8,86.133,1
3835.8,3772.8,4.0683,-1.4434,516.8,86.133,1
3900.5,3837.5,4.0698,-1.4419,516.8,86.133,1
3988.1,3925.1,4.1639,-1.3477,516.8,86.133,1
3988.4,3925.4,4.1979,-1.3137,516.8,86.133,1
4015.4,3952.4,4.1153,-1.3963,516.8,86.133,1
3871,3808,3.9727,-1.5389,516.8,86.133,1
3593.5,3530.5,3.8876,-1.6241,516.8,86.133,1
3416.9,3353.9,3.8163,-1.6954,516.8,86.133,1
3419.7,3356.7,3.8153,-1.6964,516.8,86.133,1
3604.6,3541.6,3.707,-1.8046,516.8,86.133,1
3918.6,3855.5,3.5803,-1.9313,538.33,107.67,1
3322.6,3259.6,3.6082,-1.9034,538.33,107.67,1
2773.1,2710.1,3.8238,-1.6879,538.33,107.67,1
1871.1,1808.1,3.9439,-1.5678,538.33,107.67,1
1630,1567,4.0169,-1.4948,516.8,86.133,1
564.33,501.32,4.609,-0.9027,473.73,43.066,1
148.7,85.688,5.2066,-0.30509,430.66,0,1
70.206,7.1929,5.5821,0,538.33,107.67,1
72.307,9.2935,5.4706,-0.11147,516.8,86.133,1
76.372,13.358,5.3391,-0.24296,538.33,107.67,1
45.768,0,4.8904,-0.6917,516.8,86.133,0
56.429,10.662,5.0393,-0.54278,538.33,107.67,0
56.438,10.671,5.0413,-0.54078,495.26,64.6,0
60.837,15.07,5.2364,-0.34574,258.4,0,0
61.764,15.997,5.2043,-0.37783,129.2,0,0
69.115,23.348,5.3315,-0.25058,86.133,0,0
76.022,30.255,5.3726,-0.20951,301.46,215.33,0
82.524,36.757,5.4139,-0.16818,1959.5,1873.4,0
69.526,23.758,5.3216,-0.2605,1981.1,1894.9,0
46.318,0.55085,5.2756,-0.30648,1851.9,1765.7,0
81.392,35.624,5.4947,-0.087401,258.4,172.27,0
81.186,35.419,5.5056,-0.076452,2024.1,1938,0
98.854,53.087,5.5974,0,193.8,107.67,0
99.925,54.157,5.6045,0,2067.2,1981.1,0
83.651,37.883,5.4481,-0.15631,2002.6,1916.5,0
93.892,48.124,5.5428,-0.06169,215.33,129.2,0
93.921,48.154,5.564,-0.040453,236.87,150.73,0
77.946,32.178,5.4406,-0.16387,193.8,107.67,0
69.372,23.604,5.5286,-0.0759,129.2,43.066,0
56.193,10.425,5.404,-0.20048,258.4,172.27,0
45.479,0,5.3125,-0.29194,236.87,150.73,0
38.274,0,5.3636,-0.24085,387.6,301.46,0
39.659,1.3852,5.4497,-0.15474,107.67,21.533,0
61.922,23.648,5.4852,-0.11926,258.4,172.27,0
82.074,43.8,5.5506,-0.053902,495.26,409.13,0
82.836,44.562,5.4407,-0.16371,538.33,452.2,1
883.2,844.92,4.4832,-1.1213,516.8,430.66,1
1231.9,1193.6,4.2961,-1.3084,495.26,409.13,1
1692.9,1654.7,4.5453,-1.0592,473.73,387.6,1
1909.8,1871.5,4.5873,-1.0171,473.73,387.6,1
1978.6,1940.3,4.4656,-1.1388,473.73,387.6,1
2124.8,2086.5,4.476,-1.1285,473.73,387.6,1
2304.5,2266.3,4.6013,-1.0031,495.26,409.13,1
2281.7,2243.5,4.4307,-1.1738,495.26,409.13,1
2348.4,2310.1,4.4819,-1.1226,495.26,409.13,1
2334.3,2296,4.4098,-1.1946,495.26,409.13,1
2343.2,2304.9,4.4951,-1.1093,495.26,409.13,1
2350.6,2312.3,4.4804,-1.1241,495.26,409.13,1
2366,2327.7,4.422,-1.1825,495.26,409.13,1
2447.8,2409.6,4.5704,-1.034,495.26,409.13,1
2404.1,2365.9,4.464,-1.1405,495.26,409.13,1
2336.9,2298.6,4.434,-1.1705,473.73,387.6,1
2350.8,2312.5,4.4973,-1.1072,495.26,409.13,1
2309.4,2271.1,4.4008,-1.2036,495.26,409.13,1
2325.5,2287.3,4.5523,-1.0522,473.73,387.6,1
2257.2,2218.9,4.4563,-1.1481,473.73,387.6,1
2314.2,2275.9,4.5984,-1.0061,473.73,387.6,1
2287.4,2249.1,4.7653,-0.83919,473.73,387.6,1
2149.9,2111.7,4.5053,-1.0992,452.2,366.06,1
2098.3,2060.1,4.5778,-1.0266,452.2,366.06,1
1998.9,1960.6,4.6164,-0.98807,452.2,366.06,1
1828.9,1790.6,4.7082,-0.89623,452.2,366.06,1
1783.8,1745.5,4.6883,-0.91614,452.2,366.06,1
1822.7,1784.4,4.6731,-0.9314,452.2,366.06,1
1820.9,1782.6,4.6545,-0.94994,452.2,366.06,1
1838.8,1800.6,4.6404,-0.96403,452.2,366.06,1
1881.6,1843.4,4.6716,-0.93289,452.2,366.06,1
1953.5,1915.2,4.612,-0.99249,452.2,366.06,1
2037.7,1999.4,4.5662,-1.0382,452.2,366.06,1
2038.6,2000.3,4.5699,-1.0346,452.2,366.06,1
2031.7,1993.5,4.5764,-1.028,452.2,366.06,1
2060.5,2022.3,4.5838,-1.0206,473.73,387.6,1
2071.1,2032.8,4.472,-1.1325,473.73,387.6,1
2114.1,2075.8,4.4937,-1.1107,473.73,387.6,1
2184.7,2146.4,4.4884,-1.1161,473.73,387.6,1
2185.4,2147.1,4.5165,-1.0879,473.73,387.6,1
2233.7,2195.4,4.4116,-1.1929,473.73,387.6,1
2209.6,2171.4,4.4455,-1.159,473.73,387.6,1
2173.5,2135.3,4.5813,-1.0232,452.2,366.06,1
1924.3,1886,4.6712,-0.93325,452.2,366.06,1
1735.5,1697.2,4.661,-0.94348,452.2,366.06,1
1765.7,1727.5,4.5676,-1.0368,452.2,366.06,1
1869.5,1831.2,4.5541,-1.0503,452.2,366.06,1
1798.6,1760.3,4.512,-1.0925,452.2,366.06,1
1747.6,1709.3,4.6393,-0.96518,452.2,366.06,1
1722.3,1684,4.5755,-1.0289,452.2,366.06,1
1720.2,1682,4.363,-1.2415,452.2,366.06,1
1711.9,1673.7,4.3348,-1.2696,452.2,366.06,1
1762.5,1724.2,4.1706,-1.4339,452.2,366.06,1
1824.1,1785.8,4.2908,-1.3136,452.2,366.06,1
1832.6,1794.3,4.3072,-1.2972,452.2,366.06,1
1824.5,1786.3,4.1329,-1.4715,452.2,366.06,1
1920.3,1882,4.1325,-1.472,452.2,366.06,1
1908,1869.7,4.0696,-1.5349,452.2,366.06,1
2049.6,2011.3,4.1403,-1.4642,452.2,366.06,1
2249.3,2211.1,4.0852,-1.5192,473.73,387.6,1
2399.9,2361.6,4.2757,-1.3287,473.73,387.6,1
2591.2,2552.9,4.3513,-1.2531,473.73,387.6,1
2604.1,2565.8,4.5096,-1.0948,473.73,387.6,1
2544.1,2505.8,4.0363,-1.5682,473.73,387.6,1
2508,2469.7,4.0714,-1.5331,473.73,387.6,1
2478.2,2439.9,4.1327,-1.4718,473.73,387.6,1
2590.1,2551.8,4.1338,-1.4707,495.26,409.13,1
2705.1,2666.9,4.1928,-1.4116,495.26,409.13,1
2833,2794.7,4.1412,-1.4632,495.26,409.13,1
2888.1,2849.9,4.2368,-1.3677,495.26,409.13,1
2816.9,2778.6,4.2059,-1.3986,495.26,409.13,1
2819.4,2781.1,4.3005,-1.304,495.26,409.13,1
2814.3,2776,4.2836,-1.3208,495.26,409.13,1
2917,2878.7,4.3106,-1.2938,495.26,409.13,1
2872.7,2834.4,4.2781,-1.3263,495.26,409.13,1
2828.6,2790.3,4.3428,-1.2616,495.26,409.13,1
2764.6,2726.3,4.3345,-1.2699,473.73,387.6,1
2578.2,2539.9,4.1917,-1.4127,473.73,387.6,1
2525.1,2486.8,4.1652,-1.4393,473.73,387.6,1
2523.8,2485.5,4.325,-1.2795,473.73,387.6,1
2587.2,2548.9,4.4136,-1.1908,473.73,387.6,1
2608.4,2570.1,4.411,-1.1934,473.73,387.6,1
2346.9,2308.7,4.1003,-1.5041,473.73,387.6,1
2353,2314.8,4.2374,-1.367,452.2,366.06,1
2203.5,2165.2,4.3355,-1.2689,452.2,366.06,1
2034.4,1996.1,4.3068,-1.2977,452.2,366.06,1
2063.8,2025.5,4.2084,-1.396,430.66,344.53,1
1859.5,1821.3,4.4652,-1.1393,430.66,344.53,1
1898,1859.7,4.3652,-1.2393,796.73,710.6,1
2037.9,1999.6,4.32,-1.2844,753.66,667.53,1
2146.6,2108.4,4.2261,-1.3783,732.13,646,1
1933.3,1895,4.3082,-1.2963,710.6,624.46,1
1187.9,1149.7,4.3928,-1.2116,689.06,602.93,1
1048.8,1010.5,4.4876,-1.1169,689.06,602.93,1
1022,983.71,4.5219,-1.0826,732.13,646,1
659.38,621.11,4.6122,-0.99221,387.6,301.46,1
818.35,780.08,4.7145,-0.88995,732.13,646,1
1021.4,983.14,4.6123,-0.99218,732.13,646,1
966.49,928.22,4.5398,-1.0647,689.06,602.93,1
584.48,546.2,4.5428,-1.0616,430.66,344.53,1
1154.4,1116.1,4.3201,-1.2844,710.6,624.46,1
983.25,944.98,4.293,-1.3114,710.6,624.46,1
718.3,680.03,4.3291,-1.2753,452.2,366.06,1
937.52,899.25,4.1903,-1.4141,538.33,452.2,1
750.76,712.49,3.9878,-1.6166,495.26,409.13,1
640.72,602.45,3.8042,-1.8002,495.26,409.13,1
299.65,261.37,3.604,-2.0005,495.26,409.13,1
23.064,0,4.6371,-0.96739,473.73,387.6,1
10.189,0,4.4872,-1.1172,409.13,323,1
21.964,11.775,4.5071,-1.0974,430.66,344.53,1
47.214,37.024,4.8589,-0.7456,430.66,344.53,1
66.043,55.854,5.2049,-0.3996,452.2,366.06,1
50.648,40.459,4.9431,-0.66132,452.2,366.06,1
35.022,24.833,4.6361,-0.96839,473.73,387.6,0
32.136,21.947,4.4768,-1.1276,473.73,387.6,0
42.521,32.332,4.8134,-0.79109,473.73,387.6,0
52.316,42.127,5.2624,-0.34207,473.73,387.6,0
56.062,45.873,5.4435,-0.16095,2239.5,2153.3,0
49.645,39.456,5.476,-0.12843,473.73,387.6,0
48.006,37.816,5.3485,-0.25593,473.73,387.6,0
45.754,35.565,5.462,-0.14245,2002.6,1916.5,0
40.928,30.738,5.5172,-0.087302,2304.1,2217.9,0
43.032,32.843,5.4499,-0.15453,2304.1,2217.9,0
39.784,29.594,5.4607,-0.14376,2325.6,2239.5,0
39.204,29.015,5.5109,-0.093574,215.33,129.2,0
41.195,31.006,5.5835,-0.020905,2174.9,2088.7,0
43.617,33.428,5.5383,-0.066148,1981.1,1894.9,0
40.176,29.986,5.5134,-0.091024,559.86,473.73,0
37.176,26.987,5.4623,-0.14217,150.73,64.6,0
39.616,29.427,5.4663,-0.13813,193.8,107.67,0
40.618,30.429,5.5813,-0.023164,559.86,473.73,0
37.018,26.829,5.6439,0,538.33,452.2,0
38.639,28.45,5.6086,-0.035265,473.73,387.6,0
37.934,27.744,5.5888,-0.055128,301.46,215.33,0
34.896,24.707,5.6354,-0.0085209,279.93,193.8,0
31.359,21.17,5.6076,-0.036326,150.73,64.6,0
29.832,19.643,5.5367,-0.10716,366.06,279.93,0
33.269,23.08,5.5329,-0.11103,323,236.87,0
35.848,25.659,5.612,-0.031909,495.26,409.13,0
31.571,21.382,5.5983,-0.045643,430.66,344.53,0
26.535,16.346,5.5745,-0.069428,409.13,323,0
29.149,18.96,5.4579,-0.18599,301.46,215.33,0
29.498,19.308,5.4393,-0.20463,301.46,215.33,0
28.559,18.37,5.479,-0.1649,301.46,215.33,0
24.604,14.414,5.4603,-0.18358,21.533,0,0
27.214,17.025,5.4828,-0.16111,387.6,366.06,0
27.878,17.689,5.4346,-0.20929,215.33,193.8,0
29.94,19.751,5.4653,-0.17857,150.73,129.2,0
27.909,17.72,5.5718,-0.072073,21.533,0,0
28.696,18.507,5.4901,-0.15383,21.533,0,0
29.517,19.328,5.5073,-0.13659,236.87,215.33,0
31.856,21.667,5.5451,-0.098799,215.33,193.8,0
31.195,21.006,5.551,-0.09293,258.4,236.87,0
32.881,22.692,5.5113,-0.13261,215.33,193.8,0
39.5,29.311,5.5868,-0.057131,21.533,0,0
50.471,40.282,5.6946,0,2368.7,2347.1,0
42.961,32.772,5.6581,-0.036427,2368.7,2347.1,0
43.262,33.072,5.6332,-0.061408,775.2,753.66,0
46.763,36.574,5.6879,-0.0066813,430.66,409.13,0
51.49,41.301,5.687,-0.0075898,1485.8,1464.3,0
49.355,39.165,5.6596,-0.035003,1485.8,1464.3,0
53.377,43.188,5.6241,-0.070487,2411.7,2390.2,0
60.71,50.521,5.7018,0,1507.3,1485.8,0
58.713,48.524,5.5993,-0.10251,2304.1,2282.5,0
49.26,39.071,5.5316,-0.17015,2045.7,2024.1,0
47.013,36.824,5.3725,-0.3293,258.4,236.87,0
46.461,36.272,5.1589,-0.54289,150.73,129.2,0
35.7,25.511,5.0582,-0.64356,452.2,430.66,0
40.043,29.854,5.2878,-0.41393,215.33,193.8,0
28.809,18.62,4.9608,-0.74094,236.87,215.33,0
27.14,16.951,5.2824,-0.41941,193.8,172.27,0
29.594,19.405,5.3975,-0.30426,150.73,129.2,0
29.787,19.598,5.6018,-0.099996,236.87,215.33,0
25.684,15.495,5.1735,-0.52828,258.4,236.87,0
25.076,14.887,5.2668,-0.43497,215.33,193.8,0
24.62,14.431,5.2573,-0.44449,409.13,387.6,0
27.437,17.248,5.0953,-0.60651,516.8,495.26,0
24.991,14.802,4.9816,-0.72015,516.8,495.26,0
28.74,18.551,5.2488,-0.45301,516.8,495.26,0
