@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3'

@attribute energy_min numeric
@attribute zeroCrossingRate_min numeric
@attribute class {0,1}

@data
0,0,0
0,0,0
0,-0.00363,0
0,0,0
0,0,1
0.017416,-0.008167,1
0.069928,-0.00726,1
0.098676,-0.006352,1
0.10764,-0.00363,1
0.12896,-0.002722,1
0.14359,-0.006352,1
0.1811,-0.002722,1
0.24109,-0.008167,1
0.24233,-0.004537,1
0.22276,0,1
0.23247,-0.00726,1
0.23216,-0.000907,1
0.22902,0,1
0.24786,-0.004537,1
0.29579,-0.019964,1
0.27381,-0.00726,1
0.24098,-0.005445,1
0.21888,-0.004537,1
0.18041,0,1
0.19298,0,1
0.17958,0,1
0.19081,-0.009074,1
0.21111,-0.026316,1
0.21662,-0.03176,1
0.22823,-0.03539,1
0.25135,-0.04265,1
0.26583,-0.048094,1
0.25026,-0.039927,1
0.23098,-0.033575,1
0.22561,-0.033575,1
0.24107,-0.03539,1
0.26739,-0.038113,1
0.2867,-0.040835,1
0.29544,-0.03539,1
0.32124,-0.039927,1
0.35708,-0.057169,1
0.3491,-0.060799,1
0.32552,-0.049909,1
0.30332,-0.032668,1
0.27845,-0.029946,1
0.30493,-0.03902,1
0.32434,-0.047187,1
0.3155,-0.055354,1
0.32043,-0.058984,1
0.3317,-0.061706,1
0.35606,-0.062613,1
0.37466,-0.061706,1
0.32788,-0.063521,1
0.24887,-0.064428,1
0.20128,-0.064428,1
0.1499,-0.063521,1
0.084225,-0.050817,1
0.038312,-0.04265,1
0.029936,-0.049909,1
0.035134,-0.058076,1
0.030645,-0.055354,1
0.013944,-0.051724,0
0.012062,-0.049909,0
0.021088,-0.051724,0
0.026879,-0.058984,0
0.02911,-0.067151,0
0.052777,-0.07078,0
0.10784,-0.064428,0
0.19455,-0.064428,0
0.2358,-0.063521,0
0.23815,-0.064428,0
0.27457,-0.064428,0
0.29469,-0.063521,0
0.2907,-0.064428,0
0.26528,-0.063521,0
0.18946,-0.059891,0
0.18555,-0.061706,0
0.19407,-0.063521,0
0.16187,-0.066243,0
0.1932,-0.063521,0
0.18385,-0.052632,0
0.13223,-0.054446,0
0.10374,-0.064428,0
