@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R2-4

@attribute cepstralMostDominantPeak numeric
@attribute class {0,1}

@data
0.026362,0
0.025511,0
0.024793,0
0.020657,0
0.021712,1
0.019892,1
0.026104,1
0.046163,1
0.07571,1
0.079864,1
0.067755,1
0.073765,1
0.083505,1
0.10162,1
0.10213,1
0.089098,1
0.089956,1
0.1139,1
0.10357,1
0.14023,1
0.11409,1
0.13963,1
0.13828,1
0.12397,1
0.11673,1
0.11043,1
0.12696,1
0.11133,1
0.13851,1
0.1203,1
0.11754,1
0.096768,1
0.11669,1
0.13228,1
0.1108,1
0.11869,1
0.1086,1
0.10856,1
0.091802,1
0.098744,1
0.11373,1
0.11271,1
0.12308,1
0.12809,1
0.14163,1
0.11382,1
0.10899,1
0.1069,1
0.089651,1
0.074984,1
0.064283,1
0.068449,1
0.076374,1
0.062399,1
0.045035,1
0.037521,1
0.033844,1
0.025778,1
0.021441,1
0.022065,1
0.021613,1
0.014663,0
0.012639,0
0.022194,0
0.020252,0
0.016546,0
0.015574,0
0.01526,0
0.020967,0
0.028382,0
0.034445,0
0.02424,0
0.025144,0
0.030904,0
0.021644,0
0.026154,0
0.024137,0
0.025941,0
0.024586,0
0.037856,0
0.025123,0
0.027349,0
0.021502,0
0.027812,0
0.029281,0
0.028426,0
0.026193,1
0.026089,1
0.053777,1
0.064911,1
0.07874,1
0.094455,1
0.09765,1
0.090566,1
0.10189,1
0.098611,1
0.092254,1
0.099445,1
0.090608,1
0.089829,1
0.099387,1
0.093088,1
0.093507,1
0.10603,1
0.098331,1
0.10042,1
0.11984,1
0.10905,1
0.086379,1
0.093406,1
0.10621,1
0.11003,1
0.087112,1
0.089314,1
0.098802,1
0.091441,1
0.10199,1
0.11881,1
0.11673,1
0.099519,1
0.10942,1
0.11367,1
0.1064,1
0.11067,1
0.11201,1
0.1114,1
0.10362,1
0.10442,1
0.10082,1
0.10031,1
0.10065,1
0.10364,1
0.11029,1
0.088861,1
0.084094,1
0.097834,1
0.098555,1
0.10418,1
0.10159,1
0.10507,1
0.099936,1
0.089372,1
0.096412,1
0.097633,1
0.10354,1
0.11843,1
0.12357,1
0.11775,1
0.11941,1
0.087198,1
0.10496,1
0.12098,1
0.10979,1
0.11439,1
0.098148,1
0.086512,1
0.098607,1
0.10978,1
0.086863,1
0.079824,1
0.088981,1
0.093086,1
0.082929,1
0.086073,1
0.083895,1
0.09819,1
0.098849,1
0.093195,1
0.057502,1
0.049529,1
0.045333,1
0.054439,1
0.06103,1
0.031337,1
0.030274,1
0.042188,1
0.029964,1
0.036773,1
0.039515,1
0.030348,1
0.035873,1
0.0445,1
0.027828,1
0.026659,1
0.031753,1
0.022399,1
0.021705,1
0.02396,1
0.018463,1
0.051863,1
0.042435,1
0.038307,1
0.03334,1
0.035051,1
0.039125,1
0.033799,1
0.022218,1
0.022922,1
0.0326,1
0.021399,1
0.025555,0
0.018652,0
0.021748,0
0.017957,0
0.016843,0
0.014074,0
0.014579,0
0.020201,0
0.013439,0
0.014867,0
0.013112,0
0.010079,0
0.011402,0
0.013918,0
0.014831,0
0.018962,0
0.017049,0
0.0147,0
0.015349,0
0.021421,0
0.022196,0
0.01938,0
0.015021,0
0.011132,0
0.014413,0
0.017243,0
0.016058,0
0.016637,0
0.023924,0
0.019982,0
0.021298,0
0.020463,0
0.033322,0
0.026366,0
0.026088,0
0.036335,0
0.024501,0
0.022263,0
0.024319,0
0.022591,0
0.032781,0
0.022082,0
0.025485,0
0.017104,0
0.026131,0
0.018979,0
0.021872,0
0.028615,0
0.030667,0
0.026741,0
0.022931,0
0.027719,0
0.029639,0
0.031439,0
0.025542,0
0.023346,0
0.021247,0
0.016367,0
0.028103,0
0.025929,0
0.024611,0
0.02483,0
0.030546,0
0.030938,0
0.034875,0
0.026047,0
0.025289,0
0.02135,0
0.02463,0
0.027137,0
0.023033,0
0.020297,0
0.017095,0
0.021307,0
0.02351,0
0.038398,0
0.026706,0
0.020709,0
0.019039,0
0.032494,0
0.034396,0
0.028278,0
0.026808,0
0.037687,0
0.032175,0
0.033827,0
0.033146,0
0.036401,0
0.032897,0
0.02927,0
0.01854,0
0.023659,0
0.02017,0
0.025628,0
0.024438,0
0.034785,0
0.026459,0
0.019926,0
0.038867,0
0.027874,0
0.025273,0
0.023038,0
0.016881,0
0.01899,0
0.028166,0
0.029503,0
0.014712,0
0.02059,0
0.022705,0
0.022512,0
0.019929,0
0.02157,0
0.01914,0
0.014572,0
0.023345,0
0.014508,0
0.025698,0
0.028928,0
0.022441,0
0.022856,0
0.020889,0
0.027445,0
0.022916,0
0.019146,0
0.027486,0
0.024,0
0.022452,0
0.020665,0
0.014232,0
0.017663,0
0.015758,0
0.022077,0
0.02751,0
0.018633,0
0.021257,0
0.027821,0
0.0273,0
0.020672,0
0.017781,0
0.02097,0
0.020224,0
0.023574,0
0.024652,0
0.016047,0
0.020734,0
0.025192,0
0.023945,0
0.019647,0
0.017469,0
0.022787,0
0.023155,0
0.03333,0
0.025486,0
0.025242,0
0.025345,0
0.023189,0
0.030742,0
0.031758,0
0.024737,0
0.032719,0
0.025481,0
0.028963,0
0.033638,0
0.025968,0
0.025183,0
0.021412,0
0.02397,0
0.021646,0
0.038232,0
0.038016,0
0.024798,0
0.027571,0
0.032905,1
0.024066,1
0.039923,1
0.032121,1
0.030266,1
0.031588,1
0.04473,1
0.061974,1
0.063747,1
0.062149,1
0.066361,1
0.060802,1
0.068744,1
0.060773,1
0.059684,1
0.057716,1
0.041853,1
0.045215,1
0.034559,1
0.035266,1
0.039651,1
0.043545,1
0.040551,1
0.033655,1
0.041851,1
0.031399,1
0.026862,1
0.02677,1
0.031584,1
0.031916,1
0.033754,1
0.022381,1
0.022799,1
0.026819,1
0.022764,1
0.031929,1
0.031774,1
0.032431,1
0.027318,1
0.032052,1
0.028667,1
0.030287,1
0.032638,1
0.037631,1
0.041405,1
0.04012,1
0.035468,1
0.029727,1
0.032059,1
0.034208,1
0.064376,1
0.061555,1
0.058368,1
0.063298,1
0.086384,1
0.070891,1
0.080217,1
0.083978,1
0.082346,1
0.093249,1
0.10328,1
0.087464,1
0.08672,1
0.083413,1
0.070429,1
0.067607,1
0.075755,1
0.073485,1
0.054302,1
0.070555,1
0.071352,1
0.063252,1
0.073034,1
0.077276,1
0.064525,1
0.055835,1
0.053078,1
0.061744,1
0.052932,1
0.057397,1
0.054779,1
0.074819,1
0.07553,1
0.073097,1
0.070569,1
0.072574,1
0.058723,1
0.054696,1
0.067199,1
0.06829,1
0.075962,1
0.092938,1
0.086139,1
0.081477,1
0.076265,1
0.074863,1
0.067231,1
0.057771,1
0.049417,1
0.059694,1
0.066976,1
0.055976,1
0.061274,1
0.046633,1
0.055649,1
0.06096,1
0.060308,1
0.066068,1
0.064072,1
0.056333,1
0.054013,1
0.058536,1
0.077664,1
0.063882,1
0.052337,1
0.056391,1
0.052734,1
0.04676,1
0.032586,1
0.03056,1
0.030925,1
0.027185,0
0.045729,0
0.043262,0
0.039479,0
0.026339,0
0.03717,0
0.033052,0
0.026894,0
0.03017,0
0.028663,0
0.033227,0
0.029814,0
0.023354,0
0.026967,0
0.029331,0
0.021181,0
0.027599,0
0.022521,0
0.025701,0
0.021701,0
0.022415,0
0.021148,0
0.028257,0
0.021398,0
0.017245,0
0.023311,0
0.020803,0
0.025842,0
0.022563,0
0.025646,0
0.036298,0
0.034529,0
0.032113,0
0.035605,0
0.029211,0
0.032257,0
0.038284,0
0.0311,0
0.026958,0
0.018728,0
0.02662,0
0.033165,0
0.022324,0
0.034934,0
0.027162,0
0.020707,0
0.040506,0
0.030699,0
0.028978,0
0.027424,0
0.034542,0
0.028471,1
0.031802,1
0.042458,1
0.061564,1
0.04321,1
0.042276,1
0.031482,1
0.044887,1
0.084513,1
0.10912,1
0.079025,1
0.04798,1
0.036442,1
0.031741,1
0.041394,1
0.025798,1
0.032378,1
0.02671,0
0.023871,0
0.024463,0
0.02913,0
0.028241,0
0.025569,0
0.028803,0
0.032894,0
0.034454,0
0.034847,0
0.029332,0
0.028944,0
0.035348,0
0.035994,0
0.022894,0
0.034297,0
0.026487,0
0.027137,0
0.030703,0
0.032171,0
0.033696,0
0.033052,0
0.03333,0
0.021067,0
0.031522,0
0.025273,0
0.023866,0
0.02567,0
0.026144,0
0.021099,0
0.021485,0
0.0165,0
0.018415,0
0.023709,0
0.024606,0
0.020811,0
0.022036,0
0.020735,0
0.014735,0
0.018179,0
0.020116,0
0.022953,0
0.018755,0
0.022429,0
0.020144,0
0.021222,0
0.016134,0
0.020536,0
0.025457,0
0.018469,0
0.024995,0
0.025539,0
0.026152,0
0.017578,0
0.02787,0
0.013868,0
0.020492,0
0.023177,0
0.017981,0
0.032177,0
0.027074,0
0.025148,0
0.025271,0
0.030665,0
0.019588,0
0.020009,0
0.027351,0
0.028709,0
0.017059,0
0.028341,0
0.019589,0
0.017603,0
0.01637,0
0.016886,0
0.020552,0
0.020523,0
0.029377,0
0.017878,0
0.018567,0
0.027145,0
0.018748,0
0.021623,0
0.022721,0
0.026915,0
0.02737,0
0.031092,0
0.030037,0
0.040839,0
0.034936,0
0.029794,0
0.02625,0
0.033046,0
0.032774,0
0.018369,0
0.023162,0
0.020631,0
0.023076,0
0.01692,0
0.01773,0
0.01201,0
0.025502,0
0.015836,0
0.019314,0
0.018201,0
0.025382,0
0.019037,0
0.018532,0
0.015351,0
0.020981,0
0.010887,0
0.013577,0
0.024247,0
0.018478,0
0.024482,0
0.026339,0
0.023138,0
0.023398,0
0.027226,0
0.024397,0
0.026621,0
0.027724,0
0.024704,1
0.025517,1
0.026351,1
0.029159,1
0.026281,1
0.019879,1
0.031174,1
0.025221,1
0.03807,1
0.019654,1
0.033384,1
0.024386,1
0.024196,1
0.023711,1
0.021629,1
0.025988,1
0.017233,1
0.015402,1
0.025533,1
0.021303,1
0.017395,1
0.022919,1
0.027736,1
0.023846,0
0.01777,0
0.019428,0
0.022412,0
0.023645,0
0.019073,0
0.014452,0
0.015118,0
0.023354,0
0.018374,0
0.024619,0
0.021777,0
0.027886,0
0.025343,0
0.02275,0
0.017696,0
0.024079,0
0.033025,0
0.009625,0
0.008001,0
0.011344,0
0.015885,0
0.014016,1
0.013379,1
0.032305,1
0.047789,1
0.089641,1
0.097554,1
0.1034,1
0.10856,1
0.13543,1
0.13344,1
0.14232,1
0.14402,1
0.14184,1
0.16525,1
0.15104,1
0.17032,1
0.14288,1
0.15702,1
0.15092,1
0.13307,1
0.12396,1
0.11746,1
0.13871,1
0.11798,1
0.1427,1
0.13562,1
0.1205,1
0.11876,1
0.1285,1
0.13338,1
0.11475,1
0.12107,1
0.12179,1
0.12692,1
0.12004,1
0.11738,1
0.1358,1
0.11157,1
0.12385,1
0.13633,1
0.14499,1
0.13641,1
0.14391,1
0.11849,1
0.096462,1
0.074687,1
0.075805,1
0.084974,1
0.070164,1
0.057807,1
0.043495,1
0.039271,1
0.024318,1
0.020344,1
0.01437,1
0.014295,1
0.01167,1
0.010619,0
0.011201,0
0.009711,0
0.010213,0
0.010655,0
0.010937,0
0.01202,0
0.011846,0
0.016823,0
0.014159,0
0.014167,0
0.01604,0
0.010695,0
0.013161,0
0.012351,0
0.014524,0
0.013203,0
0.015126,0
0.012077,0
0.007828,0
0.01134,0
0.007871,0
0.00812,0
0.009442,0
0.010758,0
0.012609,1
0.023468,1
0.064166,1
0.072618,1
0.084038,1
0.1009,1
0.10617,1
0.10129,1
0.10063,1
0.11073,1
0.090207,1
0.10657,1
0.10413,1
0.1118,1
0.11229,1
0.10286,1
0.10805,1
0.11043,1
0.10707,1
0.10737,1
0.11408,1
0.10788,1
0.10137,1
0.10138,1
0.10837,1
0.10937,1
0.10766,1
0.097364,1
0.094266,1
0.099324,1
0.11184,1
0.11308,1
0.12662,1
0.11208,1
0.11613,1
0.11253,1
0.12208,1
0.11042,1
0.10946,1
0.10499,1
0.10936,1
0.11882,1
0.10567,1
0.12348,1
0.12006,1
0.12229,1
0.11332,1
0.10674,1
0.10979,1
0.10984,1
0.1143,1
0.11835,1
0.11165,1
0.11843,1
0.12307,1
0.11347,1
0.11514,1
0.10942,1
0.1123,1
0.10922,1
0.12305,1
0.12943,1
0.11668,1
0.084926,1
0.11893,1
0.12479,1
0.11103,1
0.10398,1
0.093813,1
0.094378,1
0.086323,1
0.095586,1
0.087469,1
0.084438,1
0.096526,1
0.096105,1
0.0947,1
0.097589,1
0.10048,1
0.10475,1
0.098377,1
0.10073,1
0.089892,1
0.10598,1
0.096193,1
0.10393,1
0.095647,1
0.091487,1
0.082339,1
0.083668,1
0.075372,1
0.083631,1
0.070665,1
0.055891,1
0.056269,1
0.031414,1
0.029276,1
0.015228,1
0.016768,1
0.020822,1
0.019209,1
0.015944,1
0.023349,1
0.01503,1
0.024793,1
0.020582,1
0.026841,1
0.022243,1
0.008729,1
0.008982,1
0.013988,1
0.008918,1
0.012197,1
0.00913,1
0.01271,0
0.009204,0
0.0139,0
0.010449,0
0.010457,0
0.014739,0
0.011964,0
0.008992,0
0.011929,0
0.00991,0
0.007503,0
0.010001,0
0.011569,0
0.011452,0
0.011535,0
0.010649,0
0.011945,0
0.011848,0
0.012558,0
0.012453,0
0.008792,0
