@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
0,0,0
0,0,0
9.3537,882.86,0
0,21.533,0
0,646,1
190.41,538.33,1
961.64,344.53,1
1687.1,301.46,1
1570.2,1119.7,1
1810.6,1119.7,1
2538.5,193.8,1
2935.4,172.27,1
3399.7,301.46,1
3820.8,301.46,1
3609.9,301.46,1
3880.5,323,1
3937.7,387.6,1
4244.7,366.06,1
4841.1,366.06,1
4139,387.6,1
4449.2,366.06,1
3900.6,366.06,1
3122.3,323,1
2617.1,323,1
2627.6,323,1
2668.6,323,1
2910,323,1
2401.9,323,1
2715.8,344.53,1
2714,344.53,1
2760.2,344.53,1
3303.1,344.53,1
3187.7,366.06,1
2995.6,344.53,1
2896.4,366.06,1
3166.1,366.06,1
3502,366.06,1
4065.3,366.06,1
4396.3,366.06,1
4097.2,366.06,1
4081.5,366.06,1
3788.1,366.06,1
3836.4,366.06,1
3705.2,366.06,1
3395.6,366.06,1
3742.9,366.06,1
3641.3,366.06,1
3309.6,366.06,1
3216.5,366.06,1
3249.7,366.06,1
3528.3,366.06,1
3582.3,387.6,1
2720.5,387.6,1
2284.9,387.6,1
1328.1,387.6,1
1451.5,366.06,1
488.08,301.46,1
318.76,323,1
295.84,0,1
361.25,172.27,1
192.53,193.8,1
115.15,86.133,0
41.352,0,0
145.98,279.93,0
248.63,279.93,0
15.035,0,0
352.63,193.8,0
1111.7,387.6,0
1777.1,387.6,0
2514.9,387.6,0
2643.8,409.13,0
2804.4,409.13,0
2967.1,409.13,0
3109.3,387.6,0
3150.7,387.6,0
1954.3,387.6,0
2110.2,366.06,0
2538.1,366.06,0
1543.6,86.133,0
2035.1,279.93,0
2097.7,258.4,0
1644.5,366.06,0
821.61,344.53,0
573.89,387.6,0
703.03,387.6,0
401.43,279.93,0
323.16,236.87,1
893.88,409.13,1
951.99,344.53,1
1762,344.53,1
2009.4,344.53,1
1826.9,344.53,1
2606.1,366.06,1
2842,366.06,1
2950.9,366.06,1
2569.9,366.06,1
2145.1,366.06,1
2003.2,366.06,1
