@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3,5-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy_min numeric
@attribute class {0,1}

@data
0,0,0
0,0,0
9.3537,-0.001036,0
0,0,0
0,-0.026067,1
190.41,-0.18883,1
961.64,-0.26736,1
1687.1,-0.27003,1
1570.2,-0.30258,1
1810.6,-0.23127,1
2538.5,-0.18063,1
2935.4,-0.14886,1
3399.7,-0.22883,1
3820.8,-0.21676,1
3609.9,-0.12991,1
3880.5,0,1
3937.7,-0.16229,1
4244.7,-0.11359,1
4841.1,-0.20869,1
4139,-0.13942,1
4449.2,-0.43163,1
3900.6,-0.31993,1
3122.3,-0.32126,1
2617.1,-0.3489,1
2627.6,-0.39754,1
2668.6,-0.45041,1
2910,-0.35945,1
2401.9,-0.31573,1
2715.8,-0.43723,1
2714,-0.51902,1
2760.2,-0.51189,1
3303.1,-0.46308,1
3187.7,-0.384,1
2995.6,-0.4773,1
2896.4,-0.3915,1
3166.1,-0.45965,1
3502,-0.42344,1
4065.3,-0.43003,1
4396.3,-0.3841,1
4097.2,-0.42286,1
4081.5,-0.70947,1
3788.1,-0.57794,1
3836.4,-0.67105,1
3705.2,-0.53506,1
3395.6,-0.43478,1
3742.9,-0.58498,1
3641.3,-0.63905,1
3309.6,-0.78506,1
3216.5,-0.86795,1
3249.7,-0.95596,1
3528.3,-0.93232,1
3582.3,-1.1399,1
2720.5,-1.0869,1
2284.9,-1.0054,1
1328.1,-0.86892,1
1451.5,-0.77391,1
488.08,-0.12079,1
318.76,0,1
295.84,-0.096556,1
361.25,-0.33531,1
192.53,-0.39168,1
115.15,-0.41718,0
41.352,-0.39611,0
145.98,-0.67446,0
248.63,-0.7529,0
15.035,-0.41655,0
352.63,-0.71811,0
1111.7,-1.0418,0
1777.1,-1.2382,0
2514.9,-1.1676,0
2643.8,-1.1155,0
2804.4,-1.1562,0
2967.1,-1.1568,0
3109.3,-1.1121,0
3150.7,-1.0694,0
1954.3,-0.78755,0
2110.2,-0.84351,0
2538.1,-0.90807,0
1543.6,-0.77551,0
2035.1,-1.0023,0
2097.7,-0.87008,0
