@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
0,0,0
0.15759,215.33,0
5.9154,1205.9,0
21.998,172.27,0
24.071,172.27,1
0,0,1
1160.5,0,1
1670.4,0,1
1407.1,0,1
1598.3,0,1
1842.2,21.533,1
1952.5,21.533,1
2226.7,21.533,1
2375.4,43.066,1
2358.3,21.533,1
2597.1,21.533,1
2745.6,43.066,1
2886.2,43.066,1
3033.4,43.066,1
3725.3,43.066,1
3422.7,64.6,1
3511.9,64.6,1
3401.5,43.066,1
3054.1,43.066,1
2941.7,43.066,1
2857.4,43.066,1
2993.6,43.066,1
2809.4,43.066,1
2897,64.6,1
2921.1,64.6,1
3196,64.6,1
3245.7,64.6,1
3262.8,64.6,1
3208.2,86.133,1
3208.3,86.133,1
3284.9,86.133,1
3417.2,86.133,1
3494.2,86.133,1
3596.6,86.133,1
3678.7,86.133,1
3761.1,86.133,1
3772.8,86.133,1
3837.5,86.133,1
3925.1,86.133,1
3925.4,86.133,1
3952.4,86.133,1
3808,86.133,1
3530.5,86.133,1
3353.9,86.133,1
3356.7,86.133,1
3541.6,86.133,1
3855.5,107.67,1
3259.6,107.67,1
2710.1,107.67,1
1808.1,107.67,1
1567,86.133,1
501.32,43.066,1
85.688,0,1
7.1929,107.67,1
9.2935,86.133,1
13.358,107.67,1
0,86.133,0
10.662,107.67,0
10.671,64.6,0
15.07,0,0
15.997,0,0
23.348,0,0
30.255,215.33,0
36.757,1873.4,0
23.758,1894.9,0
0.55085,1765.7,0
35.624,172.27,0
35.419,1938,0
53.087,107.67,0
54.157,1981.1,0
37.883,1916.5,0
48.124,129.2,0
48.154,150.73,0
32.178,107.67,0
23.604,43.066,0
10.425,172.27,0
0,150.73,0
0,301.46,0
1.3852,21.533,0
23.648,172.27,0
43.8,409.13,0
44.562,452.2,1
844.92,430.66,1
1193.6,409.13,1
1654.7,387.6,1
1871.5,387.6,1
1940.3,387.6,1
2086.5,387.6,1
2266.3,409.13,1
2243.5,409.13,1
2310.1,409.13,1
2296,409.13,1
2304.9,409.13,1
2312.3,409.13,1
2327.7,409.13,1
2409.6,409.13,1
2365.9,409.13,1
2298.6,387.6,1
2312.5,409.13,1
2271.1,409.13,1
2287.3,387.6,1
2218.9,387.6,1
2275.9,387.6,1
2249.1,387.6,1
2111.7,366.06,1
2060.1,366.06,1
1960.6,366.06,1
1790.6,366.06,1
1745.5,366.06,1
1784.4,366.06,1
1782.6,366.06,1
1800.6,366.06,1
1843.4,366.06,1
1915.2,366.06,1
1999.4,366.06,1
2000.3,366.06,1
1993.5,366.06,1
2022.3,387.6,1
2032.8,387.6,1
2075.8,387.6,1
2146.4,387.6,1
2147.1,387.6,1
2195.4,387.6,1
2171.4,387.6,1
2135.3,366.06,1
1886,366.06,1
1697.2,366.06,1
1727.5,366.06,1
1831.2,366.06,1
1760.3,366.06,1
1709.3,366.06,1
1684,366.06,1
1682,366.06,1
1673.7,366.06,1
1724.2,366.06,1
1785.8,366.06,1
1794.3,366.06,1
1786.3,366.06,1
1882,366.06,1
1869.7,366.06,1
2011.3,366.06,1
2211.1,387.6,1
2361.6,387.6,1
2552.9,387.6,1
2565.8,387.6,1
2505.8,387.6,1
2469.7,387.6,1
2439.9,387.6,1
2551.8,409.13,1
2666.9,409.13,1
2794.7,409.13,1
2849.9,409.13,1
2778.6,409.13,1
2781.1,409.13,1
2776,409.13,1
2878.7,409.13,1
2834.4,409.13,1
2790.3,409.13,1
2726.3,387.6,1
2539.9,387.6,1
2486.8,387.6,1
2485.5,387.6,1
2548.9,387.6,1
2570.1,387.6,1
2308.7,387.6,1
2314.8,366.06,1
2165.2,366.06,1
1996.1,366.06,1
2025.5,344.53,1
1821.3,344.53,1
1859.7,710.6,1
1999.6,667.53,1
2108.4,646,1
1895,624.46,1
