@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4,6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
0,710.6,0
0.15759,925.93,0
5.9154,1916.5,0
21.998,882.86,0
24.071,882.86,1
0,538.33,1
1160.5,495.26,1
1670.4,452.2,1
1407.1,430.66,1
1598.3,430.66,1
1842.2,452.2,1
1952.5,452.2,1
2226.7,452.2,1
2375.4,473.73,1
2358.3,452.2,1
2597.1,452.2,1
2745.6,473.73,1
2886.2,473.73,1
3033.4,473.73,1
3725.3,473.73,1
3422.7,495.26,1
3511.9,495.26,1
3401.5,473.73,1
3054.1,473.73,1
2941.7,473.73,1
2857.4,473.73,1
2993.6,473.73,1
2809.4,473.73,1
2897,495.26,1
2921.1,495.26,1
3196,495.26,1
3245.7,495.26,1
3262.8,495.26,1
3208.2,516.8,1
3208.3,516.8,1
3284.9,516.8,1
3417.2,516.8,1
3494.2,516.8,1
3596.6,516.8,1
3678.7,516.8,1
3761.1,516.8,1
3772.8,516.8,1
3837.5,516.8,1
3925.1,516.8,1
3925.4,516.8,1
3952.4,516.8,1
3808,516.8,1
3530.5,516.8,1
3353.9,516.8,1
3356.7,516.8,1
3541.6,516.8,1
3855.5,538.33,1
3259.6,538.33,1
2710.1,538.33,1
1808.1,538.33,1
1567,516.8,1
501.32,473.73,1
85.688,430.66,1
7.1929,538.33,1
9.2935,516.8,1
13.358,538.33,1
0,516.8,0
10.662,538.33,0
10.671,495.26,0
15.07,258.4,0
15.997,129.2,0
23.348,86.133,0
30.255,301.46,0
36.757,1959.5,0
23.758,1981.1,0
0.55085,1851.9,0
35.624,258.4,0
35.419,2024.1,0
53.087,193.8,0
54.157,2067.2,0
37.883,2002.6,0
48.124,215.33,0
48.154,236.87,0
32.178,193.8,0
23.604,129.2,0
10.425,258.4,0
0,236.87,0
0,387.6,0
1.3852,107.67,0
23.648,258.4,0
43.8,495.26,0
44.562,538.33,1
844.92,516.8,1
1193.6,495.26,1
1654.7,473.73,1
1871.5,473.73,1
1940.3,473.73,1
2086.5,473.73,1
2266.3,495.26,1
2243.5,495.26,1
2310.1,495.26,1
2296,495.26,1
2304.9,495.26,1
2312.3,495.26,1
2327.7,495.26,1
2409.6,495.26,1
2365.9,495.26,1
2298.6,473.73,1
2312.5,495.26,1
2271.1,495.26,1
2287.3,473.73,1
2218.9,473.73,1
2275.9,473.73,1
2249.1,473.73,1
2111.7,452.2,1
2060.1,452.2,1
1960.6,452.2,1
1790.6,452.2,1
1745.5,452.2,1
1784.4,452.2,1
1782.6,452.2,1
1800.6,452.2,1
1843.4,452.2,1
1915.2,452.2,1
1999.4,452.2,1
2000.3,452.2,1
1993.5,452.2,1
2022.3,473.73,1
2032.8,473.73,1
2075.8,473.73,1
2146.4,473.73,1
2147.1,473.73,1
2195.4,473.73,1
2171.4,473.73,1
2135.3,452.2,1
1886,452.2,1
1697.2,452.2,1
1727.5,452.2,1
1831.2,452.2,1
1760.3,452.2,1
1709.3,452.2,1
1684,452.2,1
1682,452.2,1
1673.7,452.2,1
1724.2,452.2,1
1785.8,452.2,1
1794.3,452.2,1
1786.3,452.2,1
1882,452.2,1
1869.7,452.2,1
2011.3,452.2,1
2211.1,473.73,1
2361.6,473.73,1
2552.9,473.73,1
2565.8,473.73,1
2505.8,473.73,1
2469.7,473.73,1
2439.9,473.73,1
2551.8,495.26,1
2666.9,495.26,1
2794.7,495.26,1
2849.9,495.26,1
2778.6,495.26,1
2781.1,495.26,1
2776,495.26,1
2878.7,495.26,1
2834.4,495.26,1
2790.3,495.26,1
2726.3,473.73,1
2539.9,473.73,1
2486.8,473.73,1
2485.5,473.73,1
2548.9,473.73,1
2570.1,473.73,1
2308.7,473.73,1
2314.8,452.2,1
2165.2,452.2,1
1996.1,452.2,1
2025.5,430.66,1
1821.3,430.66,1
1859.7,796.73,1
1999.6,753.66,1
2108.4,732.13,1
1895,710.6,1
1149.7,689.06,1
1010.5,689.06,1
983.71,732.13,1
621.11,387.6,1
780.08,732.13,1
983.14,732.13,1
928.22,689.06,1
546.2,430.66,1
1116.1,710.6,1
944.98,710.6,1
680.03,452.2,1
899.25,538.33,1
712.49,495.26,1
602.45,495.26,1
261.37,495.26,1
0,473.73,1
0,409.13,1
11.775,430.66,1
37.024,430.66,1
55.854,452.2,1
40.459,452.2,1
24.833,473.73,0
21.947,473.73,0
32.332,473.73,0
42.127,473.73,0
45.873,2239.5,0
39.456,473.73,0
37.816,473.73,0
35.565,2002.6,0
30.738,2304.1,0
32.843,2304.1,0
29.594,2325.6,0
29.015,215.33,0
31.006,2174.9,0
33.428,1981.1,0
29.986,559.86,0
26.987,150.73,0
29.427,193.8,0
30.429,559.86,0
26.829,538.33,0
28.45,473.73,0
27.744,301.46,0
24.707,279.93,0
21.17,150.73,0
19.643,366.06,0
23.08,323,0
25.659,495.26,0
21.382,430.66,0
16.346,409.13,0
18.96,301.46,0
19.308,301.46,0
18.37,301.46,0
14.414,21.533,0
17.025,387.6,0
17.689,215.33,0
19.751,150.73,0
17.72,21.533,0
18.507,21.533,0
19.328,236.87,0
21.667,215.33,0
21.006,258.4,0
22.692,215.33,0
29.311,21.533,0
40.282,2368.7,0
32.772,2368.7,0
33.072,775.2,0
36.574,430.66,0
41.301,1485.8,0
39.165,1485.8,0
43.188,2411.7,0
50.521,1507.3,0
48.524,2304.1,0
39.071,2045.7,0
36.824,258.4,0
36.272,150.73,0
25.511,452.2,0
29.854,215.33,0
18.62,236.87,0
16.951,193.8,0
19.405,150.73,0
19.598,236.87,0
15.495,258.4,0
14.887,215.33,0
14.431,409.13,0
17.248,516.8,0
14.802,516.8,0
18.551,516.8,0
18.465,236.87,0
21.714,279.93,0
17.282,279.93,0
16.48,279.93,0
17.655,279.93,0
21.082,236.87,0
18.333,279.93,0
17.21,301.46,0
17.221,258.4,0
16.238,258.4,0
15.52,236.87,0
14.263,193.8,0
15.374,172.27,0
17.322,193.8,0
14.787,279.93,0
14.009,258.4,0
14.272,258.4,0
14.562,258.4,0
12.62,258.4,0
11.806,279.93,0
12.799,258.4,0
22.269,430.66,0
16.159,215.33,0
14.042,215.33,0
11.736,258.4,0
12.125,258.4,0
30.476,236.87,0
32.088,172.27,0
30.341,215.33,0
26.639,279.93,0
23.986,409.13,0
21.37,366.06,0
20.183,215.33,0
28.583,279.93,0
31.483,107.67,0
20.832,344.53,0
14.559,86.133,0
11.391,64.6,0
10.116,193.8,0
11.761,215.33,0
11.428,21.533,0
19.941,366.06,0
11.97,344.53,0
15.454,495.26,0
16.867,172.27,0
15.511,215.33,0
15.342,301.46,0
14.222,301.46,0
18.431,301.46,0
18.902,193.8,0
15.937,150.73,0
16.153,150.73,0
40.643,193.8,0
63.9,1464.3,0
63.245,2885.4,0
52.784,236.87,0
45.324,236.87,0
32.104,172.27,0
26.081,236.87,0
31.809,258.4,0
64.454,3940.6,0
57.788,2907,0
48.472,150.73,0
50.296,172.27,0
52.214,172.27,0
45.485,1141.3,0
58.163,193.8,0
54.9,107.67,0
53.74,150.73,0
39.085,193.8,0
38.665,193.8,0
48.535,21.533,0
62.367,925.93,0
72.271,839.79,0
73.742,2454.8,0
73.851,1916.5,0
75.433,2325.6,0
83.882,1938,0
80.607,2347.1,0
85.652,2454.8,0
83.92,2196.4,0
78.944,495.26,0
73.833,2067.2,0
68.124,301.46,0
60.467,323,0
50.844,516.8,0
46.467,193.8,0
42.357,473.73,0
41.351,21.533,0
40.966,430.66,0
60.309,409.13,0
67.58,1916.5,0
64.494,2067.2,0
73.444,301.46,0
72.729,301.46,0
67.737,236.87,0
90.667,8075,0
52.01,366.06,0
76.397,150.73,0
67.414,2067.2,0
56.944,172.27,0
40.418,172.27,0
36.988,64.6,0
37.333,64.6,0
39.643,64.6,0
42.625,21.533,0
130.49,667.53,1
831.48,710.6,1
656.35,775.2,1
649.94,559.86,1
1196.3,646,1
1530.1,710.6,1
1049.8,409.13,1
1123.2,430.66,1
1116,452.2,1
1312.5,452.2,1
1300.4,452.2,1
1294.1,452.2,1
1171.3,452.2,1
1007.5,452.2,1
912.21,430.66,1
786.47,430.66,1
765.47,409.13,1
767.42,409.13,1
725.05,753.66,1
659.55,732.13,1
803.11,689.06,1
798.85,667.53,1
974.99,646,1
889.44,624.46,1
738.39,581.4,1
531.77,538.33,1
455.33,495.26,1
368.08,473.73,1
355.37,473.73,1
357.94,473.73,1
344.64,473.73,1
645.58,473.73,1
586.41,452.2,1
426.67,473.73,1
467.23,473.73,1
411.41,495.26,1
407.47,495.26,1
389.6,495.26,1
414.74,495.26,1
427.35,495.26,1
407.26,516.8,1
