@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,4-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy numeric
@attribute class {0,1}

@data
0,5.2854,0
0.15759,5.2594,0
5.9154,5.3065,0
21.998,5.4885,0
24.071,5.5117,1
0,5.2883,1
1160.5,4.7392,1
1670.4,4.759,1
1407.1,4.5461,1
1598.3,4.6393,1
1842.2,4.8211,1
1952.5,4.6152,1
2226.7,4.3435,1
2375.4,4.5463,1
2358.3,4.637,1
2597.1,4.7844,1
2745.6,4.518,1
2886.2,4.6711,1
3033.4,4.7898,1
3725.3,4.658,1
3422.7,4.3657,1
3511.9,4.457,1
3401.5,4.4561,1
3054.1,4.4385,1
2941.7,4.3903,1
2857.4,4.3383,1
2993.6,4.4427,1
2809.4,4.5054,1
2897,4.3734,1
2921.1,4.2427,1
3196,4.3726,1
3245.7,4.2772,1
3262.8,4.332,1
3208.2,4.3417,1
3208.3,4.4547,1
3284.9,4.394,1
3417.2,4.2068,1
3494.2,4.186,1
3596.6,4.206,1
3678.7,4.1119,1
3761.1,4.1733,1
3772.8,4.0683,1
3837.5,4.0698,1
3925.1,4.1639,1
3925.4,4.1979,1
3952.4,4.1153,1
3808,3.9727,1
3530.5,3.8876,1
3353.9,3.8163,1
3356.7,3.8153,1
3541.6,3.707,1
3855.5,3.5803,1
3259.6,3.6082,1
2710.1,3.8238,1
1808.1,3.9439,1
1567,4.0169,1
501.32,4.609,1
85.688,5.2066,1
7.1929,5.5821,1
9.2935,5.4706,1
13.358,5.3391,1
0,4.8904,0
10.662,5.0393,0
10.671,5.0413,0
15.07,5.2364,0
15.997,5.2043,0
23.348,5.3315,0
30.255,5.3726,0
36.757,5.4139,0
23.758,5.3216,0
0.55085,5.2756,0
35.624,5.4947,0
35.419,5.5056,0
53.087,5.5974,0
54.157,5.6045,0
37.883,5.4481,0
48.124,5.5428,0
48.154,5.564,0
32.178,5.4406,0
23.604,5.5286,0
10.425,5.404,0
0,5.3125,0
0,5.3636,0
1.3852,5.4497,0
23.648,5.4852,0
43.8,5.5506,0
44.562,5.4407,1
844.92,4.4832,1
1193.6,4.2961,1
1654.7,4.5453,1
1871.5,4.5873,1
1940.3,4.4656,1
2086.5,4.476,1
2266.3,4.6013,1
2243.5,4.4307,1
2310.1,4.4819,1
2296,4.4098,1
2304.9,4.4951,1
2312.3,4.4804,1
2327.7,4.422,1
2409.6,4.5704,1
2365.9,4.464,1
2298.6,4.434,1
2312.5,4.4973,1
2271.1,4.4008,1
2287.3,4.5523,1
2218.9,4.4563,1
2275.9,4.5984,1
2249.1,4.7653,1
2111.7,4.5053,1
2060.1,4.5778,1
1960.6,4.6164,1
1790.6,4.7082,1
1745.5,4.6883,1
1784.4,4.6731,1
1782.6,4.6545,1
1800.6,4.6404,1
1843.4,4.6716,1
1915.2,4.612,1
1999.4,4.5662,1
2000.3,4.5699,1
1993.5,4.5764,1
2022.3,4.5838,1
2032.8,4.472,1
2075.8,4.4937,1
2146.4,4.4884,1
2147.1,4.5165,1
2195.4,4.4116,1
2171.4,4.4455,1
2135.3,4.5813,1
1886,4.6712,1
1697.2,4.661,1
1727.5,4.5676,1
1831.2,4.5541,1
1760.3,4.512,1
1709.3,4.6393,1
1684,4.5755,1
1682,4.363,1
1673.7,4.3348,1
1724.2,4.1706,1
1785.8,4.2908,1
1794.3,4.3072,1
1786.3,4.1329,1
1882,4.1325,1
1869.7,4.0696,1
2011.3,4.1403,1
2211.1,4.0852,1
2361.6,4.2757,1
2552.9,4.3513,1
2565.8,4.5096,1
2505.8,4.0363,1
2469.7,4.0714,1
2439.9,4.1327,1
2551.8,4.1338,1
2666.9,4.1928,1
2794.7,4.1412,1
2849.9,4.2368,1
2778.6,4.2059,1
2781.1,4.3005,1
2776,4.2836,1
2878.7,4.3106,1
2834.4,4.2781,1
2790.3,4.3428,1
2726.3,4.3345,1
2539.9,4.1917,1
2486.8,4.1652,1
2485.5,4.325,1
2548.9,4.4136,1
2570.1,4.411,1
2308.7,4.1003,1
2314.8,4.2374,1
2165.2,4.3355,1
1996.1,4.3068,1
2025.5,4.2084,1
1821.3,4.4652,1
1859.7,4.3652,1
1999.6,4.32,1
2108.4,4.2261,1
1895,4.3082,1
1149.7,4.3928,1
1010.5,4.4876,1
983.71,4.5219,1
621.11,4.6122,1
780.08,4.7145,1
983.14,4.6123,1
928.22,4.5398,1
546.2,4.5428,1
1116.1,4.3201,1
944.98,4.293,1
680.03,4.3291,1
899.25,4.1903,1
712.49,3.9878,1
602.45,3.8042,1
261.37,3.604,1
0,4.6371,1
0,4.4872,1
11.775,4.5071,1
37.024,4.8589,1
55.854,5.2049,1
40.459,4.9431,1
24.833,4.6361,0
21.947,4.4768,0
32.332,4.8134,0
42.127,5.2624,0
45.873,5.4435,0
39.456,5.476,0
