@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
585.92,0,4.6796,0,732.13,0,0.44305,0,4,0,0
483.5,0,4.9382,0,150.73,0,0.42757,0,5,0,0
492.85,9.3537,4.9371,0.0010359,1033.6,882.86,0.51467,0.087094,3,2,0
327.3,0,5.0939,0,172.27,21.533,0.34298,0,4,1,0
245.88,0,5.0679,0.026067,796.73,646,0.29604,0,5,0,1
436.29,190.41,4.9051,0.18883,689.06,538.33,0.20134,0,4,1,1
1207.5,961.64,4.8266,0.26736,495.26,344.53,0.50464,0.3033,3,2,1
1933,1687.1,4.8239,0.27003,452.2,301.46,0.78074,0.5794,3,2,1
1816.1,1570.2,4.7914,0.30258,1270.5,1119.7,0.78074,0.5794,6,0,1
2056.5,1810.6,4.8627,0.23127,1270.5,1119.7,0.53054,0.3292,6,0,1
2784.4,2538.5,4.9133,0.18063,344.53,193.8,0.40829,0.20695,6,0,1
3181.2,2935.4,4.9451,0.14886,323,172.27,0.5511,0.34976,6,0,1
3645.6,3399.7,4.8651,0.22883,452.2,301.46,0.66486,0.46352,6,0,1
4066.7,3820.8,4.8772,0.21676,452.2,301.46,0.53393,0.33259,6,0,1
3855.8,3609.9,4.964,0.12991,452.2,301.46,0.72106,0.51972,6,0,1
4126.4,3880.5,5.1348,0,473.73,323,0.486,0.28466,6,0,1
4183.6,3937.7,4.9725,0.16229,538.33,387.6,0.67069,0.46935,6,0,1
4490.6,4244.7,5.0212,0.11359,516.8,366.06,0.80552,0.60418,6,0,1
5087,4841.1,4.9261,0.20869,516.8,366.06,1.0466,0.84527,6,0,1
4384.8,4139,4.9954,0.13942,538.33,387.6,1.1201,0.91881,7,0,1
4695.1,4449.2,4.7032,0.43163,516.8,366.06,1.1105,0.90914,8,0,1
4146.5,3900.6,4.8149,0.31993,516.8,366.06,1.0722,0.87089,8,0,1
3368.2,3122.3,4.8135,0.32126,473.73,323,1.2629,1.0615,7,1,1
2863,2617.1,4.7859,0.3489,473.73,323,1.3122,1.1108,7,1,1
2873.5,2627.6,4.7373,0.39754,473.73,323,1.3254,1.1241,7,1,1
2914.5,2668.6,4.6844,0.45041,473.73,323,1.3292,1.1278,6,2,1
3155.8,2910,4.7754,0.35945,473.73,323,1.3562,1.1548,7,1,1
2647.8,2401.9,4.8191,0.31573,473.73,323,1.4234,1.222,2,6,1
2961.7,2715.8,4.6976,0.43723,495.26,344.53,1.4878,1.2864,2,6,1
2959.9,2714,4.6158,0.51902,495.26,344.53,1.4869,1.2856,2,6,1
3006.1,2760.2,4.6229,0.51189,495.26,344.53,1.5236,1.3222,2,6,1
3549,3303.1,4.6717,0.46308,495.26,344.53,1.4698,1.2685,2,6,1
3433.6,3187.7,4.7508,0.384,516.8,366.06,1.4065,1.2051,2,6,1
3241.5,2995.6,4.6575,0.4773,495.26,344.53,1.365,1.1637,2,6,1
3142.3,2896.4,4.7433,0.3915,516.8,366.06,1.3115,1.1102,2,6,1
3412,3166.1,4.6752,0.45965,516.8,366.06,1.3403,1.139,2,6,1
3747.8,3502,4.7114,0.42344,516.8,366.06,1.2986,1.0972,2,6,1
4311.1,4065.3,4.7048,0.43003,516.8,366.06,1.2376,1.0363,2,6,1
4642.2,4396.3,4.7507,0.3841,516.8,366.06,1.145,0.94368,2,6,1
4343,4097.2,4.712,0.42286,516.8,366.06,1.3073,1.1059,2,6,1
4327.4,4081.5,4.4253,0.70947,516.8,366.06,1.5191,1.3178,2,6,1
4034,3788.1,4.5569,0.57794,516.8,366.06,1.4716,1.2702,2,6,1
4082.3,3836.4,4.4638,0.67105,516.8,366.06,1.547,1.3457,2,6,1
3951,3705.2,4.5998,0.53506,516.8,366.06,1.412,1.2107,2,6,1
3641.5,3395.6,4.7,0.43478,516.8,366.06,1.3186,1.1172,2,6,1
3988.8,3742.9,4.5498,0.58498,516.8,366.06,1.4666,1.2653,2,6,1
3887.2,3641.3,4.4958,0.63905,516.8,366.06,1.4907,1.2894,2,6,1
3555.5,3309.6,4.3497,0.78506,516.8,366.06,1.534,1.3327,2,6,1
3462.3,3216.5,4.2669,0.86795,516.8,366.06,1.5531,1.3517,2,6,1
3495.6,3249.7,4.1788,0.95596,516.8,366.06,1.5332,1.3318,2,6,1
3774.2,3528.3,4.2025,0.93232,516.8,366.06,1.4679,1.2666,2,6,1
3828.2,3582.3,3.9949,1.1399,538.33,387.6,1.5694,1.368,2,6,1
2966.4,2720.5,4.0479,1.0869,538.33,387.6,1.5467,1.3454,2,6,1
2530.8,2284.9,4.1294,1.0054,538.33,387.6,1.556,1.3546,2,6,1
1574,1328.1,4.2659,0.86892,538.33,387.6,1.3828,1.1814,2,6,1
1697.4,1451.5,4.3609,0.77391,516.8,366.06,1.5556,1.3543,2,6,1
733.96,488.08,5.014,0.12079,452.2,301.46,1.2571,1.0558,2,6,1
564.64,318.76,5.2233,0,473.73,323,0.59817,0.39683,3,5,1
541.72,295.84,5.1267,0.096556,150.73,0,0.2304,0.02906,4,4,1
607.13,361.25,4.8879,0.33531,323,172.27,0.40154,0.2002,1,7,1
438.41,192.53,4.8316,0.39168,344.53,193.8,0.42738,0.22604,5,3,1
361.03,115.15,4.8061,0.41718,236.87,86.133,0.046681,0,8,0,0
