@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
585.92,0,4.6796,0,732.13,0,0.026362,0,121,0,0
483.5,0,4.9382,0.25858,150.73,0,0.025511,0,68,0,0
492.85,9.3537,4.9371,0.25754,1033.6,882.86,0.024793,0,125,57,0
327.3,0,5.0939,0.41433,172.27,21.533,0.020657,0,14,0,0
245.88,0,5.0679,0.38826,796.73,646,0.021712,0.0010544,20,6,1
436.29,190.41,4.9051,0.2255,689.06,538.33,0.019892,0,141,127,1
1207.5,961.64,4.8266,0.14697,495.26,344.53,0.026104,0.0062123,59,45,1
1933,1687.1,4.8239,0.1443,452.2,301.46,0.046163,0.026271,55,41,1
1816.1,1570.2,4.7914,0.11175,1270.5,1119.7,0.07571,0.055818,54,40,1
2056.5,1810.6,4.8627,0.18305,1270.5,1119.7,0.079864,0.059972,53,39,1
2784.4,2538.5,4.9133,0.23369,344.53,193.8,0.067755,0.047864,50,36,1
3181.2,2935.4,4.9451,0.26547,323,172.27,0.073765,0.053873,48,34,1
3645.6,3399.7,4.8651,0.1855,452.2,301.46,0.083505,0.063613,47,33,1
4066.7,3820.8,4.8772,0.19757,452.2,301.46,0.10162,0.081731,47,33,1
3855.8,3609.9,4.964,0.28442,452.2,301.46,0.10213,0.082239,49,35,1
4126.4,3880.5,5.1348,0.45521,473.73,323,0.089098,0.069206,47,33,1
4183.6,3937.7,4.9725,0.29291,538.33,387.6,0.089956,0.070065,45,31,1
4490.6,4244.7,5.0212,0.34162,516.8,366.06,0.1139,0.094013,47,33,1
5087,4841.1,4.9261,0.24651,516.8,366.06,0.10357,0.08368,45,31,1
4384.8,4139,4.9954,0.31579,538.33,387.6,0.14023,0.12034,43,29,1
4695.1,4449.2,4.7032,0.023575,516.8,366.06,0.11409,0.094194,42,28,1
4146.5,3900.6,4.8149,0.13527,516.8,366.06,0.13963,0.11974,42,28,1
3368.2,3122.3,4.8135,0.13394,473.73,323,0.13828,0.11839,43,29,1
2863,2617.1,4.7859,0.10631,473.73,323,0.12397,0.10408,44,30,1
2873.5,2627.6,4.7373,0.057662,473.73,323,0.11673,0.096838,44,30,1
2914.5,2668.6,4.6844,0.0047943,473.73,323,0.11043,0.090543,45,31,1
3155.8,2910,4.7754,0.09576,473.73,323,0.12696,0.10707,44,30,1
2647.8,2401.9,4.8191,0.13948,473.73,323,0.11133,0.091437,42,28,1
2961.7,2715.8,4.6976,0.017973,495.26,344.53,0.13851,0.11862,41,27,1
2959.9,2714,4.6158,0,495.26,344.53,0.1203,0.10041,40,26,1
3006.1,2760.2,4.6229,0.007133,495.26,344.53,0.11754,0.09765,39,25,1
3549,3303.1,4.6717,0.055938,495.26,344.53,0.096768,0.076876,39,25,1
3433.6,3187.7,4.7508,0.13502,516.8,366.06,0.11669,0.096795,130,116,1
3241.5,2995.6,4.6575,0.041721,495.26,344.53,0.13228,0.11239,38,24,1
3142.3,2896.4,4.7433,0.12752,516.8,366.06,0.1108,0.090908,38,24,1
3412,3166.1,4.6752,0.059372,516.8,366.06,0.11869,0.098801,37,23,1
