@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
585.92,0,4.6796,0,732.13,0,0
483.5,0,4.9382,0.25858,150.73,0,0
492.85,9.3537,4.9371,0.25754,1033.6,882.86,0
327.3,0,5.0939,0.41433,172.27,21.533,0
245.88,0,5.0679,0.38826,796.73,646,1
436.29,190.41,4.9051,0.2255,689.06,538.33,1
1207.5,961.64,4.8266,0.14697,495.26,344.53,1
1933,1687.1,4.8239,0.1443,452.2,301.46,1
1816.1,1570.2,4.7914,0.11175,1270.5,1119.7,1
2056.5,1810.6,4.8627,0.18305,1270.5,1119.7,1
2784.4,2538.5,4.9133,0.23369,344.53,193.8,1
3181.2,2935.4,4.9451,0.26547,323,172.27,1
3645.6,3399.7,4.8651,0.1855,452.2,301.46,1
4066.7,3820.8,4.8772,0.19757,452.2,301.46,1
3855.8,3609.9,4.964,0.28442,452.2,301.46,1
4126.4,3880.5,5.1348,0.45521,473.73,323,1
4183.6,3937.7,4.9725,0.29291,538.33,387.6,1
4490.6,4244.7,5.0212,0.34162,516.8,366.06,1
5087,4841.1,4.9261,0.24651,516.8,366.06,1
4384.8,4139,4.9954,0.31579,538.33,387.6,1
4695.1,4449.2,4.7032,0.023575,516.8,366.06,1
4146.5,3900.6,4.8149,0.13527,516.8,366.06,1
3368.2,3122.3,4.8135,0.13394,473.73,323,1
2863,2617.1,4.7859,0.10631,473.73,323,1
2873.5,2627.6,4.7373,0.057662,473.73,323,1
2914.5,2668.6,4.6844,0.0047943,473.73,323,1
3155.8,2910,4.7754,0.09576,473.73,323,1
2647.8,2401.9,4.8191,0.13948,473.73,323,1
2961.7,2715.8,4.6976,0.017973,495.26,344.53,1
2959.9,2714,4.6158,0,495.26,344.53,1
3006.1,2760.2,4.6229,0.007133,495.26,344.53,1
3549,3303.1,4.6717,0.055938,495.26,344.53,1
3433.6,3187.7,4.7508,0.13502,516.8,366.06,1
3241.5,2995.6,4.6575,0.041721,495.26,344.53,1
3142.3,2896.4,4.7433,0.12752,516.8,366.06,1
3412,3166.1,4.6752,0.059372,516.8,366.06,1
3747.8,3502,4.7114,0.09558,516.8,366.06,1
4311.1,4065.3,4.7048,0.08899,516.8,366.06,1
4642.2,4396.3,4.7507,0.13492,516.8,366.06,1
4343,4097.2,4.712,0.096161,516.8,366.06,1
4327.4,4081.5,4.4253,0,516.8,366.06,1
4034,3788.1,4.5569,0.13153,516.8,366.06,1
4082.3,3836.4,4.4638,0.038425,516.8,366.06,1
3951,3705.2,4.5998,0.17442,516.8,366.06,1
3641.5,3395.6,4.7,0.27469,516.8,366.06,1
3988.8,3742.9,4.5498,0.12449,516.8,366.06,1
3887.2,3641.3,4.4958,0.070427,516.8,366.06,1
3555.5,3309.6,4.3497,0,516.8,366.06,1
3462.3,3216.5,4.2669,0,516.8,366.06,1
3495.6,3249.7,4.1788,0,516.8,366.06,1
3774.2,3528.3,4.2025,0.023645,516.8,366.06,1
3828.2,3582.3,3.9949,0,538.33,387.6,1
2966.4,2720.5,4.0479,0.052994,538.33,387.6,1
2530.8,2284.9,4.1294,0.13449,538.33,387.6,1
1574,1328.1,4.2659,0.27094,538.33,387.6,1
1697.4,1451.5,4.3609,0.36596,516.8,366.06,1
733.96,488.08,5.014,1.0191,452.2,301.46,1
564.64,318.76,5.2233,1.2283,473.73,323,1
541.72,295.84,5.1267,1.1317,150.73,0,1
607.13,361.25,4.8879,0.89299,323,172.27,1
438.41,192.53,4.8316,0.83662,344.53,193.8,1
361.03,115.15,4.8061,0.81112,236.87,86.133,0
287.23,41.352,4.8271,0.8322,129.2,0,0
391.86,145.98,4.5488,0.55385,409.13,279.93,0
