@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.081504,0,0.051724,0,585.92,0,4.6796,0,732.13,0,0
0.079169,0,0.053539,0.0018149,483.5,0,4.9382,0.25858,150.73,0,0
0.068849,0,0.049909,0,492.85,9.3537,4.9371,0.25754,1033.6,882.86,0
0.061807,0,0.055354,0.0054446,327.3,0,5.0939,0.41433,172.27,21.533,0
0.058218,0,0.057169,0.0072595,245.88,0,5.0679,0.38826,796.73,646,1
0.075633,0.017416,0.049002,0,436.29,190.41,4.9051,0.2255,689.06,538.33,1
0.12815,0.069928,0.049909,0.00090744,1207.5,961.64,4.8266,0.14697,495.26,344.53,1
0.15689,0.098676,0.050817,0.0018149,1933,1687.1,4.8239,0.1443,452.2,301.46,1
0.16586,0.10764,0.053539,0.0045372,1816.1,1570.2,4.7914,0.11175,1270.5,1119.7,1
0.18717,0.12896,0.054446,0.0054446,2056.5,1810.6,4.8627,0.18305,1270.5,1119.7,1
0.20181,0.14359,0.050817,0.0018149,2784.4,2538.5,4.9133,0.23369,344.53,193.8,1
0.23932,0.1811,0.054446,0.0054446,3181.2,2935.4,4.9451,0.26547,323,172.27,1
0.29931,0.24109,0.049002,0,3645.6,3399.7,4.8651,0.1855,452.2,301.46,1
0.30055,0.24233,0.052632,0.0036298,4066.7,3820.8,4.8772,0.19757,452.2,301.46,1
0.28098,0.22276,0.058984,0.0099819,3855.8,3609.9,4.964,0.28442,452.2,301.46,1
0.29069,0.23247,0.051724,0.0027223,4126.4,3880.5,5.1348,0.45521,473.73,323,1
0.29038,0.23216,0.058076,0.0090744,4183.6,3937.7,4.9725,0.29291,538.33,387.6,1
0.28724,0.22902,0.071688,0.022686,4490.6,4244.7,5.0212,0.34162,516.8,366.06,1
0.30608,0.24786,0.067151,0.018149,5087,4841.1,4.9261,0.24651,516.8,366.06,1
0.35401,0.29579,0.051724,0.0027223,4384.8,4139,4.9954,0.31579,538.33,387.6,1
0.33203,0.27381,0.064428,0.015426,4695.1,4449.2,4.7032,0.023575,516.8,366.06,1
0.2992,0.24098,0.066243,0.017241,4146.5,3900.6,4.8149,0.13527,516.8,366.06,1
0.27709,0.21888,0.067151,0.018149,3368.2,3122.3,4.8135,0.13394,473.73,323,1
0.23863,0.18041,0.084392,0.03539,2863,2617.1,4.7859,0.10631,473.73,323,1
0.2512,0.19298,0.084392,0.03539,2873.5,2627.6,4.7373,0.057662,473.73,323,1
0.23779,0.17958,0.087114,0.038113,2914.5,2668.6,4.6844,0.0047943,473.73,323,1
0.24903,0.19081,0.07804,0.029038,3155.8,2910,4.7754,0.09576,473.73,323,1
0.26932,0.21111,0.060799,0.011797,2647.8,2401.9,4.8191,0.13948,473.73,323,1
0.27484,0.21662,0.055354,0.0063521,2961.7,2715.8,4.6976,0.017973,495.26,344.53,1
0.28645,0.22823,0.051724,0.0027223,2959.9,2714,4.6158,0,495.26,344.53,1
0.30957,0.25135,0.044465,0,3006.1,2760.2,4.6229,0.007133,495.26,344.53,1
0.32405,0.26583,0.03902,0,3549,3303.1,4.6717,0.055938,495.26,344.53,1
0.30848,0.25026,0.047187,0.008167,3433.6,3187.7,4.7508,0.13502,516.8,366.06,1
0.2892,0.23098,0.053539,0.014519,3241.5,2995.6,4.6575,0.041721,495.26,344.53,1
0.28383,0.22561,0.053539,0.014519,3142.3,2896.4,4.7433,0.12752,516.8,366.06,1
0.29929,0.24107,0.051724,0.012704,3412,3166.1,4.6752,0.059372,516.8,366.06,1
0.32561,0.26739,0.049002,0.0099819,3747.8,3502,4.7114,0.09558,516.8,366.06,1
0.34492,0.2867,0.046279,0.0072595,4311.1,4065.3,4.7048,0.08899,516.8,366.06,1
0.35366,0.29544,0.051724,0.012704,4642.2,4396.3,4.7507,0.13492,516.8,366.06,1
0.37946,0.32124,0.047187,0.008167,4343,4097.2,4.712,0.096161,516.8,366.06,1
