@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.081504,0,0.051724,0,585.92,0,4.6796,0,732.13,0,0.026362,0,121,0,0.44305,0,4,0,0
0.079169,0,0.053539,0.0018149,483.5,0,4.9382,0.25858,150.73,0,0.025511,0,68,0,0.42757,0,5,1,0
0.068849,0,0.049909,0,492.85,9.3537,4.9371,0.25754,1033.6,882.86,0.024793,0,125,57,0.51467,0.087094,3,0,0
0.061807,0,0.055354,0.0054446,327.3,0,5.0939,0.41433,172.27,21.533,0.020657,0,14,0,0.34298,0,4,1,0
0.058218,0,0.057169,0.0072595,245.88,0,5.0679,0.38826,796.73,646,0.021712,0.0010544,20,6,0.29604,0,5,2,1
0.075633,0.017416,0.049002,0,436.29,190.41,4.9051,0.2255,689.06,538.33,0.019892,0,141,127,0.20134,0,4,1,1
0.12815,0.069928,0.049909,0.00090744,1207.5,961.64,4.8266,0.14697,495.26,344.53,0.026104,0.0062123,59,45,0.50464,0.3033,3,0,1
0.15689,0.098676,0.050817,0.0018149,1933,1687.1,4.8239,0.1443,452.2,301.46,0.046163,0.026271,55,41,0.78074,0.5794,3,0,1
0.16586,0.10764,0.053539,0.0045372,1816.1,1570.2,4.7914,0.11175,1270.5,1119.7,0.07571,0.055818,54,40,0.78074,0.5794,6,3,1
0.18717,0.12896,0.054446,0.0054446,2056.5,1810.6,4.8627,0.18305,1270.5,1119.7,0.079864,0.059972,53,39,0.53054,0.3292,6,3,1
0.20181,0.14359,0.050817,0.0018149,2784.4,2538.5,4.9133,0.23369,344.53,193.8,0.067755,0.047864,50,36,0.40829,0.20695,6,3,1
