@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0,0.10254,0,0
0.0080354,0.0005254,0.098004,0,0
0.0087752,0.0012652,0.097096,0,0
0.010187,0.002677,0.12976,0.032668,0
0.010509,0.0029987,0.16515,0.068058,1
0.050137,0.042627,0.12432,0.027223,1
0.12549,0.11798,0.054446,0,1
0.16054,0.15303,0.043557,0,1
0.16062,0.15311,0.052632,0.0090744,1
0.17314,0.16563,0.056261,0.012704,1
0.1817,0.17419,0.059891,0.016334,1
0.19365,0.18614,0.069873,0.026316,1
0.21998,0.21247,0.083485,0.039927,1
0.22573,0.21822,0.092559,0.049002,1
0.2201,0.21259,0.092559,0.049002,1
0.23167,0.22416,0.087114,0.043557,1
0.25168,0.24417,0.087114,0.043557,1
0.25385,0.24634,0.10436,0.060799,1
0.264,0.25649,0.10799,0.064428,1
0.29419,0.28668,0.090744,0.047187,1
0.30447,0.29696,0.084392,0.040835,1
0.30349,0.29598,0.077132,0.033575,1
0.29497,0.28746,0.076225,0.032668,1
0.28445,0.27694,0.089837,0.046279,1
0.27865,0.27114,0.10073,0.057169,1
0.27298,0.26547,0.082577,0.03902,1
0.28062,0.27311,0.068058,0.024501,1
0.28573,0.27822,0.062613,0.019056,1
0.29361,0.2861,0.057169,0.013612,1
0.31875,0.31124,0.049909,0.0063521,1
0.33865,0.33114,0.029946,0,1
0.33978,0.33227,0.03176,0.0018149,1
0.32885,0.32134,0.043557,0.013612,1
0.31922,0.31171,0.044465,0.014519,1
0.31597,0.30846,0.047187,0.017241,1
0.32684,0.31933,0.049909,0.019964,1
0.35059,0.34308,0.045372,0.015426,1
0.36701,0.3595,0.043557,0.013612,1
0.37725,0.36974,0.044465,0.014519,1
0.38641,0.3789,0.046279,0.016334,1
0.3928,0.38529,0.046279,0.016334,1
0.406,0.39849,0.033575,0.0036298,1
0.41429,0.40678,0.024501,0,1
0.41087,0.40336,0.033575,0.0090744,1
0.40477,0.39726,0.043557,0.019056,1
0.41041,0.4029,0.045372,0.020871,1
0.4215,0.41399,0.039927,0.015426,1
0.42175,0.41424,0.029946,0.0054446,1
0.42117,0.41366,0.024501,0,1
0.43568,0.42817,0.029038,0.0045372,1
0.46602,0.45851,0.029946,0.0054446,1
0.48327,0.47576,0.025408,0.00090744,1
0.44598,0.43847,0.023593,0,1
0.36665,0.35914,0.022686,0,1
0.2962,0.28869,0.022686,0,1
0.22715,0.21964,0.021779,0,1
0.14123,0.13372,0.038113,0.016334,1
0.063988,0.056478,0.084392,0.062613,1
0.026371,0.018861,0.11525,0.093466,1
0.016541,0.0090308,0.096189,0.07441,1
0.014061,0.0065509,0.062613,0.040835,1
0.01402,0.0065101,0.045372,0.023593,0
0.011926,0.0044161,0.059891,0.038113,0
0.0076668,0.00015682,0.069873,0.048094,0
0.0063915,0,0.07804,0.056261,0
0.0078191,0.0014276,0.072595,0.050817,0
0.007924,0.0015325,0.058984,0.037205,0
0.0078277,0.0014362,0.087114,0.065336,0
0.0099073,0.0035158,0.10708,0.085299,0
0.015628,0.0092364,0.098911,0.077132,0
0.018007,0.011616,0.099819,0.07804,0
0.016253,0.0098613,0.11343,0.091652,0
0.014892,0.0085003,0.13067,0.10889,0
0.012268,0.0058762,0.14882,0.12704,0
0.010846,0.0044544,0.15789,0.13612,0
0.011069,0.004678,0.14519,0.12341,0
0.010501,0.0041098,0.12886,0.10708,0
0.0087814,0.0023899,0.1225,0.10073,0
0.0062901,0,0.12886,0.10708,0
0.004438,0,0.1216,0.099819,0
0.0038568,0,0.094374,0.072595,0
0.0030363,0,0.11434,0.092559,0
0.002228,0,0.10889,0.087114,0
0.0025667,0.00033878,0.11343,0.091652,0
0.0033937,0.0011657,0.12976,0.10799,0
0.0065183,0.0042903,0.13067,0.10889,0
0.024363,0.022135,0.11162,0.089837,1
0.11391,0.11168,0.050817,0.029038,1
0.16967,0.16744,0.032668,0.010889,1
0.19672,0.1945,0.039927,0.018149,1
0.21092,0.20869,0.044465,0.022686,1
0.21602,0.21379,0.046279,0.024501,1
0.22268,0.22045,0.046279,0.024501,1
0.23152,0.22929,0.04265,0.020871,1
0.24095,0.23873,0.04265,0.020871,1
0.24761,0.24539,0.049002,0.027223,1
0.25067,0.24844,0.052632,0.030853,1
0.24985,0.24763,0.046279,0.024501,1
0.24884,0.24662,0.040835,0.019056,1
0.24834,0.24612,0.041742,0.019964,1
0.25189,0.24966,0.04265,0.020871,1
0.2509,0.24867,0.04265,0.020871,1
0.24898,0.24675,0.04265,0.020871,1
0.24826,0.24603,0.040835,0.019056,1
0.24449,0.24227,0.047187,0.025408,1
0.24278,0.24055,0.056261,0.034483,1
0.24214,0.23991,0.067151,0.045372,1
0.23477,0.23254,0.064428,0.04265,1
0.22563,0.22341,0.060799,0.03902,1
0.21726,0.21503,0.062613,0.040835,1
0.2115,0.20927,0.065336,0.043557,1
0.20068,0.19845,0.073503,0.051724,1
0.18541,0.18318,0.071688,0.049909,1
0.18279,0.18056,0.07078,0.049002,1
0.18015,0.17793,0.07441,0.052632,1
0.18306,0.18083,0.07441,0.052632,1
0.18726,0.18503,0.072595,0.050817,1
0.19059,0.18837,0.075318,0.053539,1
0.19811,0.19588,0.068058,0.046279,1
0.20414,0.20191,0.059891,0.038113,1
0.20354,0.20131,0.059891,0.038113,1
0.2016,0.19937,0.058984,0.037205,1
0.20293,0.20071,0.063521,0.041742,1
