@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.45265,0,8,0,0
0.59141,0.13876,3,0,0
0.55676,0.10411,7,4,0
0.48503,0.032376,11,8,0
0.52677,0.074116,20,17,1
0.84675,0.3941,2,0,1
1.0195,0.56689,2,0,1
1.0426,0.58999,3,1,1
1.2993,0.84662,6,4,1
1.286,0.83336,6,4,1
1.1444,0.6918,6,4,1
1.3464,0.89374,6,4,1
1.4231,0.97049,6,4,1
1.357,0.90437,6,4,1
1.2939,0.84129,6,4,1
1.2429,0.79021,6,4,1
1.3676,0.91498,6,4,1
1.3086,0.856,6,4,1
1.2571,0.8044,6,4,1
1.3607,0.9081,7,5,1
1.3965,0.94384,7,5,1
1.3961,0.94346,7,5,1
1.4051,0.95245,7,5,1
1.4392,0.9865,7,5,1
1.4393,0.98663,7,5,1
1.4142,0.96155,7,5,1
1.4544,1.0017,7,5,1
1.518,1.0653,3,1,1
1.5364,1.0837,2,0,1
1.5587,1.1061,2,0,1
1.5852,1.1326,2,0,1
1.53,1.0773,2,0,1
1.4693,1.0166,2,0,1
1.4585,1.0059,2,0,1
1.414,0.96132,2,0,1
1.3841,0.93145,2,0,1
1.4741,1.0214,2,0,1
1.5245,1.0718,2,0,1
1.5479,1.0953,2,0,1
1.572,1.1194,2,0,1
1.575,1.1223,2,0,1
1.5859,1.1333,2,0,1
1.5848,1.1322,2,0,1
1.5538,1.1011,2,0,1
1.5299,1.0773,2,0,1
1.5449,1.0923,2,0,1
1.5816,1.129,2,0,1
1.6088,1.1562,2,0,1
1.6315,1.1788,2,0,1
1.6392,1.1866,2,0,1
1.5807,1.1281,2,0,1
1.6322,1.1796,2,0,1
1.6307,1.1781,2,0,1
1.6443,1.1917,2,0,1
1.4975,1.0449,2,0,1
1.671,1.2184,2,0,1
1.477,1.0243,2,0,1
1.2672,0.81455,2,0,1
0.65995,0.2073,7,5,1
0.58704,0.13439,7,5,1
0.87602,0.42336,3,1,1
1.3681,0.91545,2,0,0
1.3732,0.92053,2,0,0
0.44804,0,2,0,0
0.27167,0,6,4,0
0.082786,0,7,5,0
0.12904,0.046257,7,5,0
0.37188,0.28909,9,7,0
0.51064,0.42786,7,5,0
0.79791,0.71512,8,6,0
0.73194,0.64916,7,5,0
0.4826,0.39981,10,8,0
0.29651,0.21372,10,8,0
0.23949,0.15671,19,17,0
0.25398,0.1712,17,15,0
0.46305,0.38027,10,8,0
0.37036,0.28757,15,13,0
0.21116,0.12837,19,17,0
0.19363,0.11084,19,17,0
0.29624,0.21345,11,9,0
0.18042,0.097634,11,9,0
0.24098,0.1582,12,10,0
0.21411,0.13132,24,22,0
0.14244,0.05965,17,15,0
0.23946,0.15667,17,15,0
0.28883,0.20604,12,10,0
0.4615,0.37871,2,0,1
1.243,1.1602,2,0,1
1.4944,1.4117,2,0,1
1.5639,1.4811,2,0,1
1.5209,1.4382,2,0,1
1.488,1.4052,2,0,1
1.4528,1.37,9,7,1
1.4193,1.3365,8,6,1
1.4246,1.3419,2,0,1
1.4568,1.374,2,0,1
1.4839,1.4011,2,0,1
1.4896,1.4068,2,0,1
1.5091,1.4263,2,0,1
1.504,1.4213,2,0,1
1.5007,1.418,2,0,1
1.5109,1.4281,2,0,1
1.5475,1.4647,2,0,1
1.579,1.4963,2,0,1
1.5851,1.5023,2,0,1
1.563,1.4803,2,0,1
1.567,1.4842,3,1,1
1.5548,1.472,2,0,1
1.5111,1.4283,2,0,1
1.495,1.4122,2,0,1
1.5156,1.4328,3,1,1
1.4738,1.391,7,5,1
1.4037,1.3209,11,9,1
1.4073,1.3245,13,11,1
1.4034,1.3206,13,11,1
1.4017,1.3189,12,10,1
1.4243,1.3415,8,6,1
1.4254,1.3426,3,1,1
1.4667,1.384,3,1,1
1.4564,1.3736,4,2,1
1.4185,1.3357,3,1,1
1.3903,1.3075,4,2,1
1.4145,1.3317,4,2,1
1.4765,1.3937,2,0,1
1.4856,1.4028,2,0,1
1.4991,1.4163,2,0,1
1.4656,1.3828,2,0,1
1.4584,1.3756,5,3,1
1.444,1.3612,9,7,1
1.4106,1.3278,9,7,1
1.2956,1.2129,8,6,1
1.2175,1.1347,5,3,1
1.1821,1.0993,5,3,1
1.2098,1.127,5,3,1
1.1936,1.1108,5,3,1
1.1992,1.1165,5,3,1
1.2226,1.1398,5,3,1
1.2179,1.1352,5,3,1
1.2204,1.1376,5,3,1
1.2249,1.1421,6,4,1
1.2347,1.1519,5,3,1
1.3963,1.3136,8,6,1
1.4617,1.3789,8,6,1
1.5104,1.4276,8,6,1
1.5096,1.4269,8,6,1
1.495,1.4122,8,6,1
1.4642,1.3814,9,7,1
1.4348,1.352,9,7,1
1.514,1.4312,5,3,1
1.5597,1.4769,2,0,1
1.5367,1.454,9,7,1
1.5368,1.454,5,3,1
1.5687,1.4859,2,0,1
1.5821,1.4993,2,0,1
1.5701,1.4873,2,0,1
1.5675,1.4847,2,0,1
1.5706,1.4879,2,0,1
1.5701,1.4873,2,0,1
1.5661,1.4833,2,0,1
1.5555,1.4727,2,0,1
1.5628,1.4801,2,0,1
1.5506,1.4678,2,0,1
1.5204,1.4376,2,0,1
1.505,1.4222,2,0,1
1.5193,1.4365,2,0,1
1.502,1.4192,2,0,1
1.4488,1.366,2,0,1
1.3631,1.2803,3,1,1
1.3068,1.224,5,3,1
1.2969,1.2141,5,3,1
1.2975,1.2147,5,3,1
1.2862,1.2035,5,3,1
1.2461,1.1633,5,3,1
1.283,1.2002,4,2,1
1.2351,1.1523,4,2,1
1.3359,1.2532,3,1,1
1.4526,1.3698,3,1,1
1.5509,1.4681,3,1,1
1.4876,1.4048,3,1,1
1.4817,1.3989,3,1,1
1.4242,1.3414,3,1,1
1.3886,1.3058,3,1,1
1.0132,0.93037,3,1,1
0.41867,0.33588,3,1,1
0.57269,0.4899,3,1,1
0.52781,0.44503,3,1,1
0.49905,0.41626,3,1,1
0.78661,0.70382,3,1,1
0.5668,0.48402,3,1,1
0.65086,0.56808,3,1,1
0.80738,0.7246,2,0,1
1.1338,1.051,2,0,1
1.5058,1.423,2,0,1
1.6389,1.5561,2,0,1
1.0455,0.96268,2,0,1
1.3359,1.2531,2,0,1
1.4705,1.3877,2,0,1
1.3803,1.2975,2,0,1
1.3343,1.2515,2,0,1
1.5628,1.48,2,0,1
1.6432,1.5604,2,0,0
1.6478,1.565,2,0,0
1.5955,1.5127,2,0,0
1.0409,0.9581,3,1,0
0.27649,0.1937,8,6,0
0.37876,0.29598,9,7,0
0.45043,0.36764,10,8,0
0.33186,0.24908,10,8,0
0.38635,0.30356,12,10,0
0.35437,0.27159,9,7,0
0.28974,0.20695,10,8,0
0.20204,0.11925,10,8,0
0.20361,0.12083,24,22,0
0.23362,0.15084,21,19,0
0.2864,0.20361,17,15,0
