@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0,0.10254,0,0.0078659,0,139,0,0
0.0080354,0.0005254,0.098004,0,0.0097405,0.0018745,145,6,0
0.0087752,0.0012652,0.097096,0,0.0079613,9.5349e-05,154,15,0
0.010187,0.002677,0.12976,0.032668,0.014013,0.0061471,44,0,0
0.010509,0.0029987,0.16515,0.068058,0.012667,0.0048007,52,8,1
0.050137,0.042627,0.12432,0.027223,0.017985,0.010119,21,0,1
0.12549,0.11798,0.054446,0,0.028237,0.020371,126,105,1
0.16054,0.15303,0.043557,0,0.045281,0.037415,55,34,1
0.16062,0.15311,0.052632,0.0090744,0.10461,0.096744,54,33,1
0.17314,0.16563,0.056261,0.012704,0.1153,0.10743,53,32,1
0.1817,0.17419,0.059891,0.016334,0.11359,0.10573,51,30,1
0.19365,0.18614,0.069873,0.026316,0.13852,0.13066,48,27,1
0.21998,0.21247,0.083485,0.039927,0.18508,0.17721,47,26,1
0.22573,0.21822,0.092559,0.049002,0.16749,0.15962,47,26,1
0.2201,0.21259,0.092559,0.049002,0.17311,0.16525,49,28,1
0.23167,0.22416,0.087114,0.043557,0.16144,0.15358,47,26,1
0.25168,0.24417,0.087114,0.043557,0.16064,0.15277,45,24,1
0.25385,0.24634,0.10436,0.060799,0.19497,0.1871,47,26,1
0.264,0.25649,0.10799,0.064428,0.16592,0.15805,46,25,1
0.29419,0.28668,0.090744,0.047187,0.20131,0.19345,43,22,1
0.30447,0.29696,0.084392,0.040835,0.17541,0.16755,42,21,1
0.30349,0.29598,0.077132,0.033575,0.18867,0.18081,42,21,1
0.29497,0.28746,0.076225,0.032668,0.18161,0.17375,43,22,1
0.28445,0.27694,0.089837,0.046279,0.15937,0.1515,44,23,1
0.27865,0.27114,0.10073,0.057169,0.14636,0.13849,44,23,1
0.27298,0.26547,0.082577,0.03902,0.15135,0.14349,45,24,1
0.28062,0.27311,0.068058,0.024501,0.16524,0.15738,44,23,1
0.28573,0.27822,0.062613,0.019056,0.14317,0.13531,43,22,1
0.29361,0.2861,0.057169,0.013612,0.17145,0.16358,41,20,1
0.31875,0.31124,0.049909,0.0063521,0.1682,0.16034,40,19,1
0.33865,0.33114,0.029946,0,0.14129,0.13342,39,18,1
0.33978,0.33227,0.03176,0.0018149,0.13966,0.13179,39,18,1
0.32885,0.32134,0.043557,0.013612,0.15864,0.15077,130,109,1
0.31922,0.31171,0.044465,0.014519,0.15221,0.14434,38,17,1
0.31597,0.30846,0.047187,0.017241,0.13586,0.12799,38,17,1
0.32684,0.31933,0.049909,0.019964,0.14461,0.13674,37,16,1
0.35059,0.34308,0.045372,0.015426,0.14206,0.13419,127,106,1
0.36701,0.3595,0.043557,0.013612,0.14231,0.13444,36,15,1
0.37725,0.36974,0.044465,0.014519,0.15437,0.14651,36,15,1
0.38641,0.3789,0.046279,0.016334,0.14944,0.14157,124,103,1
0.3928,0.38529,0.046279,0.016334,0.15068,0.14282,35,14,1
0.406,0.39849,0.033575,0.0036298,0.14984,0.14198,35,14,1
0.41429,0.40678,0.024501,0,0.14998,0.14211,35,14,1
0.41087,0.40336,0.033575,0.0090744,0.15855,0.15069,36,15,1
0.40477,0.39726,0.043557,0.019056,0.18081,0.17295,36,15,1
0.41041,0.4029,0.045372,0.020871,0.1539,0.14604,36,15,1
0.4215,0.41399,0.039927,0.015426,0.16107,0.1532,37,16,1
0.42175,0.41424,0.029946,0.0054446,0.13408,0.12622,36,15,1
0.42117,0.41366,0.024501,0,0.11631,0.10845,37,16,1
0.43568,0.42817,0.029038,0.0045372,0.093891,0.086025,37,16,1
0.46602,0.45851,0.029946,0.0054446,0.099165,0.091299,34,13,1
0.48327,0.47576,0.025408,0.00090744,0.10263,0.094761,32,11,1
0.44598,0.43847,0.023593,0,0.084584,0.076718,31,10,1
0.36665,0.35914,0.022686,0,0.075704,0.067838,31,10,1
0.2962,0.28869,0.022686,0,0.065545,0.057679,34,13,1
0.22715,0.21964,0.021779,0,0.056928,0.049062,39,18,1
0.14123,0.13372,0.038113,0.016334,0.044509,0.036643,43,22,1
0.063988,0.056478,0.084392,0.062613,0.028521,0.020655,56,35,1
0.026371,0.018861,0.11525,0.093466,0.02195,0.014084,54,33,1
0.016541,0.0090308,0.096189,0.07441,0.01631,0.008444,38,17,1
0.014061,0.0065509,0.062613,0.040835,0.011768,0.0039018,115,94,1
0.01402,0.0065101,0.045372,0.023593,0.013908,0.006042,29,8,0
0.011926,0.0044161,0.059891,0.038113,0.013608,0.0057425,31,10,0
0.0076668,0.00015682,0.069873,0.048094,0.0088672,0.0010012,41,20,0
0.0063915,0,0.07804,0.056261,0.0032856,0,29,8,0
0.0078191,0.0014276,0.072595,0.050817,0.0066812,0.0033957,117,96,0
0.007924,0.0015325,0.058984,0.037205,0.0068464,0.0035609,38,17,0
0.0078277,0.0014362,0.087114,0.065336,0.007408,0.0041224,92,71,0
0.0099073,0.0035158,0.10708,0.085299,0.010099,0.0068133,21,0,0
0.015628,0.0092364,0.098911,0.077132,0.013898,0.010613,15,0,0
0.018007,0.011616,0.099819,0.07804,0.014317,0.011031,16,1,0
0.016253,0.0098613,0.11343,0.091652,0.012501,0.0092151,15,0,0
0.014892,0.0085003,0.13067,0.10889,0.011225,0.0079397,32,17,0
0.012268,0.0058762,0.14882,0.12704,0.010911,0.007625,41,26,0
0.010846,0.0044544,0.15789,0.13612,0.010537,0.0072515,4,0,0
0.011069,0.004678,0.14519,0.12341,0.014168,0.010882,58,54,0
0.010501,0.0041098,0.12886,0.10708,0.016143,0.012858,34,30,0
0.0087814,0.0023899,0.1225,0.10073,0.010786,0.0075008,20,16,0
0.0062901,0,0.12886,0.10708,0.0077365,0.0044509,31,27,0
0.004438,0,0.1216,0.099819,0.0050428,0.0017572,60,56,0
0.0038568,0,0.094374,0.072595,0.003457,0.00017143,137,133,0
0.0030363,0,0.11434,0.092559,0.0024863,0,134,130,0
0.002228,0,0.10889,0.087114,0.0019944,0,85,81,0
0.0025667,0.00033878,0.11343,0.091652,0.0016694,0,43,39,0
0.0033937,0.0011657,0.12976,0.10799,0.003069,0.0013996,141,137,0
0.0065183,0.0042903,0.13067,0.10889,0.0050425,0.0033731,34,30,0
0.024363,0.022135,0.11162,0.089837,0.0073867,0.0057173,30,26,1
0.11391,0.11168,0.050817,0.029038,0.030283,0.028613,42,38,1
0.16967,0.16744,0.032668,0.010889,0.08999,0.088321,42,38,1
0.19672,0.1945,0.039927,0.018149,0.087095,0.085425,43,39,1
0.21092,0.20869,0.044465,0.022686,0.10017,0.098501,44,40,1
0.21602,0.21379,0.046279,0.024501,0.1301,0.12843,44,40,1
0.22268,0.22045,0.046279,0.024501,0.1316,0.12993,42,38,1
0.23152,0.22929,0.04265,0.020871,0.12319,0.12152,41,37,1
0.24095,0.23873,0.04265,0.020871,0.12861,0.12694,41,37,1
0.24761,0.24539,0.049002,0.027223,0.13812,0.13645,41,37,1
0.25067,0.24844,0.052632,0.030853,0.11315,0.11148,41,37,1
0.24985,0.24763,0.046279,0.024501,0.12948,0.12781,42,38,1
0.24884,0.24662,0.040835,0.019056,0.12365,0.12199,42,38,1
0.24834,0.24612,0.041742,0.019964,0.13231,0.13065,42,38,1
0.25189,0.24966,0.04265,0.020871,0.13398,0.13231,42,38,1
0.2509,0.24867,0.04265,0.020871,0.12188,0.12021,137,133,1
0.24898,0.24675,0.04265,0.020871,0.13929,0.13762,138,134,1
0.24826,0.24603,0.040835,0.019056,0.12914,0.12747,137,133,1
0.24449,0.24227,0.047187,0.025408,0.13092,0.12925,136,132,1
0.24278,0.24055,0.056261,0.034483,0.13526,0.13359,42,38,1
0.24214,0.23991,0.067151,0.045372,0.14548,0.14381,43,39,1
0.23477,0.23254,0.064428,0.04265,0.13352,0.13185,44,40,1
0.22563,0.22341,0.060799,0.03902,0.11501,0.11334,46,42,1
0.21726,0.21503,0.062613,0.040835,0.1265,0.12483,147,143,1
0.2115,0.20927,0.065336,0.043557,0.13051,0.12884,48,44,1
0.20068,0.19845,0.073503,0.051724,0.12533,0.12366,48,44,1
0.18541,0.18318,0.071688,0.049909,0.12602,0.12435,49,45,1
0.18279,0.18056,0.07078,0.049002,0.1175,0.11583,49,45,1
0.18015,0.17793,0.07441,0.052632,0.11251,0.11084,50,46,1
0.18306,0.18083,0.07441,0.052632,0.12269,0.12102,50,46,1
0.18726,0.18503,0.072595,0.050817,0.13289,0.13122,49,45,1
0.19059,0.18837,0.075318,0.053539,0.13278,0.13111,49,45,1
0.19811,0.19588,0.068058,0.046279,0.14616,0.14449,48,44,1
0.20414,0.20191,0.059891,0.038113,0.12673,0.12506,47,43,1
0.20354,0.20131,0.059891,0.038113,0.13332,0.13165,48,44,1
