@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R8

@attribute energy numeric
@attribute energy_min numeric
@attribute zeroCrossingRate numeric
@attribute zeroCrossingRate_min numeric
@attribute cepstralMostDominantPeak numeric
@attribute cepstralMostDominantPeak_min numeric
@attribute cepstralLocPeak numeric
@attribute class {0,1}

@data
0.00751,0,0.10254,0,0.007866,0,139,0
0.008035,0.000525,0.098004,-0.004537,0.009741,0.001875,145,0
0.008775,0.001265,0.097096,-0.005445,0.007961,0.000095,154,0
0.010187,0.002677,0.12976,0,0.014013,0.006147,44,0
0.010509,0.002999,0.16515,0,0.012667,0.004801,52,1
0.050137,0.042627,0.12432,-0.040835,0.017985,0.010119,21,1
0.12549,0.11798,0.054446,-0.11071,0.028237,0.020371,126,1
0.16054,0.15303,0.043557,-0.1216,0.045281,0.037415,55,1
0.16062,0.15311,0.052632,-0.11252,0.10461,0.096744,54,1
0.17314,0.16563,0.056261,-0.10889,0.1153,0.10743,53,1
0.1817,0.17419,0.059891,-0.10526,0.11359,0.10573,51,1
0.19365,0.18614,0.069873,-0.095281,0.13852,0.13066,48,1
0.21998,0.21247,0.083485,-0.08167,0.18508,0.17721,47,1
0.22573,0.21822,0.092559,-0.072595,0.16749,0.15962,47,1
0.2201,0.21259,0.092559,-0.072595,0.17311,0.16525,49,1
0.23167,0.22416,0.087114,-0.07804,0.16144,0.15358,47,1
0.25168,0.24417,0.087114,-0.07804,0.16064,0.15277,45,1
0.25385,0.24634,0.10436,-0.060799,0.19497,0.1871,47,1
0.264,0.25649,0.10799,-0.057169,0.16592,0.15805,46,1
0.29419,0.28668,0.090744,-0.07441,0.20131,0.19345,43,1
0.30447,0.29696,0.084392,-0.080762,0.17541,0.16755,42,1
0.30349,0.29598,0.077132,-0.088022,0.18867,0.18081,42,1
0.29497,0.28746,0.076225,-0.088929,0.18161,0.17375,43,1
0.28445,0.27694,0.089837,-0.075318,0.15937,0.1515,44,1
0.27865,0.27114,0.10073,-0.064428,0.14636,0.13849,44,1
0.27298,0.26547,0.082577,-0.082577,0.15135,0.14349,45,1
0.28062,0.27311,0.068058,-0.097096,0.16524,0.15738,44,1
0.28573,0.27822,0.062613,-0.10254,0.14317,0.13531,43,1
0.29361,0.2861,0.057169,-0.10799,0.17145,0.16358,41,1
0.31875,0.31124,0.049909,-0.11525,0.1682,0.16034,40,1
0.33865,0.33114,0.029946,-0.13521,0.14129,0.13342,39,1
0.33978,0.33227,0.03176,-0.13339,0.13966,0.13179,39,1
0.32885,0.32134,0.043557,-0.1216,0.15864,0.15077,130,1
0.31922,0.31171,0.044465,-0.12069,0.15221,0.14434,38,1
0.31597,0.30846,0.047187,-0.11797,0.13586,0.12799,38,1
0.32684,0.31933,0.049909,-0.11525,0.14461,0.13674,37,1
0.35059,0.34308,0.045372,-0.11978,0.14206,0.13419,127,1
0.36701,0.3595,0.043557,-0.1216,0.14231,0.13444,36,1
0.37725,0.36974,0.044465,-0.12069,0.15437,0.14651,36,1
0.38641,0.3789,0.046279,-0.11887,0.14944,0.14157,124,1
0.3928,0.38529,0.046279,-0.11887,0.15068,0.14282,35,1
0.406,0.39849,0.033575,-0.13158,0.14984,0.14198,35,1
0.41429,0.40678,0.024501,-0.14065,0.14998,0.14211,35,1
0.41087,0.40336,0.033575,-0.13158,0.15855,0.15069,36,1
0.40477,0.39726,0.043557,-0.1216,0.18081,0.17295,36,1
0.41041,0.4029,0.045372,-0.11978,0.1539,0.14604,36,1
0.4215,0.41399,0.039927,-0.12523,0.16107,0.1532,37,1
0.42175,0.41424,0.029946,-0.13521,0.13408,0.12622,36,1
0.42117,0.41366,0.024501,-0.14065,0.11631,0.10845,37,1
0.43568,0.42817,0.029038,-0.13612,0.093891,0.086025,37,1
0.46602,0.45851,0.029946,-0.13521,0.099165,0.091299,34,1
0.48327,0.47576,0.025408,-0.13975,0.10263,0.094761,32,1
0.44598,0.43847,0.023593,-0.14156,0.084584,0.076718,31,1
0.36665,0.35914,0.022686,-0.14247,0.075704,0.067838,31,1
0.2962,0.28869,0.022686,-0.14247,0.065545,0.057679,34,1
0.22715,0.21964,0.021779,-0.14338,0.056928,0.049062,39,1
0.14123,0.13372,0.038113,-0.12704,0.044509,0.036643,43,1
0.063988,0.056478,0.084392,-0.080762,0.028521,0.020655,56,1
0.026371,0.018861,0.11525,-0.049909,0.02195,0.014084,54,1
0.016541,0.009031,0.096189,-0.068966,0.01631,0.008444,38,1
0.014061,0.006551,0.062613,-0.10254,0.011768,0.003902,115,1
0.01402,0.00651,0.045372,-0.11978,0.013908,0.006042,29,0
0.011926,0.004416,0.059891,-0.10526,0.013608,0.005743,31,0
0.007667,0.000157,0.069873,-0.095281,0.008867,0.001001,41,0
0.006392,0,0.07804,-0.087114,0.003286,0,29,0
0.007819,0.001428,0.072595,-0.092559,0.006681,0.003396,117,0
0.007924,0.001533,0.058984,-0.10617,0.006846,0.003561,38,0
0.007828,0.001436,0.087114,-0.07804,0.007408,0.004122,92,0
0.009907,0.003516,0.10708,-0.058076,0.010099,0.006813,21,0
0.015628,0.009236,0.098911,-0.066243,0.013898,0.010613,15,0
0.018007,0.011616,0.099819,-0.065336,0.014317,0.011031,16,0
0.016253,0.009861,0.11343,-0.051724,0.012501,0.009215,15,0
0.014892,0.0085,0.13067,-0.034483,0.011225,0.00794,32,0
0.012268,0.005876,0.14882,-0.016334,0.010911,0.007625,41,0
0.010846,0.004454,0.15789,-0.00726,0.010537,0.007252,4,0
0.011069,0.004678,0.14519,-0.019964,0.014168,0.010882,58,0
0.010501,0.00411,0.12886,-0.036298,0.016143,0.012858,34,0
0.008781,0.00239,0.1225,-0.04265,0.010786,0.007501,20,0
0.00629,0,0.12886,-0.036298,0.007737,0.004451,31,0
0.004438,0,0.1216,-0.043557,0.005043,0.001757,60,0
0.003857,0,0.094374,-0.07078,0.003457,0.000171,137,0
0.003036,0,0.11434,-0.050817,0.002486,0,134,0
0.002228,0,0.10889,-0.056261,0.001994,0,85,0
0.002567,0.000339,0.11343,-0.051724,0.001669,0,43,0
0.003394,0.001166,0.12976,-0.03539,0.003069,0.0014,141,0
0.006518,0.00429,0.13067,-0.034483,0.005043,0.003373,34,0
0.024363,0.022135,0.11162,-0.053539,0.007387,0.005717,30,1
0.11391,0.11168,0.050817,-0.11434,0.030283,0.028613,42,1
0.16967,0.16744,0.032668,-0.13249,0.08999,0.088321,42,1
0.19672,0.1945,0.039927,-0.12523,0.087095,0.085425,43,1
0.21092,0.20869,0.044465,-0.12069,0.10017,0.098501,44,1
0.21602,0.21379,0.046279,-0.11887,0.1301,0.12843,44,1
0.22268,0.22045,0.046279,-0.11887,0.1316,0.12993,42,1
0.23152,0.22929,0.04265,-0.1225,0.12319,0.12152,41,1
0.24095,0.23873,0.04265,-0.1225,0.12861,0.12694,41,1
0.24761,0.24539,0.049002,-0.11615,0.13812,0.13645,41,1
0.25067,0.24844,0.052632,-0.11252,0.11315,0.11148,41,1
0.24985,0.24763,0.046279,-0.11887,0.12948,0.12781,42,1
0.24884,0.24662,0.040835,-0.12432,0.12365,0.12199,42,1
0.24834,0.24612,0.041742,-0.12341,0.13231,0.13065,42,1
0.25189,0.24966,0.04265,-0.1225,0.13398,0.13231,42,1
0.2509,0.24867,0.04265,-0.1225,0.12188,0.12021,137,1
0.24898,0.24675,0.04265,-0.1225,0.13929,0.13762,138,1
0.24826,0.24603,0.040835,-0.12432,0.12914,0.12747,137,1
0.24449,0.24227,0.047187,-0.11797,0.13092,0.12925,136,1
0.24278,0.24055,0.056261,-0.10889,0.13526,0.13359,42,1
0.24214,0.23991,0.067151,-0.098004,0.14548,0.14381,43,1
0.23477,0.23254,0.064428,-0.10073,0.13352,0.13185,44,1
0.22563,0.22341,0.060799,-0.10436,0.11501,0.11334,46,1
0.21726,0.21503,0.062613,-0.10254,0.1265,0.12483,147,1
0.2115,0.20927,0.065336,-0.099819,0.13051,0.12884,48,1
0.20068,0.19845,0.073503,-0.091652,0.12533,0.12366,48,1
0.18541,0.18318,0.071688,-0.093466,0.12602,0.12435,49,1
0.18279,0.18056,0.07078,-0.094374,0.1175,0.11583,49,1
0.18015,0.17793,0.07441,-0.090744,0.11251,0.11084,50,1
0.18306,0.18083,0.07441,-0.090744,0.12269,0.12102,50,1
0.18726,0.18503,0.072595,-0.092559,0.13289,0.13122,49,1
0.19059,0.18837,0.075318,-0.089837,0.13278,0.13111,49,1
0.19811,0.19588,0.068058,-0.097096,0.14616,0.14449,48,1
0.20414,0.20191,0.059891,-0.10526,0.12673,0.12506,47,1
0.20354,0.20131,0.059891,-0.10526,0.13332,0.13165,48,1
0.2016,0.19937,0.058984,-0.10617,0.13769,0.13602,48,1
0.20293,0.20071,0.063521,-0.10163,0.13262,0.13095,47,1
0.20913,0.2069,0.061706,-0.10345,0.12857,0.1269,46,1
0.21498,0.21275,0.054446,-0.11071,0.12446,0.12279,45,1
0.21867,0.21645,0.053539,-0.11162,0.11749,0.11582,46,1
0.22058,0.21835,0.058984,-0.10617,0.12291,0.12124,46,1
0.22253,0.22031,0.068966,-0.096189,0.14514,0.14348,146,1
0.21953,0.2173,0.072595,-0.092559,0.12783,0.12616,146,1
0.20568,0.20345,0.07441,-0.090744,0.1355,0.13383,48,1
0.18649,0.18426,0.078947,-0.086207,0.13094,0.12927,49,1
0.17452,0.17229,0.077132,-0.088022,0.14022,0.13855,50,1
0.17778,0.17555,0.083485,-0.08167,0.13634,0.13467,51,1
0.17969,0.17746,0.086207,-0.078947,0.12206,0.12039,51,1
0.17559,0.17336,0.076225,-0.088929,0.1295,0.12783,52,1
0.17528,0.17306,0.073503,-0.091652,0.12339,0.12172,51,1
0.1767,0.17447,0.064428,-0.10073,0.13409,0.13242,52,1
0.1736,0.17137,0.057169,-0.10799,0.1454,0.14373,51,1
0.17565,0.17342,0.057169,-0.10799,0.14124,0.13957,51,1
0.18215,0.17992,0.052632,-0.11252,0.15077,0.1491,51,1
0.18521,0.18298,0.046279,-0.11887,0.14887,0.1472,50,1
0.18929,0.18706,0.052632,-0.11252,0.13653,0.13487,49,1
0.19494,0.19271,0.061706,-0.10345,0.14599,0.14432,49,1
0.19677,0.19454,0.064428,-0.10073,0.1469,0.14523,48,1
0.20469,0.20246,0.056261,-0.10889,0.14653,0.14486,48,1
0.21633,0.2141,0.052632,-0.11252,0.15294,0.15127,48,1
0.23246,0.23024,0.059891,-0.10526,0.16017,0.1585,47,1
0.25156,0.24933,0.061706,-0.10345,0.15678,0.15511,45,1
0.2638,0.26158,0.057169,-0.10799,0.13855,0.13688,43,1
0.27256,0.27033,0.055354,-0.1098,0.10138,0.099715,44,1
0.27303,0.2708,0.062613,-0.10254,0.15457,0.1529,44,1
0.27065,0.26842,0.064428,-0.10073,0.1568,0.15513,43,1
0.27041,0.26818,0.064428,-0.10073,0.14371,0.14204,43,1
0.28026,0.27803,0.055354,-0.1098,0.14161,0.13994,42,1
0.2976,0.29537,0.04265,-0.1225,0.1228,0.12113,41,1
0.30672,0.30449,0.032668,-0.13249,0.11702,0.11535,41,1
0.31004,0.30781,0.023593,-0.14156,0.10743,0.10576,133,1
