@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.44305,0,4,0,0
0.42757,0,5,0,0
0.51467,0.087094,3,-2,0
0.34298,0,4,-1,0
0.29604,0,5,0,1
0.20134,0,4,-1,1
0.50464,0.3033,3,-2,1
0.78074,0.5794,3,-2,1
0.78074,0.5794,6,0,1
0.53054,0.3292,6,0,1
0.40829,0.20695,6,0,1
0.5511,0.34976,6,0,1
0.66486,0.46352,6,0,1
0.53393,0.33259,6,0,1
0.72106,0.51972,6,0,1
0.486,0.28466,6,0,1
0.67069,0.46935,6,0,1
0.80552,0.60418,6,0,1
1.0466,0.84527,6,0,1
1.1201,0.91881,7,0,1
1.1105,0.90914,8,0,1
1.0722,0.87089,8,0,1
1.2629,1.0615,7,-1,1
1.3122,1.1108,7,-1,1
1.3254,1.1241,7,-1,1
1.3292,1.1278,6,-2,1
1.3562,1.1548,7,-1,1
1.4234,1.222,2,-6,1
1.4878,1.2864,2,-6,1
1.4869,1.2856,2,-6,1
1.5236,1.3222,2,-6,1
1.4698,1.2685,2,-6,1
1.4065,1.2051,2,-6,1
1.365,1.1637,2,-6,1
1.3115,1.1102,2,-6,1
1.3403,1.139,2,-6,1
1.2986,1.0972,2,-6,1
1.2376,1.0363,2,-6,1
1.145,0.94368,2,-6,1
1.3073,1.1059,2,-6,1
1.5191,1.3178,2,-6,1
1.4716,1.2702,2,-6,1
1.547,1.3457,2,-6,1
1.412,1.2107,2,-6,1
1.3186,1.1172,2,-6,1
1.4666,1.2653,2,-6,1
1.4907,1.2894,2,-6,1
1.534,1.3327,2,-6,1
1.5531,1.3517,2,-6,1
1.5332,1.3318,2,-6,1
1.4679,1.2666,2,-6,1
1.5694,1.368,2,-6,1
1.5467,1.3454,2,-6,1
1.556,1.3546,2,-6,1
1.3828,1.1814,2,-6,1
1.5556,1.3543,2,-6,1
1.2571,1.0558,2,-6,1
0.59817,0.39683,3,-5,1
0.2304,0.02906,4,-4,1
0.40154,0.2002,1,-7,1
0.42738,0.22604,5,-3,1
0.046681,0,8,0,0
0.30288,0.2562,1,-7,0
0.65681,0.61013,1,-7,0
0.72916,0.68248,1,-7,0
0.29155,0.24487,1,-7,0
0.39399,0.3473,2,-6,0
1.1277,1.081,2,-6,0
1.2195,1.1728,2,-6,0
1.2639,1.2173,2,-6,0
1.2762,1.2295,2,-6,0
1.3515,1.3048,2,-6,0
1.3146,1.2679,2,-6,0
1.2691,1.2224,2,-6,0
1.2842,1.2375,2,-6,0
0.94572,0.89904,2,-6,0
1.0114,0.96474,2,-6,0
0.96074,0.91406,2,-6,0
0.7697,0.72301,2,-6,0
1.0462,0.99953,2,-6,0
0.97971,0.93303,1,-7,0
0.79388,0.7472,2,-6,0
1.0831,1.0364,2,-6,0
0.92656,0.87988,2,-6,0
1.0042,0.95756,2,-6,0
0.62014,0.57346,2,-6,0
0.55381,0.50713,4,-4,1
0.72662,0.67994,2,-6,1
1.0866,1.04,2,-6,1
1.3498,1.3031,2,-6,1
1.4008,1.3541,2,-6,1
1.3727,1.326,2,-6,1
1.4234,1.3768,2,-6,1
1.1361,1.0894,2,-6,1
1.1583,1.1116,3,-5,1
1.2719,1.2252,2,-6,1
1.2975,1.2508,2,-6,1
1.2783,1.2317,3,-5,1
1.4635,1.4168,2,-6,1
1.3221,1.2754,3,-5,1
1.3533,1.3066,6,-2,1
1.372,1.3253,3,-5,1
1.4308,1.3841,2,-6,1
1.4108,1.3642,2,-6,1
1.4122,1.3655,2,-6,1
1.391,1.3443,2,-6,1
1.3197,1.273,2,-6,1
1.3851,1.3384,2,-6,1
1.1411,1.0944,2,-6,1
1.1409,1.0942,2,-6,1
1.3063,1.2596,2,-6,1
1.1929,1.1463,6,-2,1
1.1775,1.1308,11,0,1
1.134,1.0873,13,0,1
1.1721,1.1254,14,0,1
1.2189,1.1723,11,-3,1
1.3652,1.3186,9,-5,1
1.2293,1.1826,9,-5,1
1.3701,1.3234,2,-12,1
1.3314,1.2847,2,-12,1
1.0897,1.043,3,-11,1
1.0055,0.95886,6,-8,1
1.0742,1.0276,7,-7,1
1.3177,1.271,3,-11,1
1.3845,1.3378,2,-12,1
1.4551,1.4084,2,-12,1
1.3839,1.3373,3,-11,1
1.3852,1.3385,5,-9,1
1.373,1.3263,4,-10,1
1.2892,1.2425,9,-5,1
1.0421,0.99544,6,-8,1
0.85428,0.80759,5,-9,1
0.90963,0.86295,5,-9,1
0.91465,0.86797,5,-9,1
0.86805,0.82137,5,-9,1
0.70706,0.66038,6,-8,1
0.72198,0.6753,4,-10,1
0.80526,0.75858,5,-9,1
0.91701,0.87033,5,-9,1
1.0521,1.0054,4,-10,1
0.88274,0.83606,5,-9,1
0.96175,0.91507,8,-6,1
1.1931,1.1464,8,-6,1
1.3451,1.2984,8,-6,1
1.3774,1.3307,8,-6,1
1.3384,1.2918,8,-6,1
1.3558,1.3091,9,-5,1
1.3813,1.3346,8,-6,1
1.5344,1.4878,2,-12,1
1.5545,1.5078,2,-12,1
1.4966,1.45,9,-5,1
1.5186,1.4719,2,-12,1
1.6073,1.5606,2,-12,1
1.6057,1.559,2,-12,1
1.5387,1.492,2,-12,1
1.4964,1.4498,2,-12,1
1.5027,1.4561,2,-12,1
1.478,1.4314,2,-12,1
1.4714,1.4248,2,-12,1
1.3165,1.2699,2,-12,1
1.3758,1.3291,2,-12,1
1.37,1.3234,2,-12,1
1.3264,1.2797,2,-12,1
1.4111,1.3644,2,-12,1
1.469,1.4223,2,-12,1
1.4293,1.3827,2,-12,1
1.4329,1.3862,2,-12,1
1.2337,1.187,2,-12,1
0.73738,0.6907,2,-12,1
0.47615,0.42947,3,-11,1
0.84782,0.80114,2,-12,1
0.89758,0.8509,2,-12,1
0.28174,0.23506,4,-10,1
0.25338,0.20669,4,-10,1
0.11352,0.066843,2,-12,1
0.48937,0.44269,1,-13,1
0.40741,0.36073,3,-11,1
0.35441,0.30773,3,-11,1
0.5855,0.53882,2,-12,1
0.78445,0.73777,2,-12,1
0.2439,0.19722,5,-9,1
0.25236,0.20568,8,-6,1
0.21047,0.16379,5,-9,1
0.1135,0.066819,5,-9,1
0.14189,0.095208,1,-13,1
0.09136,0.044678,6,-8,1
0.1475,0.10082,5,-9,1
0.34301,0.29633,3,-11,1
0.1016,0.054919,3,-11,1
0.2731,0.22642,8,-6,1
0.34397,0.29729,10,-4,1
0.49771,0.45103,3,-11,1
0.62844,0.58176,2,-12,1
0.85266,0.80597,1,-13,1
0.85817,0.81149,1,-13,1
0.47974,0.43306,6,-8,1
0.18673,0.14005,8,-6,1
0.25973,0.21305,6,-8,1
0.16867,0.12199,4,-10,1
0.16793,0.12125,4,-10,1
0.32632,0.27964,2,-12,0
0.24895,0.20227,5,-9,0
0.088521,0.04184,6,-8,0
0.30397,0.25729,5,-9,0
0.25726,0.21058,3,-11,0
0.28844,0.24176,2,-12,0
0.11426,0.067577,2,-12,0
0.19686,0.15018,4,-10,0
0.19457,0.14789,4,-10,0
0.29062,0.24394,4,-10,0
0.16631,0.11962,5,-9,0
0.12038,0.073696,5,-9,0
0.36809,0.3214,2,-12,0
0.24393,0.19725,3,-11,0
0.26336,0.21668,5,-9,0
0.12123,0.074544,5,-9,0
0.23442,0.18774,6,-8,0
0.12837,0.081689,6,-8,0
0.15527,0.10859,7,-7,0
0.11898,0.072301,6,-8,0
0.077391,0.030709,5,-9,0
0.16779,0.12111,6,-8,0
0.34642,0.29974,3,-11,0
0.14888,0.1022,4,-10,0
0.31924,0.27256,4,-10,0
0.24592,0.19924,5,-9,0
0.18646,0.13978,7,-7,0
0.2115,0.16482,6,-8,0
0.44029,0.39361,2,-12,0
0.69489,0.64821,1,-13,0
0.20132,0.15464,3,-11,0
0.22228,0.1756,2,-12,0
0.35162,0.30494,1,-13,0
0.37484,0.32816,3,-11,0
0.72358,0.67689,3,-11,0
0.81059,0.7639,3,-11,0
0.66581,0.61913,4,-10,0
0.42451,0.37783,3,-11,0
0.36377,0.31709,4,-10,0
0.31219,0.26551,7,-7,0
0.55627,0.50959,3,-11,0
0.38424,0.33756,4,-10,0
0.66342,0.61674,3,-11,0
0.70903,0.66235,3,-11,0
0.61962,0.57294,3,-11,0
0.25147,0.20479,3,-11,0
0.21332,0.16664,2,-12,0
0.27638,0.2297,3,-11,0
0.36575,0.31907,3,-11,0
0.68569,0.639,3,-11,0
0.80846,0.76178,3,-11,0
0.73606,0.68938,2,-12,0
0.54108,0.49439,2,-12,0
0.63123,0.58455,2,-12,0
0.75631,0.70963,3,-11,0
0.20713,0.16045,5,-9,0
0.23009,0.18341,5,-9,0
0.37421,0.32753,2,-12,0
0.22482,0.17814,6,-8,0
0.34135,0.29467,4,-10,0
0.80324,0.75656,2,-12,0
0.8767,0.83001,2,-12,0
0.80513,0.75845,2,-12,0
1.0121,0.96541,2,-12,0
1.1002,1.0536,2,-12,0
0.95752,0.91083,2,-12,0
0.32927,0.28259,3,-11,0
0.29734,0.25066,2,-12,0
0.50919,0.46251,3,-11,0
0.39191,0.34523,3,-11,0
0.32658,0.2799,3,-11,0
0.39334,0.34666,3,-11,0
0.57361,0.52693,2,-12,0
0.46,0.41331,3,-11,0
0.5589,0.51222,2,-12,0
1.0907,1.044,2,-12,0
0.90459,0.85791,2,-12,0
0.28392,0.23724,3,-11,0
0.30703,0.26035,3,-11,0
0.32656,0.27988,3,-11,0
0.40293,0.35625,3,-11,0
0.28686,0.24018,4,-10,0
0.64856,0.60187,4,-10,0
0.70045,0.65377,4,-10,0
0.52856,0.48188,4,-10,0
0.75779,0.71111,4,-10,0
0.52962,0.48293,3,-11,0
0.77467,0.72799,3,-11,0
0.61789,0.57121,3,-11,0
0.40969,0.363,3,-11,0
0.15864,0.11195,5,-9,0
0.14984,0.10316,5,-9,0
0.17998,0.1333,8,-6,0
0.32731,0.28063,3,-11,0
0.37026,0.32358,4,-10,0
0.55559,0.5089,3,-11,0
0.4239,0.37722,2,-12,0
0.24137,0.19469,5,-9,0
0.20958,0.1629,8,-6,0
0.34291,0.29623,5,-9,0
0.35561,0.30893,4,-10,0
0.19729,0.1199,8,-6,0
0.061239,0,6,-8,0
0.40169,0.34045,3,-11,0
0.67941,0.61818,1,-13,0
0.5586,0.49736,1,-13,0
0.3339,0.27266,1,-13,0
0.24228,0.18104,5,-9,0
0.3087,0.24746,7,-7,0
0.30343,0.24219,6,-8,0
0.33019,0.26895,6,-8,0
0.16143,0.10019,8,-6,0
0.1325,0.07126,6,-8,0
0.36367,0.30243,5,-9,0
0.091208,0.02997,8,-6,0
0.1447,0.083463,4,-10,0
0.40095,0.33972,3,-11,0
0.87358,0.81234,3,-11,0
0.71979,0.65855,3,-11,0
0.39177,0.33054,3,-11,0
0.53642,0.47518,2,-12,0
0.47842,0.41718,2,-12,0
0.40645,0.34521,3,-11,0
0.11712,0.055881,3,-11,0
0.10254,0.041297,4,-10,0
0.43253,0.37129,4,-10,0
0.23566,0.17442,6,-8,0
0.2821,0.22086,5,-9,0
0.21208,0.15084,4,-10,0
0.36032,0.29908,6,-8,0
0.48024,0.419,3,-11,0
0.45505,0.39381,5,-9,0
0.13037,0.069132,5,-9,0
0.26226,0.20102,4,-10,0
0.2859,0.22466,4,-10,0
0.21702,0.15578,4,-10,0
0.31703,0.2558,6,-8,0
0.24473,0.18349,5,-9,0
0.16569,0.10445,6,-8,0
0.17173,0.11049,6,-8,0
0.25058,0.18934,6,-8,0
0.26488,0.20364,6,-8,0
0.3384,0.27716,4,-10,0
0.17854,0.11731,7,-7,0
0.2909,0.22966,6,-8,0
0.28683,0.22559,7,-7,0
0.34088,0.27965,5,-9,0
0.25589,0.19465,5,-9,0
0.28632,0.22508,6,-8,0
0.30295,0.24171,6,-8,0
0.36022,0.29898,6,-8,0
0.35553,0.29429,6,-8,0
0.55688,0.49564,4,-10,0
0.45832,0.39708,5,-9,0
0.51062,0.44938,3,-8,0
0.77042,0.70918,2,-8,0
1.1432,1.082,2,-8,0
1.0147,0.95341,2,-8,0
0.55421,0.49297,4,-6,0
0.77227,0.71103,2,-8,0
0.84314,0.78191,2,-8,0
0.67201,0.61077,4,-6,0
0.6964,0.63516,3,-7,0
0.49322,0.43198,6,-4,0
0.40117,0.33993,5,-5,0
0.41895,0.35771,3,-7,0
0.38319,0.32195,3,-7,0
0.53618,0.47495,2,-8,0
0.43485,0.37361,14,0,0
0.44653,0.38529,11,-3,0
0.4517,0.39046,7,-7,0
0.48699,0.42575,2,-12,0
0.35765,0.29641,5,-9,1
0.33038,0.26914,4,-10,1
0.57961,0.51837,4,-10,1
0.39123,0.32999,4,-10,1
0.6963,0.63506,3,-11,1
0.7667,0.70547,3,-11,1
0.84347,0.78223,3,-11,1
1.1024,1.0412,5,-9,1
1.2538,1.1925,7,-7,1
1.4078,1.3466,8,-6,1
1.3258,1.2646,8,-6,1
1.4026,1.3414,8,-6,1
1.4109,1.3496,8,-6,1
1.1778,1.1165,7,-7,1
1.0407,0.9795,5,-9,1
0.92722,0.86598,7,-7,1
0.78579,0.72455,8,-6,1
0.83982,0.77858,5,-9,1
0.852,0.79076,4,-10,1
0.91586,0.85462,3,-11,1
0.9494,0.88816,3,-11,1
0.95727,0.89603,3,-11,1
1.155,1.0937,3,-11,1
1.0737,1.0125,2,-12,1
0.67307,0.61184,2,-12,1
0.76087,0.69963,3,-11,1
0.61852,0.55728,2,-12,1
0.66477,0.60353,3,-11,1
0.59319,0.53195,4,-10,1
