@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4-weka.filters.unsupervised.attribute.Remove-R3'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
0,732.13,0
0,150.73,0
9.3537,1033.6,0
0,172.27,0
0,796.73,1
190.41,689.06,1
961.64,495.26,1
1687.1,452.2,1
1570.2,1270.5,1
1810.6,1270.5,1
2538.5,344.53,1
2935.4,323,1
3399.7,452.2,1
3820.8,452.2,1
3609.9,452.2,1
3880.5,473.73,1
3937.7,538.33,1
4244.7,516.8,1
4841.1,516.8,1
4139,538.33,1
4449.2,516.8,1
3900.6,516.8,1
3122.3,473.73,1
2617.1,473.73,1
2627.6,473.73,1
2668.6,473.73,1
2910,473.73,1
2401.9,473.73,1
2715.8,495.26,1
2714,495.26,1
2760.2,495.26,1
3303.1,495.26,1
3187.7,516.8,1
2995.6,495.26,1
2896.4,516.8,1
3166.1,516.8,1
3502,516.8,1
4065.3,516.8,1
4396.3,516.8,1
4097.2,516.8,1
4081.5,516.8,1
3788.1,516.8,1
3836.4,516.8,1
3705.2,516.8,1
3395.6,516.8,1
3742.9,516.8,1
3641.3,516.8,1
3309.6,516.8,1
3216.5,516.8,1
3249.7,516.8,1
3528.3,516.8,1
3582.3,538.33,1
2720.5,538.33,1
2284.9,538.33,1
1328.1,538.33,1
1451.5,516.8,1
488.08,452.2,1
318.76,473.73,1
295.84,150.73,1
361.25,323,1
192.53,344.53,1
115.15,236.87,0
41.352,129.2,0
145.98,409.13,0
248.63,409.13,0
15.035,129.2,0
352.63,323,0
1111.7,516.8,0
1777.1,516.8,0
2514.9,516.8,0
2643.8,538.33,0
2804.4,538.33,0
2967.1,538.33,0
3109.3,516.8,0
3150.7,516.8,0
1954.3,516.8,0
2110.2,495.26,0
2538.1,495.26,0
1543.6,215.33,0
2035.1,409.13,0
2097.7,387.6,0
1644.5,495.26,0
821.61,473.73,0
573.89,516.8,0
703.03,516.8,0
401.43,409.13,0
323.16,366.06,1
893.88,538.33,1
951.99,473.73,1
1762,473.73,1
2009.4,473.73,1
1826.9,473.73,1
2606.1,495.26,1
2842,495.26,1
2950.9,495.26,1
2569.9,495.26,1
2145.1,495.26,1
2003.2,495.26,1
2620.4,473.73,1
2316,495.26,1
2158.3,495.26,1
2469.6,473.73,1
2602.7,473.73,1
1937.3,495.26,1
2500.1,495.26,1
2659.6,473.73,1
2307,473.73,1
2680.6,473.73,1
2517.8,473.73,1
2402.9,452.2,1
2078.2,452.2,1
1940.2,452.2,1
1380.7,452.2,1
1249.7,452.2,1
1540.7,452.2,1
1354.7,452.2,1
1654.8,452.2,1
1533.1,452.2,1
1712,452.2,1
1889.1,473.73,1
1985,452.2,1
